ts,open,high,low,close,volume
2026-08-02 12:19:00+00:00,170.18,170.19,169.96,170.18,4181.643
2026-08-02 12:20:00+00:00,169.98,169.98,169.9,169.9,97.026
2026-08-02 12:21:00+00:00,169.85,169.85,169.85,169.85,0.216
2026-08-02 12:26:00+00:00,169.92,169.92,169.92,169.92,0.216
2026-08-02 12:33:00+00:00,169.87,169.87,169.72,169.72,4284.401123
2026-08-02 12:35:00+00:00,169.57,169.57,169.57,169.57,0.2232
2026-08-02 12:36:00+00:00,169.78,169.82,169.78,169.82,392.19699999999995
2026-08-02 12:37:00+00:00,169.62,169.62,169.62,169.62,17.598989
2026-08-02 12:38:00+00:00,169.66,169.66,169.66,169.66,11.898
2026-08-02 12:40:00+00:00,169.59,169.59,169.59,169.59,0.8928
2026-08-02 12:50:00+00:00,169.63,169.64,169.63,169.64,1.1232
2026-08-02 13:00:00+00:00,169.33,169.5,169.32,169.5,4660.289567
2026-08-02 13:02:00+00:00,169.67,169.68,169.67,169.68,29.842046
2026-08-02 13:05:00+00:00,169.51,169.53,169.48,169.48,0.8250000000000001
2026-08-02 13:06:00+00:00,169.53,169.54,169.53,169.54,740.672
2026-08-02 13:13:00+00:00,169.93,169.93,169.93,169.93,58.8
2026-08-02 13:18:00+00:00,169.95,170.03,169.89,169.96,7000.0
2026-08-02 13:19:00+00:00,169.95,169.97,169.94,169.97,7000.0
2026-08-02 13:20:00+00:00,169.96,169.97,169.96,169.97,4500.0
2026-08-02 13:21:00+00:00,169.83,169.83,169.83,169.83,0.198
2026-08-02 13:23:00+00:00,169.95,169.97,169.95,169.96,9011.112
2026-08-02 13:24:00+00:00,169.91,169.91,169.91,169.91,0.198
2026-08-02 13:25:00+00:00,169.98,169.98,169.98,169.98,0.198
2026-08-02 13:29:00+00:00,170.03,170.03,170.03,170.03,56.914629
2026-08-02 13:35:00+00:00,169.85,169.9,169.84,169.9,0.6138
2026-08-02 13:36:00+00:00,169.88,169.88,169.73,169.77,100.3992
2026-08-02 13:50:00+00:00,169.97,170.05,169.97,169.99,1062.09584
2026-08-02 13:51:00+00:00,169.98,170.04,169.98,170.04,0.41184
2026-08-02 13:52:00+00:00,170.02,170.02,170.02,170.02,0.20592
2026-08-02 14:00:00+00:00,170.16,170.16,170.16,170.16,7.847516
2026-08-02 14:05:00+00:00,169.91,169.98,169.89,169.89,0.625
2026-08-02 14:09:00+00:00,169.94,169.94,169.94,169.94,100.0
2026-08-02 14:12:00+00:00,170.16,170.16,170.16,170.16,5.1
2026-08-02 14:14:00+00:00,170.03,170.03,170.03,170.03,100.0
2026-08-02 14:15:00+00:00,170.03,170.03,170.03,170.03,100.0
2026-08-02 14:20:00+00:00,170.14,170.18,170.11,170.18,0.75
2026-08-02 14:25:00+00:00,170.33,170.33,170.33,170.33,17.535211
2026-08-02 14:26:00+00:00,170.21,170.21,170.21,170.21,471.053
2026-08-02 14:27:00+00:00,170.17,170.17,170.17,170.17,100.0
2026-08-02 14:28:00+00:00,170.14,170.14,170.14,170.14,29.997
2026-08-02 14:34:00+00:00,170.28,170.28,170.28,170.28,29.997
2026-08-02 14:35:00+00:00,170.12,170.21,170.12,170.21,0.25
2026-08-02 14:36:00+00:00,170.19,170.19,170.19,170.19,0.125
2026-08-02 14:38:00+00:00,170.31,170.31,170.31,170.31,0.25
2026-08-02 14:39:00+00:00,170.32,170.32,170.31,170.31,59.994
2026-08-02 14:41:00+00:00,170.44,170.45,170.32,170.32,5575.317
2026-08-02 14:50:00+00:00,170.34,170.39,170.19,170.19,187.175
2026-08-02 14:51:00+00:00,170.21,170.21,170.21,170.21,0.3
2026-08-02 14:54:00+00:00,170.22,170.22,170.17,170.19,455.766
2026-08-02 14:55:00+00:00,170.02,170.02,170.02,170.02,19.0
2026-08-02 14:56:00+00:00,170.26,170.26,170.26,170.26,295.0
2026-08-02 15:00:00+00:00,170.26,170.26,170.26,170.26,10.0
2026-08-02 15:05:00+00:00,170.1,170.21,170.07,170.07,120.345
2026-08-02 15:06:00+00:00,170.07,170.09,170.07,170.09,0.23
2026-08-02 15:09:00+00:00,170.12,170.12,170.12,170.12,29.997
2026-08-02 15:10:00+00:00,170.09,170.09,170.09,170.09,20.003
2026-08-02 15:13:00+00:00,170.29,170.29,170.29,170.29,752.994
2026-08-02 15:15:00+00:00,170.23,170.23,170.19,170.2,78.58408299999999
2026-08-02 15:19:00+00:00,170.17,170.17,170.02,170.02,3553.431257
2026-08-02 15:20:00+00:00,170.1,170.15,170.09,170.15,0.41400000000000003
2026-08-02 15:21:00+00:00,170.09,170.09,170.09,170.09,0.138
2026-08-02 15:23:00+00:00,170.1,170.1,170.08,170.08,121.4
2026-08-02 15:24:00+00:00,170.19,170.2,170.13,170.13,460.59999999999997
2026-08-02 15:28:00+00:00,170.06,170.06,170.06,170.06,58.7
2026-08-02 15:35:00+00:00,170.13,170.13,170.03,170.05,0.4278
2026-08-02 15:36:00+00:00,170.04,170.04,170.03,170.03,46.78385
2026-08-02 15:40:00+00:00,170.03,170.03,169.9,169.9,572.147411
2026-08-02 15:45:00+00:00,170.0,170.07,170.0,170.07,599.389
2026-08-02 15:46:00+00:00,170.01,170.01,169.93,169.93,234.48000000000002
2026-08-02 15:50:00+00:00,169.87,169.89,169.85,169.85,20.784039999999997
2026-08-02 15:51:00+00:00,169.96,169.96,169.96,169.96,455.20099999999996
2026-08-02 15:52:00+00:00,169.87,169.87,169.87,169.87,0.14352
2026-08-02 15:55:00+00:00,169.94,169.95,169.94,169.95,18.93
2026-08-02 16:01:00+00:00,169.89,169.89,169.83,169.84,906.954
2026-08-02 16:02:00+00:00,169.65,169.69,169.65,169.69,190.89209799999998
2026-08-02 16:04:00+00:00,169.59,169.59,169.59,169.59,880.248
2026-08-02 16:05:00+00:00,169.54,169.54,169.54,169.54,0.45
2026-08-02 16:07:00+00:00,169.64,169.64,169.62,169.63,616.612
2026-08-02 16:08:00+00:00,169.63,169.63,169.57,169.57,76.792
2026-08-02 16:10:00+00:00,169.74,169.74,169.74,169.74,20.204
2026-08-02 16:11:00+00:00,169.74,169.74,169.67,169.67,101.082045
2026-08-02 16:15:00+00:00,169.66,169.66,169.6,169.6,476.969
2026-08-02 16:17:00+00:00,169.53,169.6,169.53,169.6,489.891
2026-08-02 16:18:00+00:00,169.48,169.48,169.48,169.48,92.480001
2026-08-02 16:20:00+00:00,169.47,169.47,169.47,169.47,0.45
2026-08-02 16:21:00+00:00,169.6,169.6,169.6,169.6,158.749
2026-08-02 16:24:00+00:00,169.77,169.77,169.77,169.77,111.001
2026-08-02 16:25:00+00:00,169.77,169.77,169.77,169.77,1.022
2026-08-02 16:26:00+00:00,169.68,169.68,169.68,169.68,1.0
2026-08-02 16:27:00+00:00,169.56,169.56,169.56,169.56,29.39
2026-08-02 16:29:00+00:00,169.58,169.58,169.58,169.58,42.2
2026-08-02 16:31:00+00:00,169.65,169.65,169.65,169.65,20.998
2026-08-02 16:32:00+00:00,169.79,169.79,169.72,169.72,225.71699999999998
2026-08-02 16:35:00+00:00,169.66,169.72,169.66,169.72,0.72
2026-08-02 16:36:00+00:00,169.69,169.69,169.69,169.69,0.18
2026-08-02 16:40:00+00:00,169.8,169.87,169.8,169.86,5687.940594
2026-08-02 16:41:00+00:00,169.87,169.87,169.87,169.87,3850.491
2026-08-02 16:42:00+00:00,170.07,170.07,170.07,170.07,284.032
2026-08-02 16:45:00+00:00,170.03,170.03,170.03,170.03,1.056
2026-08-02 16:50:00+00:00,169.94,169.94,169.94,169.94,0.45
2026-08-02 17:03:00+00:00,170.07,170.07,170.07,170.07,2.0
2026-08-02 17:05:00+00:00,169.88,169.92,169.88,169.91,0.7
2026-08-02 17:06:00+00:00,169.91,169.91,169.91,169.91,0.175
2026-08-02 17:10:00+00:00,170.03,170.03,170.03,170.03,31.0
2026-08-02 17:20:00+00:00,169.87,169.87,169.87,169.87,0.12
2026-08-02 17:21:00+00:00,169.95,169.96,169.95,169.96,0.36
2026-08-02 17:22:00+00:00,169.92,169.92,169.92,169.92,0.12
