ts,oi,volume
2026-09-08 15:05:00+00:00,2894520747.9637,50500163.664
2026-09-08 15:10:00+00:00,2894420286.428,12903262.553
2026-09-08 15:15:00+00:00,2891201236.9977,24394154.4071
2026-09-08 15:20:00+00:00,2895379373.5402,35272510.7481
2026-09-08 15:25:00+00:00,2894791772.5387,27734860.9819
2026-09-08 15:30:00+00:00,2896131963.5363,16882522.2135
2026-09-08 15:35:00+00:00,2900904917.3899,21271217.0985
2026-09-08 15:40:00+00:00,2901011169.5818,19403297.7433
2026-09-08 15:45:00+00:00,2898152707.5828,38635218.7553
2026-09-08 15:50:00+00:00,2920821763.056,31593506.1948
2026-09-08 15:55:00+00:00,2929534999.9149,83864683.4075
2026-09-08 16:00:00+00:00,2925935707.0232,44180412.3818
2026-09-08 16:05:00+00:00,2925016517.7641,32586514.6325
2026-09-08 16:10:00+00:00,2918191750.8101,12675717.4414
2026-09-08 16:15:00+00:00,2918593415.7039,24084855.8237
2026-09-08 16:20:00+00:00,2918774834.4767,15622501.3921
2026-09-08 16:25:00+00:00,2919498454.3848,11227081.9499
2026-09-08 16:30:00+00:00,2921374766.3432,6519367.1536
2026-09-08 16:35:00+00:00,2922453692.1427,7358626.4353
2026-09-08 16:40:00+00:00,2918468766.692,25047314.2639
2026-09-08 16:45:00+00:00,2923428871.8848,45161027.6379
2026-09-08 16:50:00+00:00,2921934170.5355,14689317.3845
2026-09-08 16:55:00+00:00,2918037445.8268,16423568.8821
2026-09-08 17:00:00+00:00,2922155571.8655,20714607.2471
2026-09-08 17:05:00+00:00,2922535449.1954,15382781.8884
2026-09-08 17:10:00+00:00,2915760138.0539,35058029.7518
2026-09-08 17:15:00+00:00,2915272434.1109,11953975.3294
2026-09-08 17:20:00+00:00,2908120425.8952,7686565.0069
2026-09-08 17:25:00+00:00,2905072022.3473,15970170.6979
2026-09-08 17:30:00+00:00,2906570329.3436,9162464.6099
2026-09-08 17:35:00+00:00,2907500852.7622,9259507.6014
2026-09-08 17:40:00+00:00,2905161102.6848,4577475.9264
2026-09-08 17:45:00+00:00,2903412767.7945,7929159.2505
2026-09-08 17:50:00+00:00,2904094973.3676,8355126.1233
2026-09-08 17:55:00+00:00,2903330790.678,11809357.5808
2026-09-08 18:00:00+00:00,2899247646.6979,4156974.7516
2026-09-08 18:05:00+00:00,2904504203.9263,14471487.2894
2026-09-08 18:10:00+00:00,2903317681.4508,18093302.3594
2026-09-08 18:15:00+00:00,2904875119.0721,8432209.679
2026-09-08 18:20:00+00:00,2903868599.3252,9373028.1981
2026-09-08 18:25:00+00:00,2901915127.8792,7672681.1404
2026-09-08 18:30:00+00:00,2901182728.1128,6264174.6412
2026-09-08 18:35:00+00:00,2896376810.4825,4837660.9349
2026-09-08 18:40:00+00:00,2894229569.9258,9027491.5581
2026-09-08 18:45:00+00:00,2893491404.5061,6518407.1763
2026-09-08 18:50:00+00:00,2874361026.4951,43596774.2408
2026-09-08 18:55:00+00:00,2874744775.8337,23767493.7199
2026-09-08 19:00:00+00:00,2876235087.622,9125783.9484
2026-09-08 19:05:00+00:00,2873907077.9007,7940359.8546
2026-09-08 19:10:00+00:00,2872460758.0542,5641707.9994
2026-09-08 19:15:00+00:00,2871966774.1606,9772889.8519
2026-09-08 19:20:00+00:00,2869905432.4987,8999606.6205
2026-09-08 19:25:00+00:00,2870555801.5186,9935938.1777
2026-09-08 19:30:00+00:00,2863741023.7097,25046338.089
2026-09-08 19:35:00+00:00,2865465043.7715,26504064.74
2026-09-08 19:40:00+00:00,2864249185.0413,9350672.6831
2026-09-08 19:45:00+00:00,2863396282.9721,13616585.1155
2026-09-08 19:50:00+00:00,2860695819.9155,12346667.0792
2026-09-08 19:55:00+00:00,2860610787.7514,9972268.7884
2026-09-08 20:00:00+00:00,2863459696.9885,12368671.0719
2026-09-08 20:05:00+00:00,2865143078.3467,8353703.1389
2026-09-08 20:10:00+00:00,2865594519.4613,5052274.1055
2026-09-08 20:15:00+00:00,2862990783.3118,12435515.1039
2026-09-08 20:20:00+00:00,2861709894.544,4826228.86
2026-09-08 20:25:00+00:00,2863459547.6309,10602872.7215
2026-09-08 20:30:00+00:00,2859008218.18,9301157.8932
2026-09-08 20:35:00+00:00,2860601298.6628,5694991.6839
2026-09-08 20:40:00+00:00,2857083580.0726,4552555.3799
2026-09-08 20:45:00+00:00,2857016242.7532,12348522.8825
2026-09-08 20:50:00+00:00,2856534844.3422,3528102.8436
2026-09-08 20:55:00+00:00,2854422066.5312,7385620.3333
2026-09-08 21:00:00+00:00,2854564724.991,6399483.1104
2026-09-08 21:05:00+00:00,2855616722.1646,9721408.0862
2026-09-08 21:10:00+00:00,2855690838.5004,2722424.8214
2026-09-08 21:15:00+00:00,2855632501.3393,3176735.6103
2026-09-08 21:20:00+00:00,2855012978.9872,3162495.8112
2026-09-08 21:25:00+00:00,2856839424.8042,6352725.9496
2026-09-08 21:30:00+00:00,2856068986.7486,10956192.2097
2026-09-08 21:35:00+00:00,2854855062.5737,6900744.7128
2026-09-08 21:40:00+00:00,2855774753.701,5132121.1477
2026-09-08 21:45:00+00:00,2853768743.3512,11308257.0408
2026-09-08 21:50:00+00:00,2852121283.3815,3150095.2345
2026-09-08 21:55:00+00:00,2852045382.945,12657306.5983
2026-09-08 22:00:00+00:00,2855344948.1238,2571066.5979
2026-09-08 22:05:00+00:00,2852583290.8242,12827336.4585
2026-09-08 22:10:00+00:00,2854598624.0619,12502269.8385
2026-09-08 22:15:00+00:00,2857447453.6839,8477993.5137
2026-09-08 22:20:00+00:00,2859113044.1383,8301232.6205
2026-09-08 22:25:00+00:00,2858255173.9103,8726846.3552
2026-09-08 22:30:00+00:00,2858361112.982,4721669.2477
2026-09-08 22:35:00+00:00,2859003201.4777,1960123.1878
2026-09-08 22:40:00+00:00,2857905459.0683,2721410.953
2026-09-08 22:45:00+00:00,2859482320.5174,4709331.0352
2026-09-08 22:50:00+00:00,2859579635.8001,7277967.915
2026-09-08 22:55:00+00:00,2859333601.0145,3605857.1273
2026-09-08 23:00:00+00:00,2857365829.7729,5063022.4184
2026-09-08 23:05:00+00:00,2858751928.6218,9099663.5596
2026-09-08 23:10:00+00:00,2857311984.1837,3775548.4792
2026-09-08 23:15:00+00:00,2856662592.4431,11141628.9416
2026-09-08 23:20:00+00:00,2855176042.2537,4333397.6223
2026-09-08 23:25:00+00:00,2854455994.3432,3807219.8682
2026-09-08 23:30:00+00:00,2855374540.1688,5004073.3222
2026-09-08 23:35:00+00:00,2855582327.7833,3012514.5842
2026-09-08 23:40:00+00:00,2855226191.3382,1175216.5635
2026-09-08 23:45:00+00:00,2858337469.1955,2158805.5969
2026-09-08 23:50:00+00:00,2860009129.88,12145556.644
2026-09-08 23:55:00+00:00,2861944974.9337,5719614.5481
2026-09-09 00:00:00+00:00,2864747489.6536,3752789.9333
2026-09-09 00:05:00+00:00,2866749241.3623,7362192.7366
2026-09-09 00:10:00+00:00,2863863617.7225,8306083.0585
2026-09-09 00:15:00+00:00,2862829349.8171,19032456.8349
2026-09-09 00:20:00+00:00,2859213163.1896,9887918.0796
2026-09-09 00:25:00+00:00,2857825709.9183,8920019.0831
2026-09-09 00:30:00+00:00,2857136447.867,6605860.204
2026-09-09 00:35:00+00:00,2859529127.9449,6208804.634
2026-09-09 00:40:00+00:00,2861394882.8198,4718811.296
2026-09-09 00:45:00+00:00,2864293894.8276,3732316.66
2026-09-09 00:50:00+00:00,2863339298.5139,8056209.8674
2026-09-09 00:55:00+00:00,2865105317.9,9671920.4314
2026-09-09 01:00:00+00:00,2866928785.4855,8980439.6592
2026-09-09 01:05:00+00:00,2867056758.0056,9797473.1145
2026-09-09 01:10:00+00:00,2867591873.6293,15125104.473
2026-09-09 01:15:00+00:00,2863243192.8729,25989864.3961
2026-09-09 01:20:00+00:00,2863580444.0263,9634966.5358
2026-09-09 01:25:00+00:00,2864385844.2004,8040655.7739
2026-09-09 01:30:00+00:00,2864781914.9253,9815977.926
2026-09-09 01:35:00+00:00,2868940843.5799,4960046.8818
2026-09-09 01:40:00+00:00,2868596269.6467,8948015.0402
2026-09-09 01:45:00+00:00,2869662141.9308,7097033.1527
2026-09-09 01:50:00+00:00,2868466707.5376,9458270.2479
2026-09-09 01:55:00+00:00,2870664374.337,17861924.0393
2026-09-09 02:00:00+00:00,2871073085.2659,14451417.1104
2026-09-09 02:05:00+00:00,2873939806.579,21533764.7571
2026-09-09 02:10:00+00:00,2871552058.2032,9211491.6081
2026-09-09 02:15:00+00:00,2871608614.5667,16823780.4276
2026-09-09 02:20:00+00:00,2873970712.8703,20157480.4804
2026-09-09 02:25:00+00:00,2876149432.5094,11172480.5497
2026-09-09 02:30:00+00:00,2876306116.6416,10328699.944
2026-09-09 02:35:00+00:00,2875866306.5317,6840915.0547
2026-09-09 02:40:00+00:00,2876580895.7745,2465492.721
2026-09-09 02:45:00+00:00,2876703048.7959,3510343.0914
2026-09-09 02:50:00+00:00,2877127401.3347,4453170.5595
2026-09-09 02:55:00+00:00,2876042271.3713,3063132.4625
2026-09-09 03:00:00+00:00,2877814208.9318,3542827.8274
2026-09-09 03:05:00+00:00,2876008396.3238,14768449.4577
2026-09-09 03:10:00+00:00,2868905498.9656,22679162.7989
2026-09-09 03:15:00+00:00,2866934260.5464,15245850.9728
2026-09-09 03:20:00+00:00,2862746255.2609,19564159.648
2026-09-09 03:25:00+00:00,2861426873.9797,9588239.9855
2026-09-09 03:30:00+00:00,2862724232.7709,10076739.9823
2026-09-09 03:35:00+00:00,2864074138.5352,5027799.9547
2026-09-09 03:40:00+00:00,2866226296.9115,6474575.5651
2026-09-09 03:45:00+00:00,2866095648.8276,5666869.0227
