t,l,s
1789429920,90362,0
1789431540,9481,0
1789432920,35,0
1789434540,362,0
1789441320,6185,0
1789444800,10000,0
1789449000,2646,0
1789449180,705,0
1789449240,130000,0
1789455000,2698,0
1789455180,11,0
1789455360,1416,0
1789457700,16471,0
1789458420,2462,0
1789458960,12957,0
1789459620,20,0
1789459680,1523,0
1789479300,58794,0
1789479420,777,0
1789479480,12183,0
1789479540,127583,0
1789482720,501,0
1789482900,223828,0
1789483080,10000,0
1789483140,5705,0
1789483200,8263,0
1789483260,3625,0
1789483680,852,0
1789483860,9000,0
1789485840,0,300
1789493580,0,58359
1789493640,0,69
1789496220,3822,0
1789497420,4835,10
1789497720,679,0
1789497780,4,0
1789497900,207632,0
1789497960,181908,0
1789498020,23115,0
1789498080,314338,0
1789498140,50800,0
1789498200,535,0
1789504140,5,0
1789508160,28596,0
1789509060,123,0
1789510200,792,0
1789510500,122,0
1789525860,0,1069
1789545960,7305,0
1789546020,194,0
1789547100,200,0
1789558920,0,1883
1789564200,500,0
1789565880,196,0
1789567320,25,0
1789580220,7,0
1789581480,0,60
1789581900,0,850000
1789582080,412,3114
1789583700,2756,0
1789583760,223,0
1789584120,0,1328
1789586340,3507,0
1789586760,34,0
1789589100,0,15934
1789589160,0,3463
1789604340,0,5998
1789608300,0,146
1789608480,0,3000
1789615800,0,1917
1789627260,0,57
1789637760,0,1424
1789647300,0,52326
1789648140,0,467
1789648200,0,1708
1789651740,9764,0
1789652340,10000,0
1789656120,86,0
1789656240,14641,0
1789683480,50,0
1789693320,10,0
1789700820,0,84
1789701360,0,2000
1789701420,0,22774
1789707660,0,2000
1789718520,0,314
1789719780,0,3838
1789721760,0,1882
1789721880,0,26509
1789721940,0,10
1789722000,0,883252
1789722180,0,3214
1789722480,0,40000
1789724160,1334,0
1789734540,0,1000
1789738740,1800,1595
1789738800,0,18269
1789739040,0,1129
1789739160,0,137520
1789739220,0,2000
1789739400,710,114
1789739460,0,95664
1789741080,0,485
1789741140,0,552
1789741200,0,15245
1789741260,0,720
1789741380,0,6155
1789743600,0,23688
1789745100,0,8
1789749120,0,13
1789749180,0,4319
1789754880,241,0
1789756320,3446,0
1789758960,0,20550
1789764180,0,14454
1789772400,0,500
1789774800,357,0
1789779180,0,10934
1789779480,0,60
1789779540,0,3610000
1789779600,0,137
