t,l,s
1789419660,0.6073999999999999,0
1789419720,0.9830999999999999,0
1789422480,0.0406,0
1789423140,0.0049,0
1789423260,0.011899999999999999,0
1789423380,0.019200000000000002,0
1789423620,0.0688,0
1789424340,0.27449999999999997,0
1789424520,0.014599999999999998,0
1789424580,0.0003,0
1789424640,0.04409999999999999,0
1789424820,0.0042,0
1789424880,0.6307999999999999,0
1789425240,0.0012,0
1789426080,0.048600000000000004,0
1789426860,0.008,0
1789426980,0.1083,0
1789427100,0.0001,0
1789427160,0.5393,0
1789427940,0.0244,0
1789428600,0.4978,0
1789428660,0.015899999999999997,0
1789428720,0.004200000000000001,0
1789428960,0.013200000000000002,0
1789429020,0.2399,0
1789429800,0.0108,0
1789429860,0.0796,0
1789429920,0.6765999999999998,0
1789430700,0.0042,0
1789431240,0.0024,0
1789431300,0.0021,0
1789431360,0.0038,0
1789431420,0.0012,0
1789431480,0.04429999999999999,0
1789431540,0.034600000000000006,0
1789431600,0.004,0
1789432080,0.0058000000000000005,0
1789432140,0.0026000000000000003,0
1789432380,0.0147,0
1789432560,0.009000000000000001,0
1789432920,0.0234,0
1789434000,0.6797000000000001,0
1789434060,0.0116,0
1789434120,0.0102,0
1789434180,0.27140000000000003,0
1789434420,0.0631,0
1789434480,0.7258,0
1789434540,0.0072,0
1789434600,0.1295,0
1789441440,0.0033000000000000004,0
1789441860,0.1688,0
1789441920,0.0039000000000000003,0
1789444500,1.8592,0
1789444740,0.0036,0
1789445400,0.001,0
1789446180,0.19540000000000002,0
1789446240,0.0752,0
1789446300,0.0872,0
1789446360,0.059,0
1789446780,0.1124,0
1789446840,0.0043,0
1789447020,0.15940000000000001,0
1789447860,0.0003,0
1789449000,1.4705000000000001,0
1789449180,0.5563999999999999,0
1789449240,1.7079000000000002,0
1789452180,0,0.2137
1789455000,0.015399999999999999,0
1789455060,0.0559,0
1789455120,0.10430000000000002,0
1789455180,0.8535,0
1789455360,0.0022,0
1789456080,0.0073,0
1789457640,0.39880000000000004,0
1789457700,0.1492,0
1789458120,0.023100000000000002,0
1789458480,0.7561,0
1789458600,0.09970000000000002,0
1789458660,0.08510000000000001,0
1789458720,0.1344,0
1789458780,1.8587,0
1789458840,0.0203,0
1789458900,0.0317,0
1789458960,0.0999,0
1789459260,0.0531,0
1789459320,2.8104,0
1789459440,0.12710000000000002,0
1789459500,0.3799,0
1789459620,1.5184999999999997,0
1789459680,0.45799999999999996,0
1789459800,0.045399999999999996,0
1789459860,0.1023,0
1789469460,0,0.1018
1789470540,0,0.0089
1789472040,0.0017000000000000001,0
1789477620,0.0563,0
1789479060,0.052099999999999994,0
1789479180,0.0746,0
1789479300,0.0332,0
1789479360,0.0557,0
1789479420,0.2883,0
1789479480,1.5430999999999997,0
1789479540,1.3994,0
1789479600,0,0.0454
1789480260,0.0008,0
1789480320,0.002,0
1789480740,0,0.44670000000000004
1789480800,0,0.27879999999999994
1789482600,0.14570000000000002,0
1789482660,0.2493,0
1789482720,0.3045,0
1789482900,0.1232,0
1789483020,0.023100000000000002,0
1789483080,0.3489,0
1789483140,0.26020000000000004,0
1789483200,2.720200000000001,0
1789483260,0.0441,0
1789483320,0.0023,0
1789483560,0.043500000000000004,0
1789483620,0.03,0
1789483680,0.0261,0
1789483740,0.005699999999999999,0
1789483800,1.0850999999999997,0
1789483860,5.3402,0
1789483920,0.10650000000000001,0
1789484640,0,0.05449999999999999
1789484700,0,0.0308
1789485480,0,0.0026000000000000003
1789485840,0,2.5107
1789485900,0,3.0441000000000003
1789487400,0,0.3429
1789489200,0,0.0025
1789493460,0,1.1784000000000001
1789493520,0,0.6816
1789493580,0,5.1095
1789493640,0,4.7792
1789493700,0,3.0603000000000007
1789494000,0.0442,0
1789494120,0.4719,0
1789494180,0.11280000000000001,0
1789494240,0.0079,0
1789494600,0,0.0987
1789496160,0.1013,0
1789496220,1.1583,0
1789496280,0.8827999999999998,0
1789496940,0,5.143
1789497000,0.5383,0
1789497180,1.9665000000000001,0
1789497240,0.1532,0
1789497420,0.5152,1.3477000000000001
1789497600,0.10200000000000001,0
1789497660,0.26839999999999997,0
1789497720,1.1908,0
1789497780,1.1102,0.0008
1789497900,3.1317,0
1789497960,1.3985999999999996,0
1789498020,0.2424,0
1789498080,3.7055000000000002,0
1789498140,6.701600000000001,0
1789498200,56.7001,0.4678
1789498260,0,0.5454
1789498320,0,7.6076
1789498380,0,0.5357000000000001
1789498440,0,0.158
1789498500,0,2.0805000000000002
1789498560,0,0.011000000000000001
1789498800,0.0051,0
1789498980,0,0.0023
1789499040,0,0.0019
1789499820,0,0.48650000000000004
1789503660,0.1145,0
1789504140,0.7046,0
1789504200,1.2656,0
1789508160,0.7653,0
1789508760,0.13970000000000002,0
1789509060,0.15020000000000003,0
1789509540,0.0052,0
1789509600,0.0299,0
1789510200,0.0322,0
1789510500,0.2734,0
1789510560,1.8566,0
1789510620,0.042,0
1789510680,0.012,0
1789510740,0.05,0
1789510860,0.0213,0
1789511460,0,0.0077
1789511640,0,0.0257
1789511820,0,0.0007000000000000001
1789511880,0,0.9617999999999999
1789511940,0,0.0125
1789512360,0,0.0217
1789512480,0,0.0094
1789512660,0,0.0363
1789513560,0,9.200000000000001
1789513680,0,0.4183
1789513740,0,0.0001
1789513860,0,0.05910000000000001
1789513920,0,0.027000000000000003
1789514160,0,0.0021
1789514520,0,0.0001
1789516860,0.0115,0
1789516920,0.0587,0.0003
1789522800,0.02,0
1789523040,0,0.0015
1789523400,0.07200000000000001,0
1789523460,0.011700000000000002,0
1789523580,0.0118,0
1789523640,1.4934,0
1789523700,0.0211,0
1789525620,0,0.09459999999999999
1789525680,0,1.7708000000000002
1789525740,0,0.0191
1789525800,0,0.1829
1789525860,0,0.015400000000000002
1789526100,0,0.1991
1789526160,0,0.1729
1789536060,0,0.0805
1789541940,0,0.0076
1789542600,0.0055000000000000005,0
1789544460,0.001,0
1789544640,8.528400000000001,0
1789545780,0.19210000000000002,0.1059
1789545840,0.0025,0
1789545900,0.0175,0
1789545960,0.3696,0
1789546020,0.09670000000000001,0
1789546080,0.2458,0
1789546140,0.316,0
1789547040,0.11040000000000001,0
1789547100,0.46580000000000005,0
1789547160,0.06810000000000001,0
1789549260,0,0.0089
1789549320,0,0.013200000000000002
1789549380,0,0.36939999999999995
1789549440,0,0.009300000000000001
1789549500,0,0.06609999999999999
1789552440,0,0.0012
1789552500,0,0.0697
1789552680,0,0.2341
1789552800,0,0.0533
1789556220,0.0008,0
1789556400,0,0.006600000000000001
1789558320,0,0.0284
1789558560,0,0.012
1789558920,0,3.1762
1789558980,0.0138,0.0407
1789559040,0,0.030699999999999998
1789559400,0,0.0177
1789559460,0,0.0227
1789560720,0.0383,0
1789561680,0.0053,0
1789561800,0.0238,0
1789561860,0.11520000000000001,0
1789561920,0.4112,0
1789562340,0.0727,0
1789563720,0.0317,0
1789563780,0.7170000000000001,0
1789563840,0.0058,0
1789564200,0.0204,0
1789565460,0.0358,0
1789565880,0.5843000000000002,0
1789565940,0.0001,0
1789566000,1.1945999999999999,0
1789566300,0,0.0007000000000000001
1789566360,0.0073,0
1789567320,0.0616,0
1789567440,0.0374,0
1789567680,0.0057,0
1789567860,0.0009000000000000001,0
1789567980,0.1865,0
1789570080,0.006,0
1789570260,0.0216,0
1789573620,0,0.22410000000000002
1789577400,0.0025,0
1789580100,0.0122,0
1789580220,0.7385,0
1789580520,0.7371000000000001,0
1789580580,1.2373,0
1789580940,0.24899999999999997,0
1789581480,0,0.25959999999999994
1789581600,0.2178,0.7827
1789581660,0.26859999999999995,0
1789581720,0.1536,0
1789581780,0,2.4447
1789581840,0,0.0173
1789581900,0,0.3496
1789581960,0.01,0.6321
1789582020,0.1549,0.43509999999999993
1789582080,0.4717,0.8197
1789582200,0.29490000000000005,0
1789582260,0.054400000000000004,0
1789582320,0.4324,0
1789582380,0.0917,0
1789582440,6.234000000000001,0
1789583280,1.0919999999999999,0
1789583520,0.0628,0
1789583580,0.1359,0
1789583640,0.1832,0
1789583700,22.264300000000002,0
1789583760,2.9197,0
1789583880,0,1.4304999999999999
1789583940,0,1.1356000000000002
1789584000,0,0.5099
1789584060,0,6.0678
1789584120,0,0.6169000000000001
1789584180,0,0.2571
1789584420,0.7046000000000001,0
1789584600,1.4785000000000001,0
1789584660,0.1198,0
1789584720,0.26539999999999997,0
1789584780,0.41179999999999994,0
1789584840,0.0137,0
1789584900,0.009000000000000001,0
1789585200,0,0.23070000000000002
1789585260,0,0.24039999999999997
1789585380,0,0.4494
1789585440,0,0.045399999999999996
1789585980,0.0802,0
1789586340,1.3917,0
1789586460,0.0032,0
1789586520,0.2394,0
1789586580,0.0235,0
1789586640,0.3504,0
1789586700,0.9973000000000001,0
1789586760,0.4792,0
1789586820,0,0.01
1789587180,0,0.1519
1789587240,0,0.034300000000000004
1789587300,0,0.038599999999999995
1789587660,0,0.024
1789587720,0,0.027800000000000002
1789587780,0,0.034
1789587840,0,0.0098
1789587900,0,0.0526
1789588080,0,0.0772
1789588920,0,0.0937
1789588980,0,0.1607
1789589040,0,0.25060000000000004
1789589100,0,0.1589
1789589160,0,0.16140000000000002
1789594980,0.095,0
1789596060,0.2366,0
1789596120,1.9828000000000001,0
1789596240,0.0022,0
1789596300,0.0801,0
1789596420,0.0373,0
1789596480,0.2694,0
1789599000,0.0226,0
1789599120,0.0623,0
1789599180,1.3834,0
1789600560,0,0.0348
