t,l,s
1789423140,220.00000000000003,0
1789424640,6909.999999999999,0
1789424700,22900,0
1789434060,15680.000000000002,0
1789434540,23440,0
1789446300,320,0
1789455000,34820,0
1789458720,100,0
1789459620,390,0
1789479300,59529.99999999999,0
1789479420,440,0
1789479480,300,0
1789479540,4060,0
1789482660,73710,0
1789482900,10410,0
1789483200,68660,0
1789483260,105570,0
1789483860,440.00000000000006,0
1789485840,0,6190
1789493700,0,2480
1789497420,23400,1080
1789497780,330,0
1789497900,3480,0
1789497960,660,0
1789498020,41060,0
1789498080,10730,0
1789498140,3380,0
1789504140,750,0
1789504200,24960,0
1789510560,3100,0
1789545960,22970,0
1789561920,1750,0
1789565880,199460,0
1789567440,101190,0
1789582020,0,2450
1789583700,10510,0
1789583760,7940,0
1789589100,0,110.00000000000001
1789600800,0,1540
1789647240,0,16620
1789647300,0,30980
1789651800,64890,0
1789651920,2000,0
1789652280,3470.0000000000005,0
1789683420,3420.0000000000005,0
1789701060,0,60
1789701180,0,5320
1789701360,0,1650
1789701420,0,22870
1789715160,0,1970
1789718460,0,720
1789718520,0,12940
1789722120,0,72300
1789738620,0,60
1789738680,0,2700
1789738740,0,8810
1789738800,0,25380
1789739040,0,80
1789739100,0,12410
1789739160,0,33720
1789739220,0,17340
1789739460,0,11460
1789740300,0,1730
1789741140,0,120
1789741320,0,30
1789744560,0,35230
1789745100,0,30
1789749180,0,110.00000000000001
1789752180,900,0
1789758960,0,20550
1789779300,0,8059.999999999999
1789779360,0,4880
1789779600,0,9040
