date,time_utc,type,source,confidence,note
2015-01-09,2015-01-09T13:30:00Z,NFP,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-01-16,2015-01-16T13:30:00Z,CPI,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-01-21,2015-01-21T02:30:00Z,BOJ,verified_web,high,"boj.or.jp minu_2015 (minutes title); RELEASE TIME DRIFTS -- time_utc is the nominal 11:30 JST anchor, window 02:00-05:00 UTC"
2015-01-28,2015-01-28T19:00:00Z,FOMC,verified_web,medium,"fomchistorical2015.htm; 14:00 ET rule (page carries no release-time line)"
2015-02-06,2015-02-06T13:30:00Z,NFP,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-02-18,2015-02-18T02:30:00Z,BOJ,verified_web,high,"boj.or.jp minu_2015 (minutes title); RELEASE TIME DRIFTS -- time_utc is the nominal 11:30 JST anchor, window 02:00-05:00 UTC"
2015-02-26,2015-02-26T13:30:00Z,CPI,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-03-06,2015-03-06T13:30:00Z,NFP,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-03-17,2015-03-17T02:30:00Z,BOJ,verified_web,high,"boj.or.jp minu_2015 (minutes title); RELEASE TIME DRIFTS -- time_utc is the nominal 11:30 JST anchor, window 02:00-05:00 UTC"
2015-03-18,2015-03-18T18:00:00Z,FOMC,verified_web,medium,"fomchistorical2015.htm; 14:00 ET rule (page carries no release-time line)"
2015-03-24,2015-03-24T12:30:00Z,CPI,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-04-03,2015-04-03T12:30:00Z,NFP,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-04-08,2015-04-08T02:30:00Z,BOJ,verified_web,high,"boj.or.jp minu_2015 (minutes title); RELEASE TIME DRIFTS -- time_utc is the nominal 11:30 JST anchor, window 02:00-05:00 UTC"
2015-04-17,2015-04-17T12:30:00Z,CPI,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-04-29,2015-04-29T18:00:00Z,FOMC,verified_web,medium,"fomchistorical2015.htm; 14:00 ET rule (page carries no release-time line)"
2015-04-30,2015-04-30T02:30:00Z,BOJ,verified_web,high,"boj.or.jp minu_2015 (minutes title); RELEASE TIME DRIFTS -- time_utc is the nominal 11:30 JST anchor, window 02:00-05:00 UTC"
2015-05-08,2015-05-08T12:30:00Z,NFP,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-05-22,2015-05-22T02:30:00Z,BOJ,verified_web,high,"boj.or.jp minu_2015 (minutes title); RELEASE TIME DRIFTS -- time_utc is the nominal 11:30 JST anchor, window 02:00-05:00 UTC"
2015-05-22,2015-05-22T12:30:00Z,CPI,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-06-05,2015-06-05T12:30:00Z,NFP,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-06-17,2015-06-17T18:00:00Z,FOMC,verified_web,medium,"fomchistorical2015.htm; 14:00 ET rule (page carries no release-time line)"
2015-06-18,2015-06-18T12:30:00Z,CPI,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-06-19,2015-06-19T02:30:00Z,BOJ,verified_web,high,"boj.or.jp minu_2015 (minutes title); RELEASE TIME DRIFTS -- time_utc is the nominal 11:30 JST anchor, window 02:00-05:00 UTC"
2015-07-02,2015-07-02T12:30:00Z,NFP,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-07-15,2015-07-15T02:30:00Z,BOJ,verified_web,high,"boj.or.jp minu_2015 (minutes title); RELEASE TIME DRIFTS -- time_utc is the nominal 11:30 JST anchor, window 02:00-05:00 UTC"
2015-07-17,2015-07-17T12:30:00Z,CPI,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-07-29,2015-07-29T18:00:00Z,FOMC,verified_web,medium,"fomchistorical2015.htm; 14:00 ET rule (page carries no release-time line)"
2015-08-07,2015-08-07T02:30:00Z,BOJ,verified_web,high,"boj.or.jp minu_2015 (minutes title); RELEASE TIME DRIFTS -- time_utc is the nominal 11:30 JST anchor, window 02:00-05:00 UTC"
2015-08-07,2015-08-07T12:30:00Z,NFP,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-08-19,2015-08-19T12:30:00Z,CPI,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-09-04,2015-09-04T12:30:00Z,NFP,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-09-15,2015-09-15T02:30:00Z,BOJ,verified_web,high,"boj.or.jp minu_2015 (minutes title); RELEASE TIME DRIFTS -- time_utc is the nominal 11:30 JST anchor, window 02:00-05:00 UTC"
2015-09-16,2015-09-16T12:30:00Z,CPI,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-09-17,2015-09-17T18:00:00Z,FOMC,verified_web,medium,"fomchistorical2015.htm; 14:00 ET rule (page carries no release-time line)"
2015-10-02,2015-10-02T12:30:00Z,NFP,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-10-07,2015-10-07T02:30:00Z,BOJ,verified_web,high,"boj.or.jp minu_2015 (minutes title); RELEASE TIME DRIFTS -- time_utc is the nominal 11:30 JST anchor, window 02:00-05:00 UTC"
2015-10-15,2015-10-15T12:30:00Z,CPI,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-10-28,2015-10-28T18:00:00Z,FOMC,verified_web,medium,"fomchistorical2015.htm; 14:00 ET rule (page carries no release-time line)"
2015-10-30,2015-10-30T02:30:00Z,BOJ,verified_web,high,"boj.or.jp minu_2015 (minutes title); RELEASE TIME DRIFTS -- time_utc is the nominal 11:30 JST anchor, window 02:00-05:00 UTC"
2015-11-06,2015-11-06T13:30:00Z,NFP,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-11-17,2015-11-17T13:30:00Z,CPI,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-11-19,2015-11-19T02:30:00Z,BOJ,verified_web,high,"boj.or.jp minu_2015 (minutes title); RELEASE TIME DRIFTS -- time_utc is the nominal 11:30 JST anchor, window 02:00-05:00 UTC"
2015-12-04,2015-12-04T13:30:00Z,NFP,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-12-15,2015-12-15T13:30:00Z,CPI,verified_web,high,"bls.gov/schedule/2015 (08:30 ET)"
2015-12-16,2015-12-16T19:00:00Z,FOMC,verified_web,medium,"fomchistorical2015.htm; 14:00 ET rule (page carries no release-time line)"
2015-12-18,2015-12-18T02:30:00Z,BOJ,verified_web,high,"boj.or.jp minu_2015 (minutes title); RELEASE TIME DRIFTS -- time_utc is the nominal 11:30 JST anchor, window 02:00-05:00 UTC"
2016-01-08,2016-01-08T13:30:00Z,NFP,verified_web,high,"bls.gov/schedule/2016 (08:30 ET)"
2016-01-20,2016-01-20T13:30:00Z,CPI,verified_web,high,"bls.gov/schedule/2016 (08:30 ET)"
2016-01-27,2016-01-27T19:00:00Z,FOMC,verified_web,high,"fomchistorical2016.htm; statement release time scraped: 14:00 ET"
2016-01-29,2016-01-29T02:30:00Z,BOJ,verified_web,high,"boj.or.jp minu_2016 (minutes title); RELEASE TIME DRIFTS -- time_utc is the nominal 11:30 JST anchor, window 02:00-05:00 UTC"
2016-02-05,2016-02-05T13:30:00Z,NFP,verified_web,high,"bls.gov/schedule/2016 (08:30 ET)"
2016-02-19,2016-02-19T13:30:00Z,CPI,verified_web,high,"bls.gov/schedule/2016 (08:30 ET)"
2016-03-04,2016-03-04T13:30:00Z,NFP,verified_web,high,"bls.gov/schedule/2016 (08:30 ET)"
2016-03-15,2016-03-15T02:30:00Z,BOJ,verified_web,high,"boj.or.jp minu_2016 (minutes title); RELEASE TIME DRIFTS -- time_utc is the nominal 11:30 JST anchor, window 02:00-05:00 UTC"
2016-03-16,2016-03-16T12:30:00Z,CPI,verified_web,high,"bls.gov/schedule/2016 (08:30 ET)"
2016-03-16,2016-03-16T18:00:00Z,FOMC,verified_web,high,"fomchistorical2016.htm; statement release time scraped: 14:00 ET"
2016-04-01,2016-04-01T12:30:00Z,NFP,verified_web,high,"bls.gov/schedule/2016 (08:30 ET)"
2016-04-14,2016-04-14T12:30:00Z,CPI,verified_web,high,"bls.gov/schedule/2016 (08:30 ET)"
2016-04-27,2016-04-27T18:00:00Z,FOMC,verified_web,high,"fomchistorical2016.htm; statement release time scraped: 14:00 ET"
2016-04-28,2016-04-28T02:30:00Z,BOJ,verified_web,high,"boj.or.jp minu_2016 (minutes title); RELEASE TIME DRIFTS -- time_utc is the nominal 11:30 JST anchor, window 02:00-05:00 UTC"
2016-05-06,2016-05-06T12:30:00Z,NFP,verified_web,high,"bls.gov/schedule/2016 (08:30 ET)"
2016-05-17,2016-05-17T12:30:00Z,CPI,verified_web,high,"bls.gov/schedule/2016 (08:30 ET)"
2016-06-03,2016-06-03T12:30:00Z,NFP,verified_web,high,"bls.gov/schedule/2016 (08:30 ET)"
2016-06-15,2016-06-15T18:00:00Z,FOMC,verified_web,high,"fomchistorical2016.htm; statement release time scraped: 14:00 ET"
2016-06-16,2016-06-16T02:30:00Z,BOJ,verified_web,high,"boj.or.jp minu_2016 (minutes title); RELEASE TIME DRIFTS -- time_utc is the nominal 11:30 JST anchor, window 02:00-05:00 UTC"
2016-06-16,2016-06-16T12:30:00Z,CPI,verified_web,high,"bls.gov/schedule/2016 (08:30 ET)"
