effective_date,ticker,name,action
2000-03-28,8601,大和証券グループ本社,add
2000-03-28,8401,三井信託銀行,delete
2000-04-24,2914,日本たばこ産業,add
2000-04-24,4452,花王,add
2000-04-24,4505,第一製薬,add
2000-04-24,4523,エーザイ,add
2000-04-24,4543,テルモ,add
2000-04-24,6762,TDK,add
2000-04-24,6767,ミツミ電機,add
2000-04-24,6781,松下通信工業,add
2000-04-24,6857,アドバンテスト,add
2000-04-24,6952,カシオ計算機,add
2000-04-24,6954,ファナック,add
2000-04-24,6971,京セラ,add
2000-04-24,6976,太陽誘電,add
2000-04-24,6991,松下電工,add
2000-04-24,7211,三菱自動車工業,add
2000-04-24,7270,富士重工業,add
2000-04-24,8035,東京エレクトロン,add
2000-04-24,8183,セブン-イレブン・ジャパン,add
2000-04-24,8264,イトーヨーカ堂,add
2000-04-24,8267,ジャスコ,add
2000-04-24,8302,日本興業銀行,add
2000-04-24,8319,大和銀行,add
2000-04-24,8321,東海銀行,add
2000-04-24,8355,静岡銀行,add
2000-04-24,8403,住友信託銀行,add
2000-04-24,8404,安田信託銀行,add
2000-04-24,8753,住友海上火災保険,add
2000-04-24,9020,JR東日本,add
2000-04-24,9433,DDI,add
2000-04-24,9437,NTTドコモ,add
2000-04-24,1331,ニチロ,delete
2000-04-24,1501,三井鉱山,delete
2000-04-24,1503,住友石炭鉱業,delete
2000-04-24,2108,日本甜菜製糖,delete
2000-04-24,2601,ホーネンコーポレーション,delete
2000-04-24,3104,富士紡績,delete
2000-04-24,3403,東邦レーヨン,delete
2000-04-24,4022,ラサ工業,delete
2000-04-24,4064,日本カーバイド工業,delete
2000-04-24,4092,日本化学工業,delete
2000-04-24,4201,日本合成化学工業,delete
2000-04-24,4401,旭電化工業,delete
2000-04-24,4403,日本油脂,delete
2000-04-24,5105,東洋ゴム工業,delete
2000-04-24,5302,日本カーボン,delete
2000-04-24,5331,ノリタケカンパニーリミテド,delete
2000-04-24,5351,品川白煉瓦,delete
2000-04-24,5479,日本金属工業,delete
2000-04-24,5480,日本冶金工業,delete
2000-04-24,5563,日本電工,delete
2000-04-24,5632,三菱製鋼,delete
2000-04-24,5721,志村化工,delete
