symbol,n_rows,first_date,last_date,status
1301.T,6397,2001-01-01,2026-09-04,ok
1331.T,0,,,no timestamps
1333.T,3060,2014-04-01,2026-09-04,ok
1334.T,0,,,no timestamps
1501.T,0,,,no timestamps
1503.T,0,,,no timestamps
1601.T,0,,,no timestamps
1605.T,6656,2000-01-04,2026-09-04,ok
1721.T,5682,2003-09-29,2026-09-04,ok
1804.T,0,,,no timestamps
1805.T,0,,,HTTP Error 404: Not Found
1806.T,0,,,no timestamps
1808.T,6397,2001-01-01,2026-09-04,ok
1815.T,6397,2001-01-01,2026-09-04,ok
1837.T,0,,,no timestamps
1861.T,6656,2000-01-04,2026-09-04,ok
1885.T,6397,2001-01-01,2026-09-04,ok
1886.T,0,,,no timestamps
1928.T,6656,2000-01-04,2026-09-04,ok
1947.T,0,,,no timestamps
1963.T,6656,2000-01-04,2026-09-04,ok
2001.T,6397,2001-01-01,2026-09-04,ok
2108.T,6397,2001-01-01,2026-09-04,ok
2201.T,6397,2001-01-01,2026-09-04,ok
2202.T,0,,,no timestamps
2261.T,0,,,no timestamps
2269.T,6656,2000-01-04,2026-09-04,ok
2282.T,6656,2000-01-04,2026-09-04,ok
2413.T,5429,2004-09-16,2026-09-04,ok
2432.T,5320,2005-02-16,2026-09-04,ok
2531.T,6656,2000-01-04,2026-09-04,ok
2536.T,0,,,no timestamps
2601.T,0,,,no timestamps
2602.T,6397,2001-01-01,2026-09-04,ok
2768.T,6656,2000-01-04,2026-09-04,ok
2779.T,0,,,no timestamps
285A.T,417,2024-12-18,2026-09-04,ok
2914.T,6656,2000-01-04,2026-09-04,ok
3086.T,6656,2000-01-04,2026-09-04,ok
3092.T,4600,2007-12-11,2026-09-04,ok
3099.T,6397,2001-01-01,2026-09-04,ok
3101.T,6656,2000-01-04,2026-09-04,ok
3102.T,0,,,no timestamps
3103.T,6656,2000-01-04,2026-09-04,ok
3104.T,6397,2001-01-01,2026-09-04,ok
3105.T,6656,2000-01-04,2026-09-04,ok
3110.T,6656,2000-01-04,2026-09-04,ok
3289.T,3177,2013-10-01,2026-09-04,ok
3382.T,6656,2000-01-04,2026-09-04,ok
3403.T,0,,,no timestamps
3404.T,0,,,no timestamps
3436.T,5713,2003-08-15,2026-09-04,ok
3659.T,3623,2011-12-14,2026-09-04,ok
3697.T,2905,2014-11-14,2026-09-04,ok
3863.T,3305,2013-04-01,2026-09-04,ok
3864.T,5159,2005-09-29,2026-09-04,ok
3865.T,6656,2000-01-04,2026-09-04,ok
3893.T,0,,,no timestamps
4010.T,0,,,no timestamps
4022.T,6397,2001-01-01,2026-09-04,ok
4041.T,6656,2000-01-04,2026-09-04,ok
4043.T,6397,2001-01-01,2026-09-04,ok
