day,t_ms,side,n_nodes,n_band_bins,n_band_bins_in_range,n_profile_bins,band_coverage,band_coverage_log,n_liq,n_liq_in_band,in_band_rate,n_trades,n_trades_in_band,trade_in_band_rate,p0,total_qty
2023-06-25,1687651200000,SELL,2,5,5,20,0.249622,0.25,0,0,,3022,2201,0.728326,30543.1,10315602.0
2023-06-25,1687651200000,BUY,2,5,1,20,0.050476,0.05,0,0,,3022,0,0.0,30543.1,10315602.0
2023-06-25,1687654800000,SELL,2,5,5,20,0.249622,0.25,0,0,,2875,668,0.232348,30526.2,9999216.0
2023-06-25,1687654800000,BUY,2,5,1,20,0.050476,0.05,4,0,0.0,2875,0,0.0,30526.2,9999216.0
2023-06-25,1687658400000,SELL,2,5,5,20,0.249622,0.25,0,0,,2443,0,0.0,30614.2,9621401.0
2023-06-25,1687658400000,BUY,2,5,1,20,0.050476,0.05,4,0,0.0,2443,0,0.0,30614.2,9621401.0
2023-06-25,1687662000000,SELL,2,5,5,20,0.249622,0.25,0,0,,2745,0,0.0,30635.3,9312041.0
2023-06-25,1687662000000,BUY,2,5,1,20,0.050476,0.05,10,0,0.0,2745,0,0.0,30635.3,9312041.0
2023-06-25,1687665600000,SELL,2,5,5,20,0.249622,0.25,2,0,0.0,10538,0,0.0,30755.4,9260292.0
2023-06-25,1687665600000,BUY,2,5,1,20,0.050476,0.05,30,16,0.533333,10538,5623,0.533593,30755.4,9260292.0
2023-06-25,1687669200000,SELL,3,5,5,28,0.177587,0.178571,4,0,0.0,4231,0,0.0,30898.3,10371072.0
2023-06-25,1687669200000,BUY,3,5,5,28,0.179909,0.178571,0,0,,4231,4159,0.982983,30898.3,10371072.0
2023-06-25,1687672800000,SELL,3,5,5,28,0.177587,0.178571,4,0,0.0,7317,0,0.0,30862.1,10698872.0
2023-06-25,1687672800000,BUY,3,5,5,28,0.179909,0.178571,4,2,0.5,7317,5876,0.803061,30862.1,10698872.0
2023-06-25,1687676400000,SELL,3,5,5,28,0.177587,0.178571,4,0,0.0,4842,0,0.0,30881.0,11315872.0
2023-06-25,1687676400000,BUY,3,5,5,28,0.179909,0.178571,0,0,,4842,921,0.190211,30881.0,11315872.0
2023-06-25,1687680000000,SELL,3,6,6,28,0.213211,0.214286,2,0,0.0,2898,0,0.0,30723.3,11692358.0
2023-06-25,1687680000000,BUY,3,6,6,28,0.215999,0.214286,0,0,,2898,0,0.0,30723.3,11692358.0
2023-06-25,1687683600000,SELL,3,6,6,28,0.213211,0.214286,12,0,0.0,4024,0,0.0,30745.5,11756270.0
2023-06-25,1687683600000,BUY,3,6,6,28,0.215999,0.214286,0,0,,4024,0,0.0,30745.5,11756270.0
2023-06-25,1687687200000,SELL,3,5,5,28,0.177764,0.178571,0,0,,2356,0,0.0,30681.6,12001848.0
2023-06-25,1687687200000,BUY,3,5,5,28,0.180089,0.178571,0,0,,2356,0,0.0,30681.6,12001848.0
2023-06-25,1687690800000,SELL,3,5,5,28,0.177764,0.178571,0,0,,2090,0,0.0,30621.7,11889759.0
2023-06-25,1687690800000,BUY,3,5,5,28,0.180089,0.178571,0,0,,2090,0,0.0,30621.7,11889759.0
2023-06-25,1687694400000,SELL,3,6,6,28,0.213211,0.214286,0,0,,2351,0,0.0,30718.1,11924109.0
2023-06-25,1687694400000,BUY,3,6,6,28,0.215999,0.214286,0,0,,2351,0,0.0,30718.1,11924109.0
2023-06-25,1687698000000,SELL,3,6,6,28,0.213211,0.214286,4,4,1.0,5782,1739,0.300761,30667.9,11843734.0
2023-06-25,1687698000000,BUY,3,6,6,28,0.215999,0.214286,0,0,,5782,0,0.0,30667.9,11843734.0
2023-06-25,1687701600000,SELL,3,6,6,28,0.213211,0.214286,0,0,,4376,463,0.105804,30679.9,12127353.0
2023-06-25,1687701600000,BUY,3,6,6,28,0.215999,0.214286,0,0,,4376,0,0.0,30679.9,12127353.0
2023-06-25,1687705200000,SELL,3,6,6,28,0.213211,0.214286,8,8,1.0,5826,3447,0.591658,30556.3,12391836.0
2023-06-25,1687705200000,BUY,3,6,6,28,0.215999,0.214286,2,0,0.0,5826,0,0.0,30556.3,12391836.0
2023-06-25,1687708800000,SELL,3,7,7,27,0.257702,0.259259,0,0,,3397,1990,0.585811,30586.1,11672768.0
2023-06-25,1687708800000,BUY,3,7,7,27,0.261072,0.259259,2,0,0.0,3397,0,0.0,30586.1,11672768.0
2023-06-25,1687712400000,SELL,3,5,3,22,0.135072,0.136364,2,0,0.0,2418,0,0.0,30602.7,11159929.0
2023-06-25,1687712400000,BUY,3,5,5,22,0.227837,0.227273,0,0,,2418,0,0.0,30602.7,11159929.0
2023-06-25,1687716000000,SELL,3,6,3,22,0.135072,0.136364,28,26,0.928571,6987,6524,0.933734,30536.8,10906701.0
2023-06-25,1687716000000,BUY,3,6,6,22,0.273268,0.272727,0,0,,6987,0,0.0,30536.8,10906701.0
2023-06-25,1687719600000,SELL,3,6,5,24,0.20636,0.208333,0,0,,3404,3404,1.0,30462.9,11481453.0
2023-06-25,1687719600000,BUY,3,6,6,24,0.250745,0.25,0,0,,3404,0,0.0,30462.9,11481453.0
2023-06-25,1687723200000,SELL,3,5,4,24,0.165005,0.166667,16,12,0.75,4479,1803,0.402545,30438.6,11646153.0
2023-06-25,1687723200000,BUY,3,5,5,24,0.20885,0.208333,2,0,0.0,4479,0,0.0,30438.6,11646153.0
2023-06-25,1687726800000,SELL,3,7,7,26,0.267176,0.269231,0,0,,2133,685,0.321144,30374.8,11864808.0
2023-06-25,1687726800000,BUY,3,7,7,26,0.27067,0.269231,0,0,,2133,0,0.0,30374.8,11864808.0
2023-06-25,1687730400000,SELL,3,8,8,26,0.305539,0.307692,0,0,,3204,3204,1.0,30452.8,11739382.0
2023-06-25,1687730400000,BUY,3,8,8,26,0.309535,0.307692,2,0,0.0,3204,0,0.0,30452.8,11739382.0
2023-06-25,1687734000000,SELL,3,8,8,26,0.305539,0.307692,0,0,,1936,1936,1.0,30506.4,11871648.0
2023-06-25,1687734000000,BUY,3,8,8,26,0.309535,0.307692,0,0,,1936,0,0.0,30506.4,11871648.0
2023-06-26,1687737600000,SELL,3,7,7,26,0.26748,0.269231,4,4,1.0,5703,5703,1.0,30468.6,11860725.0
2023-06-26,1687737600000,BUY,3,7,7,26,0.270979,0.269231,0,0,,5703,0,0.0,30468.6,11860725.0
