day,t_ms,side,n_nodes,n_band_bins,n_band_bins_in_range,n_profile_bins,band_coverage,band_coverage_log,n_liq,n_liq_in_band,in_band_rate,n_trades,n_trades_in_band,trade_in_band_rate,p0,total_qty
2023-06-25,1687651200000,BUY,2,4,2,16,0.125876,0.125,0,0,,3022,0,0.0,30543.1,3240714.0
2023-06-25,1687651200000,SELL,2,4,4,16,0.249,0.25,0,0,,3022,0,0.0,30543.1,3240714.0
2023-06-25,1687654800000,BUY,2,4,2,11,0.182637,0.181818,2,0,0.0,2875,0,0.0,30526.2,2708602.0
2023-06-25,1687654800000,SELL,2,4,1,11,0.090455,0.090909,0,0,,2875,0,0.0,30526.2,2708602.0
2023-06-25,1687658400000,BUY,2,4,3,11,0.273819,0.272727,2,2,1.0,2443,2008,0.82194,30614.2,2500593.0
2023-06-25,1687658400000,SELL,2,4,0,11,0.0,0.0,0,0,,2443,0,0.0,30614.2,2500593.0
2023-06-25,1687662000000,BUY,2,4,3,11,0.273819,0.272727,5,4,0.8,2745,2278,0.829872,30635.3,2448467.0
2023-06-25,1687662000000,SELL,2,4,0,11,0.0,0.0,0,0,,2745,0,0.0,30635.3,2448467.0
2023-06-25,1687665600000,BUY,2,4,4,13,0.308769,0.307692,15,0,0.0,10538,3,0.000285,30755.4,2549465.0
2023-06-25,1687665600000,SELL,2,4,0,13,0.0,0.0,1,0,0.0,10538,0,0.0,30755.4,2549465.0
2023-06-25,1687669200000,BUY,3,5,5,22,0.227155,0.227273,0,0,,4231,0,0.0,30898.3,3620068.0
2023-06-25,1687669200000,SELL,3,5,1,22,0.044979,0.045455,2,0,0.0,4231,0,0.0,30898.3,3620068.0
2023-06-25,1687672800000,BUY,2,6,4,20,0.200249,0.2,2,0,0.0,7317,0,0.0,30862.1,3723399.0
2023-06-25,1687672800000,SELL,2,6,3,20,0.149773,0.15,2,0,0.0,7317,0,0.0,30862.1,3723399.0
2023-06-25,1687676400000,BUY,2,4,2,20,0.100902,0.1,0,0,,4842,0,0.0,30881.0,4313007.0
2023-06-25,1687676400000,SELL,2,4,4,20,0.199597,0.2,2,1,0.5,4842,3666,0.757125,30881.0,4313007.0
2023-06-25,1687680000000,BUY,2,4,2,20,0.100902,0.1,0,0,,2898,0,0.0,30723.3,4780519.0
2023-06-25,1687680000000,SELL,2,4,4,20,0.199597,0.2,1,1,1.0,2898,2709,0.934783,30723.3,4780519.0
2023-06-25,1687683600000,BUY,2,6,4,19,0.211631,0.210526,0,0,,4024,0,0.0,30745.5,4715364.0
2023-06-25,1687683600000,SELL,2,6,6,19,0.314212,0.315789,6,0,0.0,4024,1955,0.485835,30745.5,4715364.0
2023-06-25,1687687200000,BUY,2,6,4,16,0.250937,0.25,0,0,,2356,0,0.0,30681.6,4813311.0
2023-06-25,1687687200000,SELL,2,6,3,16,0.186843,0.1875,0,0,,2356,662,0.280985,30681.6,4813311.0
2023-06-25,1687690800000,BUY,2,6,4,16,0.250937,0.25,0,0,,2090,0,0.0,30621.7,4795053.0
2023-06-25,1687690800000,SELL,2,6,3,16,0.186843,0.1875,0,0,,2090,313,0.149761,30621.7,4795053.0
2023-06-25,1687694400000,BUY,2,6,4,16,0.250937,0.25,0,0,,2351,0,0.0,30718.1,4737227.0
2023-06-25,1687694400000,SELL,2,6,3,16,0.186843,0.1875,0,0,,2351,2117,0.900468,30718.1,4737227.0
2023-06-25,1687698000000,BUY,2,4,4,14,0.286857,0.285714,0,0,,5782,0,0.0,30667.9,3682286.0
2023-06-25,1687698000000,SELL,2,4,1,14,0.070965,0.071429,2,2,1.0,5782,2724,0.471117,30667.9,3682286.0
2023-06-25,1687701600000,BUY,2,4,4,17,0.236352,0.235294,0,0,,4376,0,0.0,30679.9,3881303.0
2023-06-25,1687701600000,SELL,2,4,3,17,0.175238,0.176471,0,0,,4376,463,0.105804,30679.9,3881303.0
2023-06-25,1687705200000,BUY,2,4,3,14,0.215465,0.214286,1,0,0.0,5826,0,0.0,30556.3,3493737.0
2023-06-25,1687705200000,SELL,2,4,3,14,0.213109,0.214286,4,4,1.0,5826,3447,0.591658,30556.3,3493737.0
2023-06-25,1687708800000,BUY,2,4,2,11,0.182637,0.181818,1,0,0.0,3397,0,0.0,30586.1,3651535.0
2023-06-25,1687708800000,SELL,2,4,1,11,0.090455,0.090909,0,0,,3397,0,0.0,30586.1,3651535.0
2023-06-25,1687712400000,BUY,1,3,1,10,0.10045,0.1,0,0,,2418,0,0.0,30602.7,3735963.0
2023-06-25,1687712400000,SELL,1,3,0,10,0.0,0.0,1,0,0.0,2418,0,0.0,30602.7,3735963.0
2023-06-25,1687716000000,BUY,1,3,1,10,0.10045,0.1,0,0,,6987,0,0.0,30536.8,3592797.0
2023-06-25,1687716000000,SELL,1,3,0,10,0.0,0.0,14,7,0.5,6987,4946,0.707886,30536.8,3592797.0
