day,t_ms,side,n_nodes,n_band_bins,n_band_bins_in_range,n_profile_bins,band_coverage,band_coverage_log,n_liq,n_liq_in_band,in_band_rate,n_trades,n_trades_in_band,trade_in_band_rate,p0,total_qty
2024-02-19,1708300800000,BUY,3,5,5,25,0.201198,0.2,3,0,0.0,10504,7357,0.7004,52182.0,12421467.0
2024-02-19,1708300800000,SELL,3,5,5,25,0.198799,0.2,0,0,,10504,0,0.0,52182.0,12421467.0
2024-02-19,1708304400000,BUY,3,5,5,26,0.193363,0.192308,0,0,,8332,7017,0.842175,52254.0,13115837.0
2024-02-19,1708304400000,SELL,3,5,5,26,0.191057,0.192308,5,0,0.0,8332,0,0.0,52254.0,13115837.0
2024-02-19,1708308000000,BUY,3,5,5,26,0.193363,0.192308,0,0,,6501,6501,1.0,52138.0,13105632.0
2024-02-19,1708308000000,SELL,3,5,5,26,0.191057,0.192308,0,0,,6501,0,0.0,52138.0,13105632.0
2024-02-19,1708311600000,BUY,3,5,5,24,0.209268,0.208333,0,0,,6301,6301,1.0,52198.5,12527888.0
2024-02-19,1708311600000,SELL,3,5,5,24,0.206773,0.208333,0,0,,6301,0,0.0,52198.5,12527888.0
2024-02-19,1708315200000,BUY,3,5,5,22,0.228065,0.227273,0,0,,5707,5707,1.0,52110.5,12537416.0
2024-02-19,1708315200000,SELL,3,5,5,22,0.225346,0.227273,0,0,,5707,0,0.0,52110.5,12537416.0
2024-02-19,1708318800000,BUY,3,5,5,22,0.228065,0.227273,0,0,,6091,6091,1.0,52149.9,12536806.0
2024-02-19,1708318800000,SELL,3,5,5,22,0.225346,0.227273,1,0,0.0,6091,0,0.0,52149.9,12536806.0
2024-02-19,1708322400000,BUY,3,5,5,22,0.228065,0.227273,11,1,0.090909,13453,814,0.060507,52179.7,12468505.0
2024-02-19,1708322400000,SELL,3,5,5,22,0.225346,0.227273,0,0,,13453,0,0.0,52179.7,12468505.0
2024-02-19,1708326000000,BUY,3,7,6,21,0.287285,0.285714,2,2,1.0,9493,6881,0.72485,52462.6,13332186.0
2024-02-19,1708326000000,SELL,3,7,7,21,0.331431,0.333333,0,0,,9493,0,0.0,52462.6,13332186.0
2024-02-19,1708329600000,BUY,2,4,4,20,0.200397,0.2,0,0,,9991,3895,0.389851,52456.0,13392711.0
2024-02-19,1708329600000,SELL,2,4,2,20,0.099103,0.1,6,0,0.0,9991,0,0.0,52456.0,13392711.0
2024-02-19,1708333200000,BUY,2,4,3,20,0.151277,0.15,1,0,0.0,8099,0,0.0,52165.9,13835966.0
2024-02-19,1708333200000,SELL,2,4,4,20,0.199398,0.2,0,0,,8099,0,0.0,52165.9,13835966.0
2024-02-19,1708336800000,BUY,2,4,3,20,0.151277,0.15,1,1,1.0,9248,2190,0.236808,52326.2,13540884.0
2024-02-19,1708336800000,SELL,2,4,4,20,0.199398,0.2,0,0,,9248,0,0.0,52326.2,13540884.0
2024-02-19,1708340400000,BUY,2,4,1,20,0.050476,0.05,0,0,,7001,0,0.0,52408.0,13670154.0
2024-02-19,1708340400000,SELL,2,4,4,20,0.199797,0.2,0,0,,7001,0,0.0,52408.0,13670154.0
2024-02-19,1708344000000,BUY,2,4,1,20,0.050476,0.05,1,0,0.0,8947,0,0.0,52392.0,13687519.0
2024-02-19,1708344000000,SELL,2,4,4,20,0.199797,0.2,0,0,,8947,0,0.0,52392.0,13687519.0
2024-02-19,1708347600000,BUY,2,4,0,20,0.0,0.0,0,0,,13676,0,0.0,52333.2,14242333.0
2024-02-19,1708347600000,SELL,2,4,4,20,0.200197,0.2,1,0,0.0,13676,4605,0.336721,52333.2,14242333.0
2024-02-19,1708351200000,BUY,2,4,0,19,0.0,0.0,0,0,,11991,0,0.0,52196.1,14637215.0
2024-02-19,1708351200000,SELL,2,4,4,19,0.210629,0.210526,4,4,1.0,11991,11888,0.99141,52196.1,14637215.0
2024-02-19,1708354800000,BUY,2,6,2,19,0.10616,0.105263,3,0,0.0,10716,0,0.0,52137.0,15063693.0
2024-02-19,1708354800000,SELL,2,6,6,19,0.315312,0.315789,0,0,,10716,5853,0.546193,52137.0,15063693.0
2024-02-19,1708358400000,BUY,2,4,3,19,0.15916,0.157895,0,0,,14985,0,0.0,52152.6,15559203.0
2024-02-19,1708358400000,SELL,2,4,4,19,0.209788,0.210526,18,9,0.5,14985,3776,0.251985,52152.6,15559203.0
2024-02-19,1708362000000,BUY,2,4,3,19,0.15916,0.157895,1,0,0.0,14040,0,0.0,51802.1,16596896.0
2024-02-19,1708362000000,SELL,2,4,4,19,0.209788,0.210526,0,0,,14040,6223,0.443234,51802.1,16596896.0
2024-02-19,1708365600000,BUY,2,4,3,19,0.15916,0.157895,0,0,,9660,0,0.0,52186.1,17255243.0
2024-02-19,1708365600000,SELL,2,4,4,19,0.209788,0.210526,2,2,1.0,9660,1385,0.143375,52186.1,17255243.0
2024-02-19,1708369200000,BUY,2,4,4,19,0.212107,0.210526,0,0,,8505,0,0.0,51968.1,17550418.0
2024-02-19,1708369200000,SELL,2,4,4,19,0.209579,0.210526,5,5,1.0,8505,8453,0.993886,51968.1,17550418.0
2024-02-19,1708372800000,BUY,2,4,4,19,0.212107,0.210526,0,0,,7035,0,0.0,51861.7,17667967.0
2024-02-19,1708372800000,SELL,2,4,4,19,0.209579,0.210526,1,1,1.0,7035,7035,1.0,51861.7,17667967.0
2024-02-19,1708376400000,BUY,2,4,4,18,0.22378,0.222222,0,0,,9070,0,0.0,51836.4,17857137.0
2024-02-19,1708376400000,SELL,2,4,4,18,0.221112,0.222222,0,0,,9070,8533,0.940794,51836.4,17857137.0
2024-02-19,1708380000000,BUY,2,4,4,18,0.22378,0.222222,2,0,0.0,8110,0,0.0,51933.9,18319400.0
2024-02-19,1708380000000,SELL,2,4,4,18,0.221112,0.222222,0,0,,8110,1642,0.202466,51933.9,18319400.0
2024-02-19,1708383600000,BUY,2,4,4,18,0.22378,0.222222,0,0,,7502,0,0.0,51973.9,17592560.0
2024-02-19,1708383600000,SELL,2,4,4,18,0.221112,0.222222,3,3,1.0,7502,4996,0.665956,51973.9,17592560.0
2024-02-20,1708387200000,BUY,2,4,4,18,0.22378,0.222222,0,0,,10902,0,0.0,51819.5,17101169.0
2024-02-20,1708387200000,SELL,2,4,4,18,0.221112,0.222222,10,0,0.0,10902,4242,0.389103,51819.5,17101169.0
2024-02-20,1708390800000,BUY,3,5,4,21,0.192098,0.190476,1,0,0.0,11729,0,0.0,51674.0,17119289.0
