kind,time_ms,side,qty,p_liq,p_avg,p0,bin_pct,dist_node_bp,dist_gap_bp,vol_between_ratio,dist_vwap_bp,n_bins,total_qty,day,bundle_n_events,bundle_total_qty,bundle_n_events_dedup,bundle_total_qty_dedup
control,1687652042607,,,30580.0,,30580.0,85.0,12.3548,-107.0162,0.091604,-0.4,20,10233127.0,2023-06-25,,,,
control,1687652928078,,,30493.4,,30493.4,65.0,40.7894,-78.9205,0.075569,27.6284,20,10322070.0,2023-06-25,,,,
control,1687654560032,,,30511.3,,30511.3,85.0,34.8988,-84.7409,0.086044,21.7196,20,10065623.0,2023-06-25,,,,
liq,1687656471926,BUY,7.0,30631.6,30631.6,30631.6,95.0,-4.5114,-123.6812,0.098963,-16.717,20,9828961.0,2023-06-25,2,50.0,2,50.0
control,1687657850206,,,30615.9,,30615.9,95.0,0.6143,-118.6166,0.113458,-10.7033,20,9736887.0,2023-06-25,,,,
control,1687658006928,,,30620.0,,30620.0,95.0,-0.7247,-119.9397,0.1138,-12.0228,20,9721842.0,2023-06-25,,,,
control,1687658631069,,,30627.3,,30627.3,95.0,-3.1081,-122.2946,0.113074,-14.4078,20,9612287.0,2023-06-25,,,,
liq,1687659729506,BUY,10.0,30664.4,30664.4,30664.4,90.0,4.7766,-134.2454,0.100801,-26.4873,20,9565983.0,2023-06-25,1,10.0,1,10.0
liq,1687660479390,BUY,2.0,30672.9,30672.9,30672.8,90.0,2.0041,-136.9794,0.098187,-29.3429,20,9554495.0,2023-06-25,1,2.0,1,2.0
control,1687661639050,,,30654.6,,30654.6,85.0,7.975,48.067,0.092387,-24.8649,20,9358458.0,2023-06-25,,,,
liq,1687662893225,BUY,2.0,30704.8,30704.8,30704.8,60.0,-8.3873,31.6392,0.069751,-41.8438,20,9279273.0,2023-06-25,1,2.0,1,2.0
liq,1687663686420,BUY,3.0,30711.0,30711.0,30710.8,65.0,-10.4044,29.6139,0.072579,-44.2969,20,9231385.0,2023-06-25,2,151.0,2,151.0
control,1687664066238,,,30726.2,,30726.2,50.0,-15.3462,24.6524,0.054981,-49.2191,20,9241368.0,2023-06-25,,,,
liq,1687665095016,BUY,3.0,30755.0,30755.0,30755.0,50.0,-24.6961,15.265,0.053842,-58.5949,20,9238435.0,2023-06-25,2,22.0,2,22.0
liq,1687665746391,BUY,2.0,30788.3,30788.3,30788.3,5.0,-35.4852,4.4327,0.002944,-69.1143,20,9268017.0,2023-06-25,5,217.0,5,217.0
liq,1687666294629,BUY,2.0,30894.7,30894.7,30894.6,4.3478,-69.8026,-0.0823,0.001054,-101.8824,23,9392257.0,2023-06-25,1,2.0,1,2.0
liq,1687666606879,BUY,2.0,30933.0,30933.0,30932.9,4.1667,-82.0978,-2.4763,0.001875,-113.0032,24,9489496.0,2023-06-25,1,2.0,1,2.0
liq,1687666716470,BUY,80.0,30940.4,30940.4,30940.3,20.0,-84.4698,5.1278,0.005364,-114.9229,25,9524096.0,2023-06-25,1,80.0,1,80.0
liq,1687667519039,BUY,5.0,30970.5,30970.5,30970.5,20.0,-94.1066,-54.4236,0.010266,-122.0213,25,9710536.0,2023-06-25,3,22.0,3,22.0
liq,1687667671953,BUY,20.0,30990.1,30990.1,30990.1,7.6923,-100.3717,-0.9288,0.0046,-127.1256,26,9795117.0,2023-06-25,1,20.0,1,20.0
liq,1687667792230,BUY,6.0,31036.5,31036.5,31036.4,0.0,-115.1718,4.1007,0.000546,-140.7713,28,9879182.0,2023-06-25,2,8.0,2,8.0
liq,1687668014816,BUY,1.0,31044.7,31044.7,31044.6,14.2857,-117.7827,-78.1945,0.005279,-141.7969,28,9975709.0,2023-06-25,1,1.0,1,1.0
liq,1687668800357,SELL,12.0,30880.0,30880.0,30880.0,28.5714,-65.0754,-25.2761,0.015632,-85.5528,28,10290235.0,2023-06-25,1,12.0,1,12.0
liq,1687670378099,SELL,240.0,30844.5,30844.5,30845.5,17.8571,-53.641,-13.7958,0.006549,-71.772,28,10536991.0,2023-06-25,2,245.0,2,245.0
control,1687671573405,,,30872.1,,30872.1,53.5714,-62.5332,-22.7236,0.031465,-79.5073,28,10666173.0,2023-06-25,,,,
control,1687672621340,,,30878.4,,30878.4,53.5714,-64.5607,-24.7592,0.032921,-81.0076,28,10695924.0,2023-06-25,,,,
liq,1687672990202,SELL,12.0,30808.3,30808.3,30808.3,7.1429,-41.9539,-2.062,0.005577,-58.1974,28,10716183.0,2023-06-25,1,12.0,1,12.0
liq,1687673308098,SELL,64.0,30775.1,30775.1,30775.1,35.7143,-31.2113,89.0743,0.022455,-46.9782,28,10777541.0,2023-06-25,1,64.0,1,64.0
liq,1687674331386,BUY,1.0,30932.5,30932.5,30932.3,50.0,-81.9374,37.7361,0.031752,-96.0709,28,10972681.0,2023-06-25,1,1.0,1,1.0
liq,1687674459235,BUY,2.0,30985.7,30985.7,30985.6,32.1429,-98.966,20.5021,0.018181,-112.3775,28,11022163.0,2023-06-25,1,2.0,1,2.0
control,1687674806806,,,30912.0,,30912.0,60.7143,-75.36,44.3928,0.037454,-87.8894,28,11121681.0,2023-06-25,,,,
control,1687675461282,,,30854.1,,30854.1,57.1429,-56.7357,63.2419,0.038566,-68.1526,28,11249519.0,2023-06-25,,,,
liq,1687677610326,SELL,1.0,30765.5,30765.5,30765.6,42.8571,-28.1006,92.2225,0.025933,-38.3335,28,11363735.0,2023-06-25,2,121.0,2,121.0
control,1687680255258,,,30725.7,,30725.7,53.5714,-5.1989,105.2953,0.035353,-24.1089,28,11698725.0,2023-06-25,,,,
control,1687681654436,,,30753.6,,30753.6,57.1429,-14.2663,96.1277,0.042638,-32.8081,28,11716940.0,2023-06-25,,,,
liq,1687682629185,SELL,3.0,30676.5,30676.5,30676.5,92.8571,0.8303,121.5025,0.075272,-7.4528,28,11733263.0,2023-06-25,1,3.0,1,3.0
control,1687684110114,,,30699.6,,30699.6,96.4286,3.2984,113.8866,0.083574,-14.5105,28,11787916.0,2023-06-25,,,,
liq,1687684974232,SELL,1.0,30638.4,30638.4,30638.4,89.2857,3.2634,-125.8732,0.064894,5.5474,28,11842224.0,2023-06-25,2,65.0,2,65.0
liq,1687685325309,SELL,319.0,30610.4,30610.4,30610.4,89.2857,2.4112,-116.8412,0.070756,14.6122,28,11943756.0,2023-06-25,2,321.0,2,321.0
liq,1687685482890,SELL,7.0,30591.9,30591.9,30589.0,82.1429,8.46,-110.8645,0.058513,20.6195,28,11985614.0,2023-06-25,2,21.0,2,21.0
control,1687688433196,,,30618.0,,30618.0,89.2857,-0.0716,-119.2944,0.065813,12.3821,28,11943951.0,2023-06-25,,,,
control,1687690582808,,,30636.5,,30636.5,89.2857,3.8838,-125.2609,0.071498,5.7987,28,11887406.0,2023-06-25,,,,
control,1687691008104,,,30618.5,,30618.5,89.2857,-0.2349,-119.4557,0.072295,11.6275,28,11892483.0,2023-06-25,,,,
control,1687692484037,,,30618.7,,30618.7,92.8571,-0.3002,-119.5202,0.076965,11.3005,28,11880149.0,2023-06-25,,,,
control,1687695422507,,,30706.0,,30706.0,96.4286,1.2135,111.7785,0.08718,-17.0364,28,11976988.0,2023-06-25,,,,
liq,1687699622275,SELL,46.0,30537.3,30537.3,30537.3,75.0,26.3549,-93.1829,0.056259,37.0854,28,11978080.0,2023-06-25,1,46.0,1,46.0
liq,1687700201143,SELL,79.0,30520.4,30520.4,30520.4,75.0,31.9068,-87.6972,0.058004,42.2794,28,12078579.0,2023-06-25,1,79.0,1,79.0
liq,1687705323149,SELL,176.0,30482.5,30482.5,30482.6,71.4286,44.3798,-75.3729,0.056619,54.1691,28,12461345.0,2023-06-25,4,611.0,4,611.0
