cascade_id,start_ms,end_ms,width_ms,n_events,total_size,direction,bar60_before_tie,bar60_before_path,bar60_before_internal_bp,bar60_after_shift_tie,bar60_after_shift_path,bar60_after_shift_internal_bp,trade_before_tie,trade_before_path,trade_before_internal_bp,trade_after_shift_tie,trade_after_shift_path,trade_after_shift_internal_bp
binance_cm_real_000000,1687656471926,1687656473356,1430,2,1531580.0,short,1,time_resolution,0.0,0,,15.825734,1,price_tick,0.0,1,price_tick,0.0
binance_cm_real_000001,1687659729506,1687659729506,0,1,306644.0,short,1,time_resolution,0.0,0,,1.598831,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000002,1687660479390,1687660479390,0,1,61345.8,short,1,time_resolution,0.0,0,,4.631593,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000003,1687662893225,1687662893225,0,1,61409.6,short,1,time_resolution,0.0,0,,1.140076,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000004,1687663686420,1687663697070,10650,2,4639965.8,short,1,time_resolution,0.0,0,,7.620958,0,,5.730846,0,,5.730846
binance_cm_real_000005,1687665095016,1687665128467,33451,2,676895.0,short,0,,2.861863,0,,6.731882,0,,4.877256,0,,4.877256
binance_cm_real_000006,1687665746391,1687665853193,106802,5,6697319.9,short,0,,27.520193,0,,26.707909,0,,31.927713,0,,31.927713
binance_cm_real_000007,1687666294629,1687666294629,0,1,61789.4,short,1,time_resolution,0.0,0,,8.584581,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000008,1687666606879,1687666606879,0,1,61866.0,short,1,time_resolution,0.0,0,,12.529543,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000009,1687666716470,1687666716470,0,1,2475232.0,short,1,time_resolution,0.0,0,,7.501584,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000010,1687667519039,1687667535991,16952,3,681411.9,short,0,,2.648382,0,,5.458251,0,,1.226974,0,,1.226974
binance_cm_real_000011,1687667671953,1687667671953,0,1,619802.0,short,1,time_resolution,0.0,0,,8.531734,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000012,1687667792230,1687667793944,1714,2,248289.4,short,1,time_resolution,0.0,0,,16.053386,0,,-0.418862,0,,-0.418862
binance_cm_real_000013,1687668014816,1687668014816,0,1,31044.7,short,1,time_resolution,0.0,0,,2.352759,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000014,1687668800357,1687668800357,0,1,370560.0,long,1,time_resolution,0.0,0,,-7.672088,1,time_resolution,0.0,1,price_tick,0.0
binance_cm_real_000015,1687670378099,1687670380489,2390,2,7556880.0,long,1,time_resolution,0.0,0,,-7.968644,0,,-0.259397,0,,-0.259397
binance_cm_real_000016,1687672990202,1687672990202,0,1,369699.6,long,1,time_resolution,0.0,0,,-14.498771,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000017,1687673308098,1687673308098,0,1,1969606.4,long,1,time_resolution,0.0,0,,-4.125453,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000018,1687674331386,1687674331386,0,1,30932.5,short,1,time_resolution,0.0,0,,8.672073,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000019,1687674459235,1687674459235,0,1,61971.4,short,1,time_resolution,0.0,0,,6.78562,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000020,1687677610326,1687677644353,34027,2,3719277.5,long,1,time_resolution,0.0,0,,-15.270301,0,,-9.0686,0,,-9.0686
binance_cm_real_000021,1687682629185,1687682629185,0,1,92029.5,long,1,time_resolution,0.0,0,,-16.662219,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000022,1687684974232,1687684990493,16261,2,1990510.4,long,0,,-8.873201,0,,-6.132948,0,,-4.99375,0,,-4.99375
binance_cm_real_000023,1687685325309,1687685326504,1195,2,9825938.4,long,1,time_resolution,0.0,0,,-4.310007,1,price_tick,0.0,1,price_tick,0.0
binance_cm_real_000024,1687685482890,1687685483999,1109,2,642491.5,long,1,time_resolution,0.0,0,,-3.949396,0,,1.438289,0,,1.438289
binance_cm_real_000025,1687699622275,1687699622275,0,1,1404715.8,long,1,time_resolution,0.0,0,,4.484437,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000026,1687700201143,1687700201143,0,1,2411111.6,long,1,time_resolution,0.0,0,,-1.506098,1,time_resolution,0.0,1,price_tick,0.0
binance_cm_real_000027,1687705323149,1687705364437,41288,4,18622007.6,long,1,time_resolution,0.0,0,,-6.419347,0,,-1.738703,0,,-1.738703
binance_cm_real_000028,1687706143423,1687706143423,0,1,306282.0,short,1,time_resolution,0.0,0,,12.553245,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000029,1687709294479,1687709294479,0,1,30652.3,short,1,time_resolution,0.0,0,,5.483512,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000030,1687715107083,1687715107083,0,1,915000.0,long,1,time_resolution,0.0,0,,4.389557,1,time_resolution,0.0,0,,0.032787
binance_cm_real_000031,1687716192074,1687716192074,0,1,60963.2,long,1,time_resolution,0.0,0,,-6.394302,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000032,1687716309490,1687716310513,1023,2,1309283.9,long,1,time_resolution,0.0,0,,-7.940883,0,,2.595065,0,,2.595065
binance_cm_real_000033,1687716637676,1687716706596,68920,6,6317936.9,long,0,,-10.998861,0,,-25.412293,0,,-24.805336,0,,-24.805336
binance_cm_real_000034,1687716790204,1687716791951,1747,2,58759915.7,long,1,time_resolution,0.0,0,,-2.535597,0,,-0.164749,0,,-0.164749
binance_cm_real_000035,1687717887420,1687717895108,7688,3,93065531.4,long,1,time_resolution,0.0,0,,-5.399141,0,,-4.513215,0,,-4.513215
binance_cm_real_000036,1687723563231,1687723563231,0,1,91455.6,short,1,time_resolution,0.0,0,,11.217823,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000037,1687726358082,1687726508223,150141,8,3848096.8,long,0,,-21.490796,0,,-19.516144,0,,-28.673292,0,,-28.673292
binance_cm_real_000038,1687732427835,1687732427835,0,1,30563.5,short,1,time_resolution,0.0,0,,10.216578,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000039,1687738315726,1687738315726,0,1,1490874.0,long,1,time_resolution,0.0,0,,-14.931986,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000040,1687741143841,1687741143841,0,1,1976026.0,long,1,time_resolution,0.0,0,,-4.373317,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000041,1687741295608,1687741427884,132276,5,7227678.7,long,0,,-5.888894,0,,-21.219758,0,,-17.284064,0,,-17.284064
binance_cm_real_000042,1687741510249,1687741510249,0,1,454503.0,long,1,time_resolution,0.0,0,,10.390073,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000043,1687742000248,1687742023907,23659,12,40853244.3,long,1,time_resolution,0.0,0,,-54.250801,0,,-66.756998,0,,-66.756998
binance_cm_real_000044,1687742459856,1687742489268,29412,6,9481050.4,long,1,time_resolution,0.0,0,,5.127744,0,,-21.909452,0,,-21.909452
binance_cm_real_000045,1687742669146,1687742669146,0,1,150867.0,short,1,time_resolution,0.0,0,,26.798523,1,time_resolution,0.0,0,,-0.298272
binance_cm_real_000046,1687744648187,1687744648187,0,1,392083.9,long,1,time_resolution,0.0,0,,-4.207179,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000047,1687751597598,1687751597598,0,1,393753.1,short,1,time_resolution,0.0,0,,4.623514,1,time_resolution,0.0,0,,0.132062
binance_cm_real_000048,1687756897203,1687756897203,0,1,30164.3,long,1,time_resolution,0.0,0,,-9.669322,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000049,1687761884693,1687761905985,21292,2,5278748.8,short,0,,9.601204,0,,10.162099,0,,2.109593,0,,2.109593
binance_cm_real_000050,1687762245977,1687762245977,0,1,91134.6,short,1,time_resolution,0.0,0,,1.97581,1,time_resolution,0.0,1,time_resolution,0.0
binance_cm_real_000051,1687762380032,1687762383433,3401,2,1368408.9,short,1,time_resolution,0.0,0,,1.18388,0,,2.170446,0,,2.170446
binance_cm_real_000052,1687762698258,1687762698258,0,1,1127145.8,short,1,time_resolution,0.0,0,,9.332772,1,time_resolution,0.0,1,price_tick,0.0
binance_cm_real_000053,1687762791765,1687762868132,76367,3,6432491.6,short,0,,11.687919,0,,21.471627,0,,13.221785,0,,13.221785
binance_cm_real_000054,1687762981006,1687762981006,0,1,9353410.2,short,1,time_resolution,0.0,0,,-9.751532,1,time_resolution,0.0,0,,-0.032715
binance_cm_real_000055,1687764843040,1687764850624,7584,2,11077808.9,long,1,time_resolution,0.0,0,,-5.072464,0,,-1.054251,0,,-1.054251
binance_cm_real_000056,1687765067330,1687765067330,0,1,1907350.2,long,1,time_resolution,0.0,0,,-15.365947,1,time_resolution,0.0,1,time_resolution,0.0
