kind,time_ms,side,qty,p_liq,p_avg,p0,bin_pct,dist_node_bp,dist_gap_bp,vol_between_ratio,dist_vwap_bp,n_bins,total_qty,day
control,1687651684449,,,30531.3,,30531.3,0.0,8.2987,-1.6996,0.459683,3.7027,2,60309.0,2023-06-25
control,1687652039079,,,30566.5,,30566.5,50.0,-3.2267,-13.2135,0.612438,-7.0972,2,80831.0,2023-06-25
control,1687652196252,,,30589.0,,30589.0,0.0,-10.5799,-0.5905,0.185809,-11.7902,3,101954.0,2023-06-25
control,1687652259779,,,30583.4,,30583.4,0.0,-8.7508,1.2404,0.233843,-9.3004,3,108346.0,2023-06-25
control,1687652632527,,,30502.1,,30502.1,25.0,17.8798,27.8976,0.193142,12.9367,4,188069.0,2023-06-25
control,1687652920842,,,30486.1,,30486.1,75.0,3.1212,33.1606,0.303108,15.4452,4,245919.0,2023-06-25
control,1687654137936,,,30508.5,,30508.5,80.0,-4.2233,-14.2091,0.363506,5.0779,5,396392.0,2023-06-25
control,1687654545962,,,30511.3,,30511.3,60.0,-5.1406,-15.1255,0.359541,4.1208,5,398244.0,2023-06-25
control,1687654753603,,,30526.3,,30526.3,80.0,-0.0619,-20.0319,0.379672,-0.772,5,411168.0,2023-06-25
control,1687655639669,,,30572.4,,30572.4,20.0,-25.1157,-35.0806,0.059965,-16.5128,5,496024.0,2023-06-25
liq,1687656471926,BUY,7.0,30631.6,30631.6,30631.6,16.6667,-44.3936,-54.3393,0.01459,-31.925,6,616993.0,2023-06-25
liq,1687656471926,BUY,7.0,30631.6,30631.6,30631.6,16.6667,-44.3936,-54.3393,0.01459,-31.925,6,616993.0,2023-06-25
liq,1687656473356,BUY,43.0,30631.6,30631.6,30631.6,16.6667,-44.3936,-54.3393,0.014874,-31.9171,6,617171.0,2023-06-25
liq,1687656473356,BUY,43.0,30631.6,30631.6,30631.6,16.6667,-44.3936,-54.3393,0.014874,-31.9171,6,617171.0,2023-06-25
control,1687657394763,,,30614.9,,30614.9,50.0,-38.963,-48.914,0.166082,-22.2708,6,729078.0,2023-06-25
control,1687657803942,,,30615.9,,30615.9,50.0,-39.2883,-49.2391,0.18828,-21.9789,6,749016.0,2023-06-25
control,1687657826301,,,30615.9,,30615.9,50.0,-39.2883,-49.2391,0.188284,-21.9788,6,749019.0,2023-06-25
control,1687657914709,,,30619.8,,30619.8,50.0,-40.557,-50.5065,0.189743,-23.2091,6,750368.0,2023-06-25
control,1687657982367,,,30620.0,,30620.0,50.0,-40.6221,-50.5715,0.190022,-23.2665,6,750627.0,2023-06-25
control,1687658530265,,,30621.4,,30621.4,50.0,-41.0774,-51.0264,0.220986,-22.8609,6,780462.0,2023-06-25
control,1687658603894,,,30622.3,,30622.3,50.0,-41.3701,-51.3188,0.224336,-23.0609,6,783833.0,2023-06-25
control,1687658686553,,,30627.3,,30627.3,50.0,-42.9959,-52.9429,0.227471,-24.6025,6,787014.0,2023-06-25
control,1687658693124,,,30627.3,,30627.3,50.0,-42.9959,-52.9429,0.227471,-24.6025,6,787014.0,2023-06-25
control,1687658803113,,,30613.1,,30613.1,50.0,-38.3773,-48.3289,0.236109,-19.7349,6,795913.0,2023-06-25
liq,1687659729506,BUY,10.0,30664.4,30664.4,30664.4,0.0,-15.203,4.7766,0.000623,-34.6448,8,856507.0,2023-06-25
liq,1687659729506,BUY,10.0,30664.4,30664.4,30664.4,0.0,-15.203,4.7766,0.000623,-34.6448,8,856507.0,2023-06-25
liq,1687660479390,BUY,2.0,30672.9,30672.9,30672.8,0.0,-17.97,2.0041,0.006903,-34.3797,8,952445.0,2023-06-25
liq,1687660479390,BUY,2.0,30672.9,30672.9,30672.8,0.0,-17.97,2.0041,0.006903,-34.3797,8,952445.0,2023-06-25
control,1687661068830,,,30663.5,,30663.5,55.5556,-14.91,15.0753,0.121933,-28.6644,9,1029450.0,2023-06-25
control,1687661436870,,,30656.8,,30656.8,55.5556,-12.7277,17.2641,0.131519,-25.9036,9,1051347.0,2023-06-25
control,1687661545042,,,30656.7,,30656.7,55.5556,-12.6952,17.2967,0.13283,-25.8361,9,1052936.0,2023-06-25
control,1687661604304,,,30659.3,,30659.3,55.5556,-13.5421,16.4472,0.135025,-26.6234,9,1055608.0,2023-06-25
control,1687661747859,,,30650.6,,30650.6,55.5556,-10.7075,19.2903,0.138286,-23.7055,9,1059603.0,2023-06-25
liq,1687662893225,BUY,2.0,30704.8,30704.8,30704.8,20.0,-28.3406,-78.0496,0.027982,-38.2515,10,1162027.0,2023-06-25
liq,1687662893225,BUY,2.0,30704.8,30704.8,30704.8,20.0,-28.3406,-78.0496,0.027982,-38.2515,10,1162027.0,2023-06-25
liq,1687663686420,BUY,3.0,30711.0,30711.0,30710.8,20.0,-30.3537,-80.0527,0.045485,-38.7654,10,1215355.0,2023-06-25
