cascade_id,day,start_ms,end_ms,bundle_width_ms,direction,n_events,tie_after_shift,path_after_shift,tie_before,path_before,anchor_ts_ms,anchor_price,anchor_before_ts_ms,anchor_before_price,anchor_lag_ms,anchor_price_diff_bp,bp_1m_diff,bp_5m_diff,bp_15m_diff,bp_30m_diff,bp_60m_diff,bp_240m_diff
binance_cm_real_000000,2023-06-25,1687656471926,1687656473356,1430,short,2,True,price_tick,True,price_tick,1687656473356,30631.6,1687656473356,30631.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000001,2023-06-25,1687659729506,1687659729506,0,short,1,True,time_resolution,True,time_resolution,1687659729506,30664.4,1687659729506,30664.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000002,2023-06-25,1687660479390,1687660479390,0,short,1,True,time_resolution,True,time_resolution,1687660479390,30672.9,1687660479390,30672.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000003,2023-06-25,1687662893225,1687662893225,0,short,1,True,time_resolution,True,time_resolution,1687662893225,30704.8,1687662893225,30704.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000004,2023-06-25,1687663686420,1687663697070,10650,short,2,False,,False,,1687663697070,30728.6,1687663697070,30728.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000005,2023-06-25,1687665095016,1687665128467,33451,short,2,False,,False,,1687665128467,30770.0,1687665128467,30770.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000006,2023-06-25,1687665746391,1687665853193,106802,short,5,False,,False,,1687665853193,30886.6,1687665853193,30886.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000007,2023-06-25,1687666294629,1687666294629,0,short,1,True,time_resolution,True,time_resolution,1687666294629,30894.7,1687666294629,30894.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000008,2023-06-25,1687666606879,1687666606879,0,short,1,True,time_resolution,True,time_resolution,1687666606879,30933.0,1687666606879,30933.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000009,2023-06-25,1687666716470,1687666716470,0,short,1,True,time_resolution,True,time_resolution,1687666716470,30940.4,1687666716470,30940.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000010,2023-06-25,1687667519039,1687667535991,16952,short,3,False,,False,,1687667535991,30974.3,1687667535991,30974.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000011,2023-06-25,1687667671953,1687667671953,0,short,1,True,time_resolution,True,time_resolution,1687667671953,30990.1,1687667671953,30990.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000012,2023-06-25,1687667792230,1687667793944,1714,short,2,False,,False,,1687667793944,31035.2,1687667793944,31035.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000013,2023-06-25,1687668014816,1687668014816,0,short,1,True,time_resolution,True,time_resolution,1687668014816,31044.7,1687668014816,31044.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000014,2023-06-25,1687668800357,1687668800357,0,long,1,True,price_tick,True,time_resolution,1687668800626,30880.0,1687668800340,30880.0,269,0.0,0.0,0.0,-0.16191709844559554,0.0,0.0,0.0
binance_cm_real_000015,2023-06-25,1687670378099,1687670380489,2390,long,2,False,,False,,1687670380489,30840.0,1687670380489,30840.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000016,2023-06-25,1687672990202,1687672990202,0,long,1,True,time_resolution,True,time_resolution,1687672990202,30808.3,1687672990202,30808.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000017,2023-06-25,1687673308098,1687673308098,0,long,1,True,time_resolution,True,time_resolution,1687673308098,30775.1,1687673308098,30775.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000018,2023-06-25,1687674331386,1687674331386,0,short,1,True,time_resolution,True,time_resolution,1687674331386,30932.4,1687674331386,30932.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000019,2023-06-25,1687674459235,1687674459235,0,short,1,True,time_resolution,True,time_resolution,1687674459235,30985.7,1687674459235,30985.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000020,2023-06-25,1687677610326,1687677644353,34027,long,2,False,,False,,1687677644353,30737.6,1687677644353,30737.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000021,2023-06-25,1687682629185,1687682629185,0,long,1,True,time_resolution,True,time_resolution,1687682629185,30676.5,1687682629185,30676.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000022,2023-06-25,1687684974232,1687684990493,16261,long,2,False,,False,,1687684990493,30623.0,1687684990493,30623.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000023,2023-06-25,1687685325309,1687685326504,1195,long,2,True,price_tick,True,price_tick,1687685326504,30610.4,1687685326504,30610.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000024,2023-06-25,1687685482890,1687685483999,1109,long,2,False,,False,,1687685483999,30596.3,1687685483999,30596.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000025,2023-06-25,1687699622275,1687699622275,0,long,1,True,time_resolution,True,time_resolution,1687699622275,30537.3,1687699622275,30537.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000026,2023-06-25,1687700201143,1687700201143,0,long,1,True,price_tick,True,time_resolution,1687700201468,30520.4,1687700201065,30520.4,325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000027,2023-06-25,1687705323149,1687705364437,41288,long,4,False,,False,,1687705364437,30477.2,1687705364437,30477.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000028,2023-06-25,1687706143423,1687706143423,0,short,1,True,time_resolution,True,time_resolution,1687706143423,30628.2,1687706143423,30628.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000029,2023-06-25,1687709294479,1687709294479,0,short,1,True,time_resolution,True,time_resolution,1687709294479,30652.2,1687709294479,30652.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000030,2023-06-25,1687715107083,1687715107083,0,long,1,False,,True,time_resolution,1687715107316,30500.1,1687715107018,30500.0,233,0.03278688524542452,-0.032837839122974444,-0.03284267651641315,-1.1803634505681604,0.00011179753723666863,-0.03272636407863416,-0.03272335414493455
binance_cm_real_000031,2023-06-25,1687716192074,1687716192074,0,long,1,True,time_resolution,True,time_resolution,1687716192074,30481.6,1687716192074,30481.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000032,2023-06-25,1687716309490,1687716310513,1023,long,2,False,,False,,1687716310513,30450.3,1687716310513,30450.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000033,2023-06-25,1687716637676,1687716706596,68920,long,6,False,,False,,1687716706596,30361.5,1687716706596,30361.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000034,2023-06-25,1687716790204,1687716791951,1747,long,2,False,,False,,1687716791951,30348.7,1687716791951,30348.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000035,2023-06-25,1687717887420,1687717895108,7688,long,3,False,,False,,1687717895108,30341.6,1687717895108,30341.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000036,2023-06-25,1687723563231,1687723563231,0,short,1,True,time_resolution,True,time_resolution,1687723563231,30485.2,1687723563231,30485.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000037,2023-06-25,1687726358082,1687726508223,150141,long,8,False,,False,,1687726508223,30289.6,1687726508223,30289.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binance_cm_real_000038,2023-06-25,1687732427835,1687732427835,0,short,1,True,time_resolution,True,time_resolution,1687732427835,30563.4,1687732427835,30563.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
