観測量,群,h,n1,n2,実群,対照(i),対照(ii),差(ii),差(i),対照(i)SE,走行,対照(ii)の軸の作り方,MDE(参考。族の α に入らない),MDEとの比較,検出力,隣の分位
reach_back_vwap_1m,全体,1,25343,20844,0.036341,0.032763,0.023652,0.012690,0.003578,0.001116,gap30_w8,own,0.008088,≥,,
reach_back_vwap_1m,A1_Q1,1,8576,4374,0.003731,0.006637,0.003658,0.000073,-0.002906,0.003823,gap30_w8,own,0.012587,<,,Q2:差=0.012612
reach_back_vwap_1m,A1_Q2,1,8322,8085,0.029680,0.013631,0.017069,0.012612,0.016050,0.001574,gap30_w8,own,0.014417,<,,Q1:差=0.000073 Q3:差=0.035592
reach_back_vwap_1m,A1_Q3,1,8445,8385,0.076021,0.038682,0.040429,0.035592,0.037339,0.001379,gap30_w8,own,0.015797,≥,,Q2:差=0.012612
reach_back_vwap_1m,A2_Q1,1,8448,13363,0.080729,,0.030308,0.050422,,,gap30_w8,partner_sign,0.017353,≥,,Q2:差=0.006123
reach_back_vwap_1m,A2_Q2,1,8447,4703,0.023559,,0.017436,0.006123,,,gap30_w8,partner_sign,0.008130,<,,Q1:差=0.050422 Q3:差=0.002575
reach_back_vwap_1m,A2_Q3,1,8448,2778,0.004735,,0.002160,0.002575,,,gap30_w8,partner_sign,0.000000,≥,,Q2:差=0.006123
reach_back_vwap_1m,A3_Q1,1,8448,12757,0.107244,,0.038645,0.068599,,,gap30_w8,partner_sign,0.019576,≥,,Q2:差=0.001421
reach_back_vwap_1m,A3_Q2,1,8447,5562,0.001421,,0.000000,0.001421,,,gap30_w8,partner_sign,0.000000,≥,,Q1:差=0.068599 Q3:差=0.000355
reach_back_vwap_1m,A3_Q3,1,8448,2525,0.000355,,0.000000,0.000355,,,gap30_w8,partner_sign,0.000000,≥,,Q2:差=0.001421
reach_back_vwap_1m,A4_Q1,1,5910,9371,0.076988,,0.027959,0.049030,,,gap30_w8,partner_sign,0.015444,≥,,Q2:差=0.006323
reach_back_vwap_1m,A4_Q2,1,5909,3402,0.025723,,0.019400,0.006323,,,gap30_w8,partner_sign,0.018635,<,,Q1:差=0.049030 Q3:差=0.001360
reach_back_vwap_1m,A4_Q3,1,5910,1973,0.005415,,0.004055,0.001360,,,gap30_w8,partner_sign,0.000000,≥,,Q2:差=0.006323
reach_back_vwap_1m,A5_Q1,1,5910,9034,0.101354,,0.034536,0.066817,,,gap30_w8,partner_sign,0.022473,≥,,Q2:差=-0.000493
reach_back_vwap_1m,A5_Q2,1,5909,3888,0.004908,,0.005401,-0.000493,,,gap30_w8,partner_sign,0.000000,≥,,Q1:差=0.066817 Q3:差=0.000217
reach_back_vwap_1m,A5_Q3,1,5910,1824,0.001861,,0.001645,0.000217,,,gap30_w8,partner_sign,0.000000,≥,,Q2:差=-0.000493
reach_back_vwap_1m,E_Q1,1,5227,3371,0.001722,,0.009493,-0.007771,,,gap30_w8,inherit,0.000000,≥,,Q2:差=-0.013675
reach_back_vwap_1m,E_Q2,1,5226,4331,0.002488,,0.016163,-0.013675,,,gap30_w8,inherit,0.013364,≥,,Q1:差=-0.007771 Q3:差=0.069171
reach_back_vwap_1m,E_Q3,1,5227,5132,0.105414,,0.036243,0.069171,,,gap30_w8,inherit,0.022283,≥,,Q2:差=-0.013675
reach_back_vwap_1m,B1_Q1,1,15652,13745,0.039420,,0.026337,0.013083,,,gap30_w8,inherit,0.011718,≥,,Q2:差=0.021353
reach_back_vwap_1m,B1_Q2,1,4628,3663,0.040190,,0.018837,0.021353,,,gap30_w8,inherit,0.012771,≥,,Q1:差=0.013083 Q3:差=0.005262
reach_back_vwap_1m,B1_Q3,1,5063,3436,0.023306,,0.018044,0.005262,,,gap30_w8,inherit,0.009288,<,,Q2:差=0.021353
reach_back_vwap_1m,B2_Q1,1,8636,7536,0.037402,,0.021364,0.016037,,,gap30_w8,inherit,0.012356,≥,,Q2:差=0.010537
reach_back_vwap_1m,B2_Q2,1,8312,6920,0.037416,,0.026879,0.010537,,,gap30_w8,inherit,0.017361,<,,Q1:差=0.016037 Q3:差=0.011332
reach_back_vwap_1m,B2_Q3,1,8395,6388,0.034187,,0.022855,0.011332,,,gap30_w8,inherit,0.012045,<,,Q2:差=0.010537
reach_back_vwap_1m,D_Q1,1,5990,4607,0.040234,0.033080,0.027350,0.012884,0.007153,0.002495,gap30_w8,own,0.019010,<,,Q2:差=0.010904
reach_back_vwap_1m,D_Q2,1,5991,5780,0.033050,0.033444,0.022145,0.010904,-0.000395,0.002035,gap30_w8,own,0.017560,<,,Q1:差=0.012884 Q3:差=0.015164
reach_back_vwap_1m,D_Q3,1,5987,4548,0.034074,0.032385,0.018909,0.015164,0.001688,0.002488,gap30_w8,own,0.012341,≥,,Q2:差=0.010904
reach_back_vwap_1m,C_SELL,1,14509,12289,0.041009,,0.024575,0.016434,,,gap30_w8,inherit,0.009471,≥,,
reach_back_vwap_1m,C_BUY,1,10834,8555,0.030090,,0.022326,0.007764,,,gap30_w8,inherit,0.013898,<,,
reach_back_vwap_5m,全体,5,25343,20844,0.080811,0.096008,0.062560,0.018251,-0.015197,0.001848,gap30_w8,own,0.012577,≥,,
reach_back_vwap_5m,A1_Q1,5,8576,4374,0.009212,0.013274,0.011203,-0.001991,-0.004063,0.005389,gap30_w8,own,0.016818,<,,Q2:差=0.029476
reach_back_vwap_5m,A1_Q2,5,8322,8085,0.070416,0.042549,0.040940,0.029476,0.027866,0.002740,gap30_w8,own,0.020603,≥,,Q1:差=-0.001991 Q3:差=0.053569
reach_back_vwap_5m,A1_Q3,5,8445,8385,0.163766,0.112771,0.110197,0.053569,0.050994,0.002263,gap30_w8,own,0.026408,≥,,Q2:差=0.029476
reach_back_vwap_5m,A2_Q1,5,8448,13363,0.170455,,0.079174,0.091281,,,gap30_w8,partner_sign,0.024894,≥,,Q2:差=0.011022
reach_back_vwap_5m,A2_Q2,5,8447,4703,0.060140,,0.049118,0.011022,,,gap30_w8,partner_sign,0.014696,<,,Q1:差=0.091281 Q3:差=0.006438
reach_back_vwap_5m,A2_Q3,5,8448,2778,0.011837,,0.005400,0.006438,,,gap30_w8,partner_sign,0.000000,≥,,Q2:差=0.011022
reach_back_vwap_5m,A3_Q1,5,8448,12757,0.221709,,0.100180,0.121529,,,gap30_w8,partner_sign,0.027473,≥,,Q2:差=0.013202
reach_back_vwap_5m,A3_Q2,5,8447,5562,0.017876,,0.004675,0.013202,,,gap30_w8,partner_sign,0.000000,≥,,Q1:差=0.121529 Q3:差=0.002841
reach_back_vwap_5m,A3_Q3,5,8448,2525,0.002841,,0.000000,0.002841,,,gap30_w8,partner_sign,0.000000,≥,,Q2:差=0.013202
