kind,day,cascade_id,side,direction,start_ms,end_ms,time_ms,profile_ts_ms,bundle_width_ms,bundle_n_events_dedup,bundle_total_qty_accum,bundle_total_notional,p_liq,p0,bin_pct,dist_node_bp,dist_gap_bp,vol_between_ratio,dist_vwap_bp,n_bins,total_qty,node_up_bp,node_dn_bp,oi_dist_vwap_bp,oi_dist_node_bp,oi_side_dist_vwap_bp,oi_side_dist_node_bp,oi_n_bins,oi_n_buckets,oi_total_delta,oi_side_total_delta,dist_vwap_bp_liqdir,dist_node_bp_liqdir,oi_dist_vwap_bp_liqdir,oi_dist_node_bp_liqdir,oi_side_dist_vwap_bp_liqdir,oi_side_dist_node_bp_liqdir,implied_leverage,implied_leverage_side,oi_covered,anchor_ts_ms,anchor_price,anchor_before_ts_ms,anchor_before_price,anchor_lag_ms,anchor_price_diff_bp,p_tgt_back_vwap,p_tgt_back_node,p_tgt_fwd_node,p_tgt_node_up,p_tgt_node_dn,bp_1m,bp_1m_reactdir,bp_1m_abs,bp_5m,bp_5m_reactdir,bp_5m_abs,bp_15m,bp_15m_reactdir,bp_15m_abs,bp_30m,bp_30m_reactdir,bp_30m_abs,bp_60m,bp_60m_reactdir,bp_60m_abs,bp_240m,bp_240m_reactdir,bp_240m_abs,mfe_1m_reactdir,mae_1m_reactdir,mfe_5m_reactdir,mae_5m_reactdir,mfe_15m_reactdir,mae_15m_reactdir,mfe_30m_reactdir,mae_30m_reactdir,mfe_60m_reactdir,mae_60m_reactdir,mfe_240m_reactdir,mae_240m_reactdir,reach_back_vwap_sec,reach_back_vwap_1m,reach_back_vwap_5m,reach_back_vwap_15m,reach_back_vwap_30m,reach_back_vwap_60m,reach_back_vwap_240m,reach_back_node_sec,reach_back_node_1m,reach_back_node_5m,reach_back_node_15m,reach_back_node_30m,reach_back_node_60m,reach_back_node_240m,reach_fwd_node_sec,reach_fwd_node_1m,reach_fwd_node_5m,reach_fwd_node_15m,reach_fwd_node_30m,reach_fwd_node_60m,reach_fwd_node_240m,reach_node_up_sec,reach_node_up_1m,reach_node_up_5m,reach_node_up_15m,reach_node_up_30m,reach_node_up_60m,reach_node_up_240m,reach_node_dn_sec,reach_node_dn_1m,reach_node_dn_5m,reach_node_dn_15m,reach_node_dn_30m,reach_node_dn_60m,reach_node_dn_240m,doi_post_1m,doi_post_1m_n,doi_post_5m,doi_post_5m_n,doi_post_15m,doi_post_15m_n,doi_post_30m,doi_post_30m_n,doi_post_60m,doi_post_60m_n,doi_post_240m,doi_post_240m_n,bf_bp_1m,bf_bp_1m_reactdir,bf_bp_5m,bf_bp_5m_reactdir,bf_bp_15m,bf_bp_15m_reactdir,bf_bp_30m,bf_bp_30m_reactdir,bf_bp_60m,bf_bp_60m_reactdir,bf_bp_240m,bf_bp_240m_reactdir,doi_pre_1h,doi_pre_1h_n,doi_pre_4h,doi_pre_4h_n,doi_in,doi_in_n,m_ts_ms,m_count_long_short_ratio,m_sum_toptrader_long_short_ratio,m_sum_taker_long_short_vol_ratio,bf_anchor_ts_ms,bf_anchor_close,bf_xcorr_best_lag_min,bf_xcorr_best_r,bf_xcorr_n,matched_liq_id
liq,2023-06-25,binance_cm_real_000000,BUY,short,1687656471926,1687656473356,1687656473356,1687656471926,1430,2,50.0,1531580.0,30631.6,30631.6,16.6667,-44.3936,-54.3393,0.01459,-31.925,6,616993.0,,-44.39360690041133,,,,,,,,,31.925,44.3936,,,,,,,0,1687656473356,30631.6,1687656473356,30631.6,0,0.0,30533.8086,30495.6153,,,30495.6153,-0.1632,-0.1632,0.1632,-5.811,-5.811,5.811,-3.3625,-3.3625,3.3625,-3.8522,-3.8522,3.8522,3.5584,3.5584,3.5584,78.3831,78.3831,78.3831,0.0,-1.0773,0.0,-7.4433,0.0,-8.6838,0.0,-8.6838,10.7079,-8.6838,136.8848,-8.6838,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,10079.0,1,7989.0,3,13002.0,6,15445.0,12,9253.0,48,-2.332,-2.332,-3.5251,-3.5251,-0.4984,-0.4984,11.4662,11.4662,20.5868,20.5868,99.959,99.959,-4834.0,12,-6236.0,17,,0,1687656300000,,,1.22532924,1687656420000,4433919.0,0.0,0.9297,20,
liq,2023-06-25,binance_cm_real_000001,BUY,short,1687659729506,1687659729506,1687659729506,1687659729506,0,1,10.0,306644.0,30664.4,30664.4,0.0,-15.203,4.7766,0.000623,-34.6448,8,856507.0,,-15.203025036224615,,,,,,,,,34.6448,15.203,,,,,,,0,1687659729506,30664.4,1687659729506,30664.4,0,0.0,30558.1638,30617.7809,,,30617.7808,-3.9459,-3.9459,3.9459,-8.7724,-8.7724,8.7724,4.8917,4.8917,4.8917,-2.5111,-2.5111,2.5111,6.1961,6.1961,6.1961,66.4614,66.4614,66.4614,0.0,-3.9459,0.0,-8.805,10.9247,-8.805,10.9247,-8.805,20.7407,-10.2073,126.0419,-10.2073,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,3798.0,1,1629.0,3,7808.0,6,13881.0,12,-48466.0,48,2.4649,2.4649,1.6185,1.6185,3.9799,3.9799,-3.3924,-3.3924,15.5189,15.5189,82.3622,82.3622,15940.0,12,5411.0,28,,0,1687659600000,,,4.08140655,1687659720000,4442328.0,9.0,0.5578,11,
liq,2023-06-25,binance_cm_real_000002,BUY,short,1687660479390,1687660479390,1687660479390,1687660479390,0,1,2.0,61345.8,30672.9,30672.8,0.0,-17.97,2.0041,0.006903,-34.3797,8,952445.0,,-17.969987869448474,,,,,,,,,34.3797,17.97,,,,,,,0,1687660479390,30672.9,1687660479390,30672.9,0,0.0,30567.4475,30617.7808,,,30617.7808,3.2276,3.2276,3.2276,-1.0759,-1.0759,1.0759,-7.2703,-7.2703,7.2703,-8.4113,-8.4113,8.4113,17.3769,17.3769,17.3769,82.6788,82.6788,82.6788,3.2276,-0.0326,8.1505,-1.1085,8.1505,-7.3029,8.1505,-12.9756,20.4741,-12.9756,123.2358,-12.9756,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1887.0,1,1887.0,1,5427.0,3,11837.0,6,12999.0,12,-59596.0,48,6.0262,6.0262,0.7243,0.7243,-9.668,-9.668,-17.2261,-17.2261,27.686,27.686,85.5076,85.5076,1310.0,12,5153.0,30,,0,1687660200000,,,1.55517651,1687660440000,4445571.0,0.0,0.857,20,
liq,2023-06-25,binance_cm_real_000003,BUY,short,1687662893225,1687662893225,1687662893225,1687662893225,0,1,2.0,61409.6,30704.8,30704.8,20.0,-28.3406,-78.0496,0.027982,-38.2515,10,1162027.0,,-28.340573490815256,,,,,,,,,38.2515,28.3406,,,,,,,0,1687662893225,30704.8,1687662893225,30704.8,0,0.0,30587.3495,30617.7808,,,30617.7808,-3.6802,-3.6802,3.6802,-11.1058,-11.1058,11.1058,6.6765,6.6765,6.6765,6.6765,6.6765,6.6765,57.6457,57.6457,57.6457,40.0263,40.0263,40.0263,0.0,-3.8105,0.0,-11.1058,7.7512,-11.1058,10.0636,-11.1058,62.2378,-11.1058,112.7185,-11.1058,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3068.0,1,3068.0,1,3075.0,3,2148.0,6,1851.0,12,-59172.0,48,-1.3584,-1.3584,2.0376,2.0376,22.3861,22.3861,21.8239,21.8239,71.148,71.148,61.5517,61.5517,8614.0,12,17035.0,38,,0,1687662600000,,,55.87943262,1687662840000,4446505.0,0.0,0.805,20,
liq,2023-06-25,binance_cm_real_000004,BUY,short,1687663686420,1687663697070,1687663697070,1687663686420,10650,2,151.0,4639965.8,30711.0,30710.8,20.0,-30.3537,-80.0527,0.045485,-38.7654,10,1215355.0,,-30.35367265542612,,,,,,,,,38.7654,30.3537,,,,,,,0,1687663697070,30728.6,1687663697070,30728.6,0,0.0,30591.9476,30617.7808,,,30617.7808,-2.4733,-2.4733,2.4733,2.0177,2.0177,2.0177,-0.358,-0.358,0.358,8.0707,8.0707,8.0707,47.2524,47.2524,47.2524,4.8814,4.8814,4.8814,0.0,-2.4733,2.3106,-6.8666,2.3106,-6.8666,18.582,-6.8666,75.3044,-6.8666,104.886,-20.3719,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,-1958.0,1,-927.0,3,-2287.0,6,-9206.0,12,-69482.0,48,-0.4331,-0.4331,0.8212,0.8212,-0.3052,-0.3052,12.46,12.46,71.0264,71.0264,23.374,23.374,10901.0,12,20110.0,41,,0,1687663500000,,,4.72580645,1687663680000,4456652.0,0.0,0.767,20,
liq,2023-06-25,binance_cm_real_000005,BUY,short,1687665095016,1687665095016,1687665095016,1687665095016,0,1,3.0,92265.0,30755.0,30755.0,10.0,-44.6169,-94.2448,0.051787,-49.6732,10,1315121.0,,-44.616863629354306,,,,,,,,,49.6732,44.6169,,,,,,,0,1687665095016,30755.0,1687665095016,30755.0,0,0.0,30602.2301,30617.7807,,,30617.7808,3.7392,3.7392,3.7392,6.8282,6.8282,6.8282,35.5389,35.5389,35.5389,62.4289,62.4289,62.4289,43.0824,43.0824,43.0824,-16.9728,-16.9728,16.9728,4.8773,0.0,9.9821,0.0,42.7898,-0.7153,66.6558,-0.7153,96.212,-0.7153,96.212,-28.9384,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,2784.0,1,8064.0,3,44.0,6,13363.0,12,-79781.0,48,5.1053,5.1053,7.6478,7.6478,25.912,25.912,65.7363,65.7363,48.7501,48.7501,-0.2287,-0.2287,1820.0,12,15039.0,46,,0,1687665000000,,,1.65730239,1687665060000,4460090.0,0.0,0.7412,20,
liq,2023-06-25,binance_cm_real_000006,BUY,short,1687665128467,1687665128467,1687665128467,1687665128467,0,1,19.0,584630.0,30770.0,30770.0,0.0,-49.47,0.3823,0.003691,-54.2258,11,1322813.0,,-49.46999158013622,,,,,,,,,54.2258,49.47,,,,,,,0,1687665128467,30770.0,1687665128467,30770.0,0,0.0,30603.1472,30617.7808,,,30617.7808,-0.0325,-0.0325,0.0325,-0.13,-0.13,0.13,32.4342,32.4342,32.4342,56.8086,56.8086,56.8086,41.469,41.469,41.469,-21.8395,-21.8395,21.8395,0.0,-1.17,5.1024,-1.17,37.8941,-5.5899,61.7485,-5.5899,91.2902,-5.5899,91.2902,-33.7992,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,2784.0,1,8064.0,3,44.0,6,13363.0,12,-79781.0,48,3.2561,3.2561,-0.549,-0.549,21.1995,21.1995,52.4923,52.4923,37.5429,37.5429,-4.6971,-4.6971,1820.0,12,15039.0,46,,0,1687665000000,,,1.65730239,1687665120000,4462367.0,0.0,0.942,20,
liq,2023-06-25,binance_cm_real_000007,BUY,short,1687665746391,1687665746391,1687665746391,1687665746391,0,1,2.0,61576.6,30788.3,30788.3,0.0,-55.3844,4.4327,0.000334,-57.9537,12,1378472.0,,-55.38440384564215,,,,,,,,,57.9537,55.3844,,,,,,,0,1687665746391,30788.3,1687665746391,30788.3,0,0.0,30609.8704,30617.7808,,,30617.7808,20.5598,20.5598,20.5598,25.4317,25.4317,25.4317,43.523,43.523,43.523,61.1921,61.1921,61.1921,46.024,46.024,46.024,-21.2094,-21.2094,21.2094,24.0351,0.0,31.9277,0.0,46.9984,0.0,61.2246,0.0,85.2921,0.0,85.2921,-39.7229,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,4302.0,1,4577.0,3,-5299.0,6,9276.0,12,-89532.0,48,1.0172,1.0172,-2.5665,-2.5665,31.0912,31.0912,50.6576,50.6576,27.4627,27.4627,-13.0651,-13.0651,1811.0,12,18801.0,48,,0,1687665600000,,,1.0524291,1687665720000,4472975.0,0.0,0.8351,20,
liq,2023-06-25,binance_cm_real_000008,BUY,short,1687665797009,1687665853193,1687665853193,1687665797009,56184,4,215.0,6635743.3,30857.1,30857.1,0.0,-77.5572,2.1007,0.003564,-77.6017,14,1430478.0,,-77.55724422971625,,,,,,,,,77.6017,77.5572,,,,,,,0,1687665853193,30886.6,1687665853193,30886.6,0,0.0,30617.6437,30617.781,,,30617.7808,-12.4326,-12.4326,12.4326,-13.2096,-13.2096,13.2096,23.7644,23.7644,23.7644,22.8254,22.8254,22.8254,17.6128,17.6128,17.6128,-52.1262,-52.1262,52.1262,0.0,-12.4326,0.0,-15.5407,23.7644,-15.5407,30.5634,-15.5407,53.1946,-15.5407,53.1946,-71.4226,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4302.0,1,4302.0,1,4577.0,3,-5299.0,6,9276.0,12,-89532.0,48,8.0707,8.0707,4.0264,4.0264,44.7667,44.7667,48.3636,48.3636,32.9358,32.9358,-2.946,-2.946,1811.0,12,18801.0,48,,0,1687665600000,,,1.0524291,1687665840000,4470510.0,0.0,0.8365,20,
liq,2023-06-25,binance_cm_real_000009,BUY,short,1687666294629,1687666294629,1687666294629,1687666294629,0,1,2.0,61789.4,30894.7,30894.6,6.6667,-89.6332,-0.0823,0.006374,-83.4915,15,1552596.0,,-89.63322644080696,,,,,,,,,83.4915,89.6332,,,,,,,0,1687666294629,30894.7,1687666294629,30894.7,0,0.0,30636.7555,30617.7809,,,30617.7808,-0.6797,-0.6797,0.6797,4.9847,4.9847,4.9847,3.7223,3.7223,3.7223,44.6031,44.6031,44.6031,0.4208,0.4208,0.4208,-47.8399,-47.8399,47.8399,0.3884,-3.2044,7.5741,-6.9915,21.1363,-6.9915,50.5588,-6.9915,50.5588,-17.5111,50.5588,-74.0256,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,4492.0,1,-7982.0,3,-26626.0,6,5511.0,12,-85775.0,48,-8.1895,-8.1895,11.8435,11.8435,9.7966,9.7966,33.7179,33.7179,-1.7321,-1.7321,-23.0396,-23.0396,1851.0,12,23185.0,48,,0,1687666200000,,,2.36553953,1687666260000,4480108.0,0.0,0.8473,20,
