kind,day,cascade_id,side,direction,start_ms,end_ms,time_ms,profile_ts_ms,bundle_width_ms,bundle_n_events_dedup,bundle_total_qty_accum,bundle_total_notional,p_liq,p0,bin_pct,dist_node_bp,dist_gap_bp,vol_between_ratio,dist_vwap_bp,n_bins,total_qty,node_up_bp,node_dn_bp,oi_dist_vwap_bp,oi_dist_node_bp,oi_side_dist_vwap_bp,oi_side_dist_node_bp,oi_n_bins,oi_n_buckets,oi_total_delta,oi_side_total_delta,dist_vwap_bp_liqdir,dist_node_bp_liqdir,oi_dist_vwap_bp_liqdir,oi_dist_node_bp_liqdir,oi_side_dist_vwap_bp_liqdir,oi_side_dist_node_bp_liqdir,implied_leverage,implied_leverage_side,oi_covered,anchor_ts_ms,anchor_price,anchor_before_ts_ms,anchor_before_price,anchor_lag_ms,anchor_price_diff_bp,p_tgt_back_vwap,p_tgt_back_node,p_tgt_fwd_node,p_tgt_node_up,p_tgt_node_dn,bp_1m,bp_1m_reactdir,bp_1m_abs,bp_5m,bp_5m_reactdir,bp_5m_abs,bp_15m,bp_15m_reactdir,bp_15m_abs,bp_30m,bp_30m_reactdir,bp_30m_abs,bp_60m,bp_60m_reactdir,bp_60m_abs,bp_240m,bp_240m_reactdir,bp_240m_abs,mfe_1m_reactdir,mae_1m_reactdir,mfe_5m_reactdir,mae_5m_reactdir,mfe_15m_reactdir,mae_15m_reactdir,mfe_30m_reactdir,mae_30m_reactdir,mfe_60m_reactdir,mae_60m_reactdir,mfe_240m_reactdir,mae_240m_reactdir,reach_back_vwap_sec,reach_back_vwap_1m,reach_back_vwap_5m,reach_back_vwap_15m,reach_back_vwap_30m,reach_back_vwap_60m,reach_back_vwap_240m,reach_back_node_sec,reach_back_node_1m,reach_back_node_5m,reach_back_node_15m,reach_back_node_30m,reach_back_node_60m,reach_back_node_240m,reach_fwd_node_sec,reach_fwd_node_1m,reach_fwd_node_5m,reach_fwd_node_15m,reach_fwd_node_30m,reach_fwd_node_60m,reach_fwd_node_240m,reach_node_up_sec,reach_node_up_1m,reach_node_up_5m,reach_node_up_15m,reach_node_up_30m,reach_node_up_60m,reach_node_up_240m,reach_node_dn_sec,reach_node_dn_1m,reach_node_dn_5m,reach_node_dn_15m,reach_node_dn_30m,reach_node_dn_60m,reach_node_dn_240m,doi_post_1m,doi_post_1m_n,doi_post_5m,doi_post_5m_n,doi_post_15m,doi_post_15m_n,doi_post_30m,doi_post_30m_n,doi_post_60m,doi_post_60m_n,doi_post_240m,doi_post_240m_n,bf_bp_1m,bf_bp_1m_reactdir,bf_bp_5m,bf_bp_5m_reactdir,bf_bp_15m,bf_bp_15m_reactdir,bf_bp_30m,bf_bp_30m_reactdir,bf_bp_60m,bf_bp_60m_reactdir,bf_bp_240m,bf_bp_240m_reactdir,doi_pre_1h,doi_pre_1h_n,doi_pre_4h,doi_pre_4h_n,doi_in,doi_in_n,m_ts_ms,m_count_long_short_ratio,m_sum_toptrader_long_short_ratio,m_sum_taker_long_short_vol_ratio,bf_anchor_ts_ms,bf_anchor_close,bf_xcorr_best_lag_min,bf_xcorr_best_r,bf_xcorr_n
liq,2024-02-15,binance_cm_real_009206,BUY,short,1707956166230,1707956166230,1707956166230,1707956166230,0,1,15.0,779632.5,51975.5,51975.5,14.2857,-24.5185,-113.8506,0.032702,-59.727,14,6315643.0,,-24.51854186059826,-67.4077,-84.1625,-69.6509,-84.1625,10,32,150326.0,70819.3295879929,59.727,24.5185,67.4077,84.1625,69.6509,84.1625,93.1032,91.1985,1,1707956166230,51975.5,1707956166230,51975.5,0,0.0,51665.0659,51848.0639,,,51848.0637,-1.1929,-1.1929,1.1929,16.2577,16.2577,16.2577,51.0048,51.0048,51.0048,102.0673,102.0673,102.0673,39.7303,39.7303,39.7303,67.4549,67.4549,67.4549,1.5007,-6.4453,16.6809,-6.4453,100.5281,-6.4453,124.424,-6.4453,124.424,-6.4453,124.424,-33.7659,,0,0,0,0,0,0,4684.799,0,0,0,0,0,1,,,,,,,,,,,,,,,4684.799,0.0,0.0,0.0,0.0,0.0,1.0,,0,-12867.0,1,-40779.0,3,-35728.0,6,-3542.0,12,106390.0,48,-2.8003,-2.8003,1.174,1.174,58.5214,58.5214,126.9781,126.9781,74.9822,74.9822,82.162,82.162,-52216.0,12,-241244.0,48,,0,1707956100000,,,0.96923116,1707956160000,8466814.0,1.0,0.5972,17
liq,2024-02-15,binance_cm_real_009207,BUY,short,1707956506190,1707956620357,1707956620357,1707956506190,114167,15,862.0,45032683.2,52074.0,52074.0,6.25,-43.3876,-3.5013,0.007379,-74.1911,16,6071834.0,,-43.387553721156905,-83.0841,-102.9187,-85.2999,-102.9187,10,31,134589.0,62748.647216565994,74.1911,43.3876,83.0841,102.9187,85.2999,102.9187,81.2453,79.8085,1,1707956620413,52440.0,1707956620340,52435.9,56,0.7819,51687.6573,51848.0634,,,51848.0637,5.492,5.492,5.492,-22.4066,-22.4066,22.4066,10.2975,10.2975,10.2975,1.3539,1.3539,1.3539,-68.6499,-68.6499,68.6499,-19.5652,-19.5652,19.5652,10.4882,-18.5545,11.0603,-35.6026,34.7445,-45.042,34.7445,-45.042,34.7445,-81.5408,34.7445,-122.0442,,0,0,0,0,0,0,4230.616,0,0,0,0,0,1,,,,,,,,,,,,,,,4230.616,0.0,0.0,0.0,0.0,0.0,1.0,,0,-13255.0,1,-49863.0,3,-20062.0,6,3672.0,12,119255.0,48,11.0177,11.0177,7.0536,7.0536,54.2878,54.2878,75.653,75.653,12.6165,12.6165,43.7415,43.7415,-62739.0,12,-249456.0,48,,0,1707956400000,,,1.14398328,1707956580000,8506338.0,0.0,0.6789,18
liq,2024-02-15,binance_cm_real_009208,BUY,short,1707956681701,1707956681701,1707956681701,1707956681701,0,1,18.0,944451.0,52469.5,52467.3,25.0,-118.4376,-29.147,0.011573,-135.4905,24,6565046.0,,-118.4376346730105,-157.835,-177.52,-160.0341,-177.52,10,31,134589.0,62748.647216565994,135.4905,118.4376,157.835,177.52,160.0341,177.52,50.5472,49.9915,1,1707956681701,52469.5,1707956681701,52469.5,0,0.0,51758.5881,51848.0638,,,51848.0637,-9.4531,-9.4531,9.4531,-24.4714,-24.4714,24.4714,11.1303,11.1303,11.1303,-11.359,-11.359,11.359,-75.7583,-75.7583,75.7583,-25.1194,-25.1194,25.1194,2.7635,-14.7705,2.7635,-41.2049,29.1026,-50.6389,29.1026,-50.6389,29.1026,-87.1173,29.1026,-127.5979,,0,0,0,0,0,0,4169.328,0,0,0,0,0,1,,,,,,,,,,,,,,,4169.328,0.0,0.0,0.0,0.0,0.0,1.0,-13255.0,1,-13255.0,1,-49863.0,3,-20062.0,6,3672.0,12,119255.0,48,0.1996,0.1996,8.5606,8.5606,55.4916,55.4916,52.746,52.746,-1.4209,-1.4209,31.7061,31.7061,-62739.0,12,-249456.0,48,,0,1707956400000,,,1.14398328,1707956640000,8515710.0,0.0,0.6779,19
liq,2024-02-15,binance_cm_real_009209,SELL,long,1707957075408,1707957075408,1707957075408,1707957075408,0,1,7.0,365466.5,52209.5,52209.5,33.3333,-69.2281,-19.4748,0.020365,-80.3917,24,6773928.0,,-69.22808056915935,-108.3952,-128.6047,-106.3806,-128.6047,10,30,129037.0,68870.29249237369,-80.3917,-69.2281,-108.3952,-128.6047,-106.3806,-128.6047,,,1,1707957075408,52209.5,1707957075408,52209.5,0,0.0,51789.779,51848.0636,51848.0637,,51848.0637,16.1848,-16.1848,16.1848,47.2328,-47.2328,47.2328,49.8951,-49.8951,49.8951,25.9723,-25.9723,25.9723,-46.9263,46.9263,46.9263,25.7616,-25.7616,25.7616,-0.0,-16.1848,-0.0,-52.8065,-0.0,-79.0469,-0.0,-79.0469,57.5949,-79.0469,78.434,-79.0469,,0,0,0,0,0,0,3775.621,0,0,0,0,0,1,3775.621,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,3775.621,0.0,0.0,0.0,0.0,0.0,1.0,,0,-21951.0,1,5051.0,3,-2955.0,6,25730.0,12,149221.0,48,2.5222,-2.5222,48.233,-48.233,68.0584,-68.0584,32.3518,-32.3518,-33.9934,33.9934,39.8198,-39.8198,-72383.0,12,-275795.0,48,,0,1707957000000,,,1.01272097,1707957060000,8516363.0,0.0,0.7781,20
liq,2024-02-15,binance_cm_real_009210,BUY,short,1707957301461,1707957340055,1707957340055,1707957301461,38594,3,55.0,2885699.3,52466.0,52466.0,16.6667,-117.7784,-68.2684,0.012934,-125.996,24,6775045.0,,-117.7784369396471,-156.754,-176.8648,-159.0488,-176.8648,10,30,129037.0,60166.70750762629,125.996,117.7784,156.754,176.8648,159.0488,176.8648,50.8249,50.2389,1,1707957340072,52481.2,1707957340008,52481.3,17,-0.0191,51804.9494,51848.0638,,,51848.0637,-1.391,-1.391,1.391,-6.307,-6.307,6.307,-3.9062,-3.9062,3.9062,-40.1096,-40.1096,40.1096,-109.7726,-109.7726,109.7726,-28.4102,-28.4102,28.4102,0.0381,-10.137,26.8668,-10.137,26.8668,-20.8075,26.8668,-43.6728,26.8668,-129.7989,26.8668,-129.7989,3562.97,0,0,0,0,1,1,3510.957,0,0,0,0,1,1,,,,,,,,,,,,,,,3510.957,0.0,0.0,0.0,0.0,1.0,1.0,,0,-195.0,1,29801.0,3,40889.0,6,45472.0,12,170523.0,48,18.7862,18.7862,13.9181,13.9181,41.5459,41.5459,-24.0207,-24.0207,-58.179,-58.179,6.4662,6.4662,-95559.0,12,-293676.0,48,,0,1707957300000,,,0.75667369,1707957300000,8541394.0,0.0,0.7514,20
liq,2024-02-15,binance_cm_real_009211,BUY,short,1707957404829,1707957461308,1707957461308,1707957404829,56479,4,306.0,16072775.7,52523.6,52523.6,0.0,-128.6158,0.485,0.002132,-133.6225,25,6895158.0,,-128.61577409917655,-167.5486,-187.6373,-169.8409,-187.6373,10,30,129037.0,60166.70750762629,133.6225,128.6158,167.5486,187.6373,169.8409,187.6373,48.1815,47.6552,1,1707957461308,52608.9,1707957461308,52608.9,0,0.0,51821.7665,51848.0635,,,51848.0637,-22.0115,-22.0115,22.0115,-42.0461,-42.0461,42.0461,-30.204,-30.204,30.204,-66.0345,-66.0345,66.0345,-120.3218,-120.3218,120.3218,-52.6337,-52.6337,52.6337,0.0,-23.7412,0.0,-45.0304,0.0,-45.0304,0.0,-70.8435,0.0,-153.7573,0.0,-153.7573,3439.751,0,0,0,0,1,1,3389.721,0,0,0,0,1,1,,,,,,,,,,,,,,,3389.721,0.0,0.0,0.0,0.0,1.0,1.0,,0,-195.0,1,29801.0,3,40889.0,6,45472.0,12,170523.0,48,-9.9101,-9.9101,-19.8458,-19.8458,15.3557,15.3557,-47.8893,-47.8893,-55.0753,-55.0753,-16.3544,-16.3544,-95559.0,12,-293676.0,48,,0,1707957300000,,,0.75667369,1707957420000,8561001.0,0.0,0.7131,20
liq,2024-02-15,binance_cm_real_009212,SELL,long,1707959903184,1707959903184,1707959903184,1707959903184,0,1,52.0,2705658.8,52031.9,52031.9,11.1111,-35.3315,105.0843,0.007661,-20.9435,27,7524595.0,,-35.33146920399869,-26.0356,54.7101,-27.0335,-65.1658,21,33,190321.0,98458.35198571291,-20.9435,-35.3315,-26.0356,54.7101,-27.0335,-65.1658,716.1067,771.2181,1,1707959903184,52031.9,1707959903184,52031.9,0,0.0,51922.927,51848.0635,51848.0637,,51848.0637,13.8761,-13.8761,13.8761,9.2443,-9.2443,9.2443,-14.3758,14.3758,14.3758,-5.3621,5.3621,5.3621,43.8193,-43.8193,43.8193,40.4752,-40.4752,40.4752,1.1339,-18.0466,3.7477,-26.3877,24.3889,-26.3877,44.5688,-26.3877,44.5688,-48.3742,44.5688,-86.6968,600.171,0,0,1,1,1,1,947.845,0,0,0,1,1,1,947.845,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,947.845,0.0,0.0,0.0,1.0,1.0,1.0,,0,-5653.0,1,-11507.0,3,-25786.0,6,6126.0,12,126078.0,48,2.7109,-2.7109,-8.9903,8.9903,-46.6091,46.6091,-3.5825,3.5825,10.0601,-10.0601,13.7083,-13.7083,-3542.0,12,-136473.0,48,,0,1707959700000,,,0.93029799,1707959880000,8524734.0,0.0,0.7327,20
liq,2024-02-15,binance_cm_real_009213,SELL,long,1707960165567,1707960165567,1707960165567,1707960165567,0,1,4.0,208059.2,52014.8,52014.8,11.1111,-32.0556,108.4064,0.010166,-17.0417,27,7576555.0,,-32.05555865783496,-22.7567,58.0156,-23.7548,-61.8997,21,33,190321.0,98458.35198571291,-17.0417,-32.0556,-22.7567,58.0156,-23.7548,-61.8997,579.9354,615.5664,1,1707960165615,52014.9,1707960165495,52014.8,48,0.0192,51926.1579,51848.0634,51848.0637,,51848.0637,13.2847,-13.2847,13.2847,-5.1908,5.1908,5.1908,-7.4786,7.4786,7.4786,-15.3994,15.3994,15.3994,30.2029,-30.2029,30.2029,39.0657,-39.0657,39.0657,-0.0,-13.2847,8.6321,-13.2847,41.3151,-13.2847,41.3151,-13.2847,41.3151,-52.6964,41.3151,-89.9934,337.674,0,0,1,1,1,1,685.414,0,0,1,1,1,1,685.414,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,685.414,0.0,0.0,1.0,1.0,1.0,1.0,,0,-15837.0,1,-8063.0,3,-17387.0,6,20996.0,12,130938.0,48,4.4895,-4.4895,-10.8114,10.8114,0.7083,-0.7083,-4.0431,4.0431,13.8044,-13.8044,19.1866,-19.1866,3672.0,12,-139373.0,48,,0,1707960000000,,,0.88650132,1707960120000,8513248.0,9.0,0.6728,11
liq,2024-02-15,binance_cm_real_009214,SELL,long,1707960373667,1707960373667,1707960373667,1707960373667,0,1,1434.0,74541471.0,51981.5,51981.6,11.1111,-25.67,114.882,0.013975,-10.2463,27,7610957.0,,-25.669968594125308,-16.3651,64.4589,-17.3639,-55.5332,21,33,190321.0,98458.35198571291,-10.2463,-25.67,-16.3651,64.4589,-17.3639,-55.5332,423.1031,441.7722,1,1707960373667,51981.5,1707960373667,51981.5,0,0.0,51928.2382,51848.0635,51848.0637,,51848.0637,6.637,-6.637,6.637,-2.5971,2.5971,2.5971,-8.4645,8.4645,8.4645,0.4232,-0.4232,0.4232,37.0324,-37.0324,37.0324,43.3039,-43.3039,43.3039,-0.0,-11.6772,13.9857,-11.6772,34.9163,-11.6772,34.9163,-11.6772,34.9163,-59.1557,34.9163,-96.4766,129.622,0,1,1,1,1,1,477.362,0,0,1,1,1,1,477.362,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,477.362,0.0,0.0,1.0,1.0,1.0,1.0,,0,9983.0,1,-221.0,3,2102.0,6,39888.0,12,146526.0,48,-2.1515,2.1515,-21.7038,21.7038,9.4758,-9.4758,3.306,-3.306,31.9673,-31.9673,31.8615,-31.8615,1090.0,12,-154166.0,48,,0,1707960300000,,,0.75037101,1707960360000,8505874.0,0.0,0.7348,20
liq,2024-02-15,binance_cm_real_009215,SELL,long,1707960504893,1707960504893,1707960504893,1707960504893,0,1,17.0,882838.9,51931.7,51931.7,48.1481,-16.1051,124.5816,0.033224,-0.4397,27,7684072.0,,-16.105066317403352,-6.7913,74.1102,-7.7911,-45.9969,21,33,190321.0,98458.35198571291,-0.4397,-16.1051,-6.7913,74.1102,-7.7911,-45.9969,301.1259,310.4732,1,1707960505546,51931.8,1707960504892,51931.7,653,0.0193,51929.4166,51848.0635,51848.0637,,51848.0637,17.3689,-17.3689,17.3689,4.2941,-4.2941,4.2941,5.1606,-5.1606,5.1606,10.0516,-10.0516,10.0516,41.6123,-41.6123,41.6123,53.551,-53.551,53.551,1.9256,-17.3689,5.1606,-19.2753,25.3794,-19.2753,25.3794,-19.6989,25.3794,-68.7825,25.3794,-106.1392,0.147,1,1,1,1,1,1,345.483,0,0,1,1,1,1,345.483,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,345.483,0.0,0.0,1.0,1.0,1.0,1.0,,0,9983.0,1,-221.0,3,2102.0,6,39888.0,12,146526.0,48,-7.902,7.902,-29.9419,29.9419,4.1326,-4.1326,-10.8067,10.8067,19.9131,-19.9131,38.2011,-38.2011,1090.0,12,-154166.0,48,,0,1707960300000,,,0.75037101,1707960480000,8510483.0,0.0,0.7458,20
