区分,h(秒),n,基準率(この5000件),的中率,適合率,再現率,「続く」と言った件数,確率帯,実際の続く割合,規則,一致率,側,材料1の群,呼べた件数(prob あり)
的中率・適合率・再現率,30,5000,0.525000,0.601200,0.628409,0.588190,2457,,,,,,,
的中率・適合率・再現率,60,5000,0.605600,0.599400,0.708588,0.574967,2457,,,,,,,
的中率・適合率・再現率,120,5000,0.676000,0.584600,0.765161,0.556213,2457,,,,,,,
確率帯ごとの実際の続く割合(較正),,0,,,,,,"[0.0,0.1)",,,,,,
確率帯ごとの実際の続く割合(較正),,0,,,,,,"[0.1,0.2)",,,,,,
確率帯ごとの実際の続く割合(較正),,6,,,,,,"[0.2,0.3)",0.166667,,,,,
確率帯ごとの実際の続く割合(較正),,436,,,,,,"[0.3,0.4)",0.474771,,,,,
確率帯ごとの実際の続く割合(較正),,2101,,,,,,"[0.4,0.5)",0.513565,,,,,
確率帯ごとの実際の続く割合(較正),,1764,,,,,,"[0.5,0.6)",0.664399,,,,,
確率帯ごとの実際の続く割合(較正),,638,,,,,,"[0.6,0.7)",0.813480,,,,,
確率帯ごとの実際の続く割合(較正),,55,,,,,,"[0.7,0.8)",0.909091,,,,,
確率帯ごとの実際の続く割合(較正),,0,,,,,,"[0.8,0.9)",,,,,,
確率帯ごとの実際の続く割合(較正),,0,,,,,,"[0.9,1.0)",,,,,,
規則との一致率,,5000,,,,,,,,rule_1,0.725200,,,
規則との一致率,,5000,,,,,,,,rule_14,0.679400,,,
規則との一致率,,5000,,,,,,,,rule_combo,0.703400,,,
層ごとの n,,833,,,,,,,,,,BUY,0,833
層ごとの n,,833,,,,,,,,,,BUY,1-2,833
層ごとの n,,833,,,,,,,,,,BUY,3+,833
層ごとの n,,834,,,,,,,,,,SELL,0,834
層ごとの n,,834,,,,,,,,,,SELL,1-2,834
層ごとの n,,833,,,,,,,,,,SELL,3+,833
