区分,量,n,半期,側,h(秒),続く割合,材料,変数名,欠測,母数,割合,p10,p25,p50,p75,p90,前半,後半,前半最小,前半最大,後半最小,後半最大
プリント数,母集団(探索段5 kind=print),52000,,,,,,,,,,,,,,,,,,,,
プリント数,この単位で使うプリント(前半+後半),52000,,,,,,,,,,,,,,,,,,,,
ラベルの割合,,12844,前半,SELL,30,0.528184,,,,,,,,,,,,,,,,
ラベルの割合,,12844,前半,SELL,60,0.598645,,,,,,,,,,,,,,,,
ラベルの割合,,12844,前半,SELL,120,0.667315,,,,,,,,,,,,,,,,
ラベルの割合,,8994,前半,BUY,30,0.486991,,,,,,,,,,,,,,,,
ラベルの割合,,8994,前半,BUY,60,0.564821,,,,,,,,,,,,,,,,
ラベルの割合,,8994,前半,BUY,120,0.634757,,,,,,,,,,,,,,,,
ラベルの割合,,19217,後半,SELL,30,0.555966,,,,,,,,,,,,,,,,
ラベルの割合,,19217,後半,SELL,60,0.628662,,,,,,,,,,,,,,,,
ラベルの割合,,19217,後半,SELL,120,0.691887,,,,,,,,,,,,,,,,
ラベルの割合,,10945,後半,BUY,30,0.423298,,,,,,,,,,,,,,,,
ラベルの割合,,10945,後半,BUY,60,0.507355,,,,,,,,,,,,,,,,
ラベルの割合,,10945,後半,BUY,120,0.582184,,,,,,,,,,,,,,,,
材料ごとの欠測数,,,,,,,1,same_side_count_60s_and_elapsed,0,52000,0.000000,,,,,,,,,,,
材料ごとの欠測数,,,,,,,2,interval_ratio_last_two,4,52000,0.000077,,,,,,,,,,,
材料ごとの欠測数,,,,,,,3,notional_and_ratio_to_previous,2,52000,0.000038,,,,,,,,,,,
材料ごとの欠測数,,,,,,,4,move_since_cascade_start_and_bounce,0,52000,0.000000,,,,,,,,,,,
材料ごとの欠測数,,,,,,,5,distance_to_liquidation_node,0,52000,0.000000,,,,,,,,,,,
材料ごとの欠測数,,,,,,,6,time_of_day_band,0,52000,0.000000,,,,,,,,,,,
材料ごとの欠測数,,,,,,,8,open_interest_mass_ahead,15478,52000,0.297654,,,,,,,,,,,
材料ごとの欠測数,,,,,,,9,taker_imbalance_5s,81,52000,0.001558,,,,,,,,,,,
材料ごとの欠測数,,,,,,,10,oi_slope_and_funding,14861,52000,0.285788,,,,,,,,,,,
材料ごとの欠測数,,,,,,,11,notional_over_60s_range,0,52000,0.000000,,,,,,,,,,,
材料ごとの欠測数,,,,,,,12,notional_over_max_recent_print,21597,52000,0.415327,,,,,,,,,,,
材料ごとの欠測数,,,,,,,13,taker_imbalance_trend,81,52000,0.001558,,,,,,,,,,,
材料ごとの欠測数,,,,,,,14,trade_count_60s,0,52000,0.000000,,,,,,,,,,,
材料ごとの欠測数,,,,,,,15,burst_ratio_10s_over_60s,17,52000,0.000327,,,,,,,,,,,
遅れ,"p0 の遅れ(t0−ts, ms)",52000,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,125.000000,,,,,,
遅れ,"60 秒後の出口価格が引けなかった割合(遅れが穴の上限 300,000ms を超えた代理指標。個々の遅れ ms は保存していない — 限界参照)",52000,,,,,,,,,0.000000,,,,,,,,,,,
前半/後半,日数,,,,,,,,,,,,,,,,228,228,,,,
前半/後半,清算数,,,,,,,,,,,,,,,,21838,30162,,,,
前半/後半,価格帯(p0 の最小〜最大),,,,,,,,,,,,,,,,,,24452.800000,50426.600000,48344.000000,73889.200000
