材料,変数名,区分,群,n,p10,p25,p50,p75,p90,帯,前半 n,前半 続く割合,後半 n,後半 続く割合
1,same_side_count_60s_and_elapsed,分位(全期間),続いた(label_60=1),30403,0.000000,0.000000,1.000000,4.000000,7.000000,,,,,
1,same_side_count_60s_and_elapsed,分位(全期間),止まった(label_60=0),21597,0.000000,0.000000,0.000000,1.000000,3.000000,,,,,
1,same_side_count_60s_and_elapsed,帯ごとの続く割合,"帯5[0.0,1.0)",,,,,,,5,9069,0.439960,12528,0.432791
1,same_side_count_60s_and_elapsed,帯ごとの続く割合,"帯7[1.0,2.0)",,,,,,,7,4466,0.592253,6095,0.578671
1,same_side_count_60s_and_elapsed,帯ごとの続く割合,"帯8[2.0,3.0)",,,,,,,8,2607,0.655926,3570,0.663585
1,same_side_count_60s_and_elapsed,帯ごとの続く割合,"帯9[3.0,6.0)",,,,,,,9,3403,0.740817,4835,0.752637
1,same_side_count_60s_and_elapsed,帯ごとの続く割合,"帯10[6.0,+∞)",,,,,,,10,2293,0.829917,3134,0.854180
2,interval_ratio_last_two,分位(全期間),続いた(label_60=1),30402,0.022710,0.189764,1.065933,7.860678,55.703945,,,,,
2,interval_ratio_last_two,分位(全期間),止まった(label_60=0),21594,0.005081,0.078655,0.996086,9.179459,81.826780,,,,,
2,interval_ratio_last_two,帯ごとの続く割合,欠測(材料が引けない),,,,,,,-1,4,0.250000,0,
2,interval_ratio_last_two,帯ごとの続く割合,"帯1[−∞,0.010520500000000004)",,,,,,,1,2184,0.411630,2664,0.421547
2,interval_ratio_last_two,帯ごとの続く割合,"帯2[0.010520500000000004,0.06843360000000001)",,,,,,,2,2183,0.561612,3228,0.567534
2,interval_ratio_last_two,帯ごとの続く割合,"帯3[0.06843360000000001,0.24717709999999996)",,,,,,,3,2183,0.591846,3291,0.602856
2,interval_ratio_last_two,帯ごとの続く割合,"帯4[0.24717709999999996,0.6413702)",,,,,,,4,2184,0.623168,3490,0.613467
2,interval_ratio_last_two,帯ごとの続く割合,"帯5[0.6413702,1.0965465)",,,,,,,5,2183,0.693999,2942,0.668933
2,interval_ratio_last_two,帯ごとの続く割合,"帯6[1.0965465,2.1088327999999996)",,,,,,,6,2183,0.649565,2644,0.625189
2,interval_ratio_last_two,帯ごとの続く割合,"帯7[2.1088327999999996,5.248958099999999)",,,,,,,7,2184,0.611722,3056,0.592932
2,interval_ratio_last_two,帯ごとの続く割合,"帯8[5.248958099999999,15.500438400000016)",,,,,,,8,2183,0.585891,3032,0.610488
2,interval_ratio_last_two,帯ごとの続く割合,"帯9[15.500438400000016,69.2666470000001)",,,,,,,9,2183,0.584975,2952,0.588076
2,interval_ratio_last_two,帯ごとの続く割合,"帯10[69.2666470000001,+∞)",,,,,,,10,2184,0.533425,2863,0.535802
3,notional_and_ratio_to_previous,分位(全期間),続いた(label_60=1),30402,0.026076,0.149852,0.999823,6.731530,38.009564,,,,,
3,notional_and_ratio_to_previous,分位(全期間),止まった(label_60=0),21596,0.028574,0.156263,1.000073,6.504923,34.319931,,,,,
3,notional_and_ratio_to_previous,帯ごとの続く割合,欠測(材料が引けない),,,,,,,-1,2,0.500000,0,
3,notional_and_ratio_to_previous,帯ごとの続く割合,"帯1[−∞,0.029446)",,,,,,,1,2184,0.614011,3256,0.582924
3,notional_and_ratio_to_previous,帯ごとの続く割合,"帯2[0.029446,0.099968)",,,,,,,2,2182,0.576994,3015,0.579768
3,notional_and_ratio_to_previous,帯ごとの続く割合,"帯3[0.099968,0.245479)",,,,,,,3,2185,0.592677,3046,0.598490
