量,h(秒),n,値,備考,確率帯
的中率,30,0,,この委任では Jev を後半に呼んでいない(下見 200 件のみ),
適合率,30,0,,この委任では Jev を後半に呼んでいない(下見 200 件のみ),
再現率,30,0,,この委任では Jev を後半に呼んでいない(下見 200 件のみ),
的中率,60,0,,この委任では Jev を後半に呼んでいない(下見 200 件のみ),
適合率,60,0,,この委任では Jev を後半に呼んでいない(下見 200 件のみ),
再現率,60,0,,この委任では Jev を後半に呼んでいない(下見 200 件のみ),
的中率,120,0,,この委任では Jev を後半に呼んでいない(下見 200 件のみ),
適合率,120,0,,この委任では Jev を後半に呼んでいない(下見 200 件のみ),
再現率,120,0,,この委任では Jev を後半に呼んでいない(下見 200 件のみ),
確率帯ごとの実際の続く割合(較正),,0,,同上,1
確率帯ごとの実際の続く割合(較正),,0,,同上,2
確率帯ごとの実際の続く割合(較正),,0,,同上,3
確率帯ごとの実際の続く割合(較正),,0,,同上,4
確率帯ごとの実際の続く割合(較正),,0,,同上,5
確率帯ごとの実際の続く割合(較正),,0,,同上,6
確率帯ごとの実際の続く割合(較正),,0,,同上,7
確率帯ごとの実際の続く割合(較正),,0,,同上,8
確率帯ごとの実際の続く割合(較正),,0,,同上,9
確率帯ごとの実際の続く割合(較正),,0,,同上,10
規則(組)との一致率,60,0,,同上,
