判断,日数,負の日の割合,上位5日の寄与の和÷全体,合計bp
rule_1,228,0.653509,-0.186224,-35205.545663
rule_2,228,0.666667,-0.171621,-33613.462854
rule_3,228,0.416667,0.762902,10135.576277
rule_4,228,0.631579,-0.175699,-35014.829057
rule_5,228,0.583333,-0.201769,-32978.710995
rule_6,228,0.600877,-0.667157,-15148.383474
rule_8,133,0.714286,-0.660306,-11604.917413
rule_9,228,0.622807,-0.255060,-30527.096382
rule_10,133,0.406015,2.035034,2700.870999
rule_11,228,0.359649,0.993736,3704.310443
rule_12,227,0.718062,-0.221660,-32555.996304
rule_13,228,0.561404,-0.736980,-10401.979494
rule_14,228,0.596491,-0.220392,-34593.464404
rule_15,228,0.548246,-0.466246,-11612.245177
rule_combo,228,0.614035,-0.220978,-31251.822083
jev,0,,,
all_continue,228,0.684211,-0.273635,-29906.446946
all_stop,228,0.315789,0.404162,29906.446946
perfect,228,0.026316,0.188358,147232.688622
