格子,entry_s,hold_s,判断,枝,n,含む日数,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE
副,1,30,perfect,続く,17634,227,2.461528,-4.513558,9.820039,0.394862,2.157806,0.377734
副,1,30,perfect,止まる,12528,228,3.600200,-0.208273,9.011725,0.263330,4.576054,0.259935
主(t0+1s→60s),1,60,perfect,続く,17634,227,3.331377,-7.108143,14.218486,0.404503,3.027189,0.438308
主(t0+1s→60s),1,60,perfect,止まる,12528,228,4.629772,-0.621586,11.817356,0.280172,5.933151,0.340940
副,1,300,perfect,続く,17634,227,-0.921269,-21.316135,20.976892,0.513270,-0.605064,1.299581
副,1,300,perfect,止まる,12528,228,6.091386,-6.615090,20.141067,0.362787,6.646755,0.313973
副,3,30,perfect,続く,17634,227,2.281537,-4.997237,9.889121,0.404389,1.940668,0.360340
副,3,30,perfect,止まる,12528,228,3.061452,-0.609363,8.291776,0.288554,3.982575,0.231186
副,3,60,perfect,続く,17634,227,3.041771,-7.810551,14.004294,0.413689,2.665494,0.425718
副,3,60,perfect,止まる,12528,228,4.053878,-1.221852,10.935468,0.300846,5.167792,0.302893
副,3,300,perfect,続く,17634,227,-1.371386,-21.824466,20.759753,0.517183,-0.953830,1.266631
副,3,300,perfect,止まる,12528,228,5.574333,-7.136933,19.228726,0.375319,5.881436,0.283239
副,5,30,perfect,続く,17634,227,2.323071,-5.013204,9.913990,0.403822,2.130741,0.335086
副,5,30,perfect,止まる,12528,228,2.716104,-0.910340,7.816987,0.307072,3.569837,0.228566
副,5,60,perfect,続く,17634,227,2.904999,-8.081628,13.893098,0.418963,2.707549,0.416482
副,5,60,perfect,止まる,12528,228,3.617769,-1.718431,10.304815,0.323356,4.632710,0.287236
副,5,300,perfect,続く,17634,227,-1.334375,-21.881732,20.552427,0.518600,-0.868835,1.231762
副,5,300,perfect,止まる,12528,228,5.237825,-7.790774,18.547947,0.385776,5.317760,0.271991
