規則,枝,n,備考,続くと言った割合,含む日数,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,材料15の帯,対象,取れた,取れた割合,印
rule_1,続く,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_1,止まる,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_2,続く,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_2,止まる,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_3,続く,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_3,止まる,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_4,続く,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_4,止まる,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_5,続く,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_5,止まる,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_6,続く,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_6,止まる,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_8,続く,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_8,止まる,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_9,続く,10802,,0.479131,223,-0.142251,-3.775260,3.134093,0.512127,-0.190919,0.065043,,,,,
rule_9,止まる,11743,,0.479131,227,0.000000,-2.958095,3.308616,0.491612,0.121710,0.052849,,,,,
rule_10,続く,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_10,止まる,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_11,続く,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_11,止まる,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_12,続く,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_12,止まる,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_13,続く,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_13,止まる,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_14,続く,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_14,止まる,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_15,続く,11952,,0.530140,227,-0.033316,-3.541745,2.991077,0.505355,-0.236449,0.055163,,,,,
rule_15,止まる,10593,,0.530140,225,0.016207,-3.097338,3.513949,0.484660,0.130032,0.063743,,,,,
rule_combo,続く,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
rule_combo,止まる,0,candidate 側は未計算(材料がこのプリント固有のため。限界参照),,,,,,,,,,,,,
jev,続く,0,この委任では Q7 に Jev を呼んでいない(設計 §2 Q7),,,,,,,,,,,,,
jev,止まる,0,この委任では Q7 に Jev を呼んでいない(設計 §2 Q7),,,,,,,,,,,,,
(対照候補の可否),,,,,,,,,,,,1,2625,2512,0.956952,
(対照候補の可否),,,,,,,,,,,,2,3389,2846,0.839776,
(対照候補の可否),,,,,,,,,,,,3,3608,2697,0.747506,
(対照候補の可否),,,,,,,,,,,,4,3479,2419,0.695315,
(対照候補の可否),,,,,,,,,,,,5,3244,2208,0.680641,
(対照候補の可否),,,,,,,,,,,,6,3064,2007,0.655026,
(対照候補の可否),,,,,,,,,,,,7,2996,1952,0.651535,
(対照候補の可否),,,,,,,,,,,,8,2649,1741,0.657229,
(対照候補の可否),,,,,,,,,,,,9,2343,1625,0.693555,
(対照候補の可否),,,,,,,,,,,,10,2739,2538,0.926616,
