gap(秒),種,量,p50,p90,p99,最大,n,引けない行,h 後が終端と同じ約定の割合
60,清算,基準の遅れ(ms),95.000000,910.000000,2878.210000,31246.000000,21198,0,—
60,清算,終端の遅れ(ms),0.000000,170.000000,1599.270000,20469.000000,21198,0,—
60,清算,h 後の遅れ(ms) h=60,421.500000,2367.000000,8203.030000,40807.000000,21198,0,0.000000
60,清算,h 後の遅れ(ms) h=300,493.000000,2940.000000,9820.990000,67630.000000,21198,0,0.000000
60,清算,h 後の遅れ(ms) h=900,555.000000,3419.900000,11640.150000,71162.000000,21198,0,0.000000
60,対照(a) 掃き合わせ,基準の遅れ(ms),812.000000,4630.800000,9829.020000,50231.000000,11463,0,—
60,対照(a) 掃き合わせ,終端の遅れ(ms),715.000000,4727.000000,13767.120000,70782.000000,11463,0,—
60,対照(a) 掃き合わせ,h 後の遅れ(ms) h=60,774.000000,4787.000000,15927.040000,60000.000000,11463,0,0.000087
60,対照(a) 掃き合わせ,h 後の遅れ(ms) h=300,874.000000,5080.600000,16756.440000,88391.000000,11463,0,0.000000
60,対照(a) 掃き合わせ,h 後の遅れ(ms) h=900,917.000000,5464.000000,16796.420000,158806.000000,11463,0,0.000000
60,対照(b)-i 一様(日集約),基準の遅れ(ms),—,—,—,—,—,—,—
60,対照(b)-i 一様(日集約),終端の遅れ(ms),904.500000,6036.300000,21387.070000,163997.000000,21378,0,—
60,対照(b)-i 一様(日集約),h 後の遅れ(ms) h=60,854.000000,5940.300000,22126.920000,60000.000000,21378,0,0.000889
60,対照(b)-i 一様(日集約),h 後の遅れ(ms) h=300,871.000000,5836.600000,21979.800000,234746.000000,21378,0,0.000000
60,対照(b)-i 一様(日集約),h 後の遅れ(ms) h=900,822.000000,5793.800000,20184.960000,101586.000000,21377,1,0.000000
60,対照(b)-ii 薄さ合わせ,基準の遅れ(ms),—,—,—,—,—,—,—
60,対照(b)-ii 薄さ合わせ,終端の遅れ(ms),632.000000,3591.400000,15636.580000,76481.000000,18327,0,—
60,対照(b)-ii 薄さ合わせ,h 後の遅れ(ms) h=60,645.000000,3986.400000,14705.420000,60000.000000,18327,0,0.000273
60,対照(b)-ii 薄さ合わせ,h 後の遅れ(ms) h=300,692.000000,4352.000000,15236.980000,117830.000000,18327,0,0.000000
60,対照(b)-ii 薄さ合わせ,h 後の遅れ(ms) h=900,662.000000,4087.800000,15904.140000,85138.000000,18327,0,0.000000
30,清算,基準の遅れ(ms),89.000000,859.000000,2623.480000,31246.000000,25343,0,—
30,清算,終端の遅れ(ms),0.000000,165.000000,1524.160000,20469.000000,25343,0,—
30,清算,h 後の遅れ(ms) h=60,371.000000,2178.000000,7607.700000,40807.000000,25343,0,0.000000
30,清算,h 後の遅れ(ms) h=300,457.000000,2761.800000,9460.220000,67630.000000,25343,0,0.000000
30,清算,h 後の遅れ(ms) h=900,523.000000,3271.600000,10950.380000,71162.000000,25343,0,0.000000
30,対照(a) 掃き合わせ,基準の遅れ(ms),817.000000,4631.000000,9743.120000,54747.000000,12695,0,—
30,対照(a) 掃き合わせ,終端の遅れ(ms),736.000000,4795.200000,14078.300000,93571.000000,12695,0,—
30,対照(a) 掃き合わせ,h 後の遅れ(ms) h=60,794.000000,4878.600000,15898.420000,60000.000000,12695,0,0.000079
30,対照(a) 掃き合わせ,h 後の遅れ(ms) h=300,871.000000,5305.600000,17499.240000,88391.000000,12695,0,0.000000
30,対照(a) 掃き合わせ,h 後の遅れ(ms) h=900,921.000000,5550.600000,17018.660000,158806.000000,12695,0,0.000000
30,対照(b)-i 一様(日集約),基準の遅れ(ms),—,—,—,—,—,—,—
30,対照(b)-i 一様(日集約),終端の遅れ(ms),891.000000,5952.200000,21259.440000,163997.000000,25425,0,—
30,対照(b)-i 一様(日集約),h 後の遅れ(ms) h=60,847.000000,5889.600000,22504.600000,60000.000000,25425,0,0.000747
30,対照(b)-i 一様(日集約),h 後の遅れ(ms) h=300,864.000000,5806.600000,21785.880000,234746.000000,25425,0,0.000000
30,対照(b)-i 一様(日集約),h 後の遅れ(ms) h=900,812.000000,5712.700000,19823.540000,101586.000000,25424,1,0.000000
30,対照(b)-ii 薄さ合わせ,基準の遅れ(ms),—,—,—,—,—,—,—
30,対照(b)-ii 薄さ合わせ,終端の遅れ(ms),627.000000,3526.300000,15829.540000,76481.000000,20900,0,—
30,対照(b)-ii 薄さ合わせ,h 後の遅れ(ms) h=60,651.000000,4031.000000,14406.450000,60000.000000,20900,0,0.000239
30,対照(b)-ii 薄さ合わせ,h 後の遅れ(ms) h=300,674.000000,4238.200000,15092.260000,117830.000000,20900,0,0.000000
30,対照(b)-ii 薄さ合わせ,h 後の遅れ(ms) h=900,660.000000,4118.200000,15907.460000,90839.000000,20900,0,0.000000
180,清算,基準の遅れ(ms),107.000000,982.000000,3191.580000,31246.000000,15143,0,—
180,清算,終端の遅れ(ms),0.000000,169.000000,1749.480000,20469.000000,15143,0,—
180,清算,h 後の遅れ(ms) h=60,468.000000,2570.000000,8832.380000,40807.000000,15143,0,0.000000
180,清算,h 後の遅れ(ms) h=300,583.000000,3364.000000,10655.700000,67630.000000,15143,0,0.000000
180,清算,h 後の遅れ(ms) h=900,621.000000,3791.000000,12480.520000,71162.000000,15143,0,0.000000
180,対照(a) 掃き合わせ,基準の遅れ(ms),743.000000,4424.000000,10485.000000,67997.000000,9271,0,—
180,対照(a) 掃き合わせ,終端の遅れ(ms),682.000000,4446.000000,13556.100000,70782.000000,9271,0,—
180,対照(a) 掃き合わせ,h 後の遅れ(ms) h=60,727.000000,4539.000000,15094.700000,60000.000000,9271,0,0.000108
180,対照(a) 掃き合わせ,h 後の遅れ(ms) h=300,821.000000,4812.000000,15837.400000,74829.000000,9271,0,0.000000
180,対照(a) 掃き合わせ,h 後の遅れ(ms) h=900,882.000000,5420.000000,17893.800000,158806.000000,9271,0,0.000000
180,対照(b)-i 一様(日集約),基準の遅れ(ms),—,—,—,—,—,—,—
180,対照(b)-i 一様(日集約),終端の遅れ(ms),931.500000,6208.000000,22765.400000,163997.000000,15590,0,—
180,対照(b)-i 一様(日集約),h 後の遅れ(ms) h=60,867.000000,6129.400000,23046.500000,60000.000000,15590,0,0.000770
180,対照(b)-i 一様(日集約),h 後の遅れ(ms) h=300,900.000000,6094.400000,22539.500000,234746.000000,15590,0,0.000000
180,対照(b)-i 一様(日集約),h 後の遅れ(ms) h=900,854.000000,6019.400000,20471.640000,101586.000000,15589,1,0.000000
180,対照(b)-ii 薄さ合わせ,基準の遅れ(ms),—,—,—,—,—,—,—
180,対照(b)-ii 薄さ合わせ,終端の遅れ(ms),632.500000,3613.000000,16424.320000,95181.000000,14222,0,—
180,対照(b)-ii 薄さ合わせ,h 後の遅れ(ms) h=60,659.000000,3974.600000,14572.110000,60000.000000,14222,0,0.000211
180,対照(b)-ii 薄さ合わせ,h 後の遅れ(ms) h=300,706.000000,4377.000000,15901.740000,115950.000000,14222,0,0.000000
180,対照(b)-ii 薄さ合わせ,h 後の遅れ(ms) h=900,661.500000,4115.000000,16090.950000,85138.000000,14222,0,0.000000
60,対照(a) 掃き合わせ,|c_t − S_b|(bp),0.001735,0.569427,18.816487,269.623714,11463,2766,取れなかった束 2766/14229 = 0.194392
30,対照(a) 掃き合わせ,|c_t − S_b|(bp),0.000932,0.390627,19.458713,234.728370,12695,3599,取れなかった束 3599/16294 = 0.220879
180,対照(a) 掃き合わせ,|c_t − S_b|(bp),0.003715,0.740366,21.372764,188.534525,9271,1581,取れなかった束 1581/10852 = 0.145687
