gap(秒),群,n,sweep 平均(bp),sweep 中央値(bp),sweep p10,sweep p90,sweep ≤ 0 の数,sweep が NaN の数,baseline_lag_ms 中央値,baseline_lag_ms p90,基準が直前の束の end_ms 以下の束の数,前の束から 300 秒未満の割合,前の束の間隔が NaN の数,両側混在で外れた束の割合
60,全体,21198,6.670884,0.047537,-0.015573,20.408992,6969,0,96.000000,911.000000,0,0.381786,456,—
60,SELL,12097,7.181995,0.085010,-0.015720,21.710638,3965,0,94.000000,928.000000,0,0.391870,264,—
60,BUY,9101,5.991517,0.033744,-0.015437,18.865947,3004,0,98.000000,887.000000,0,0.368392,192,—
60,束の件数 Q1(下位 3 分位),12029,0.019389,0.000000,-0.018681,0.165817,6380,0,131.000000,1043.000000,0,0.323263,311,—
60,束の件数 Q2(中位 3 分位),3906,4.871092,3.559785,-0.222118,11.917887,513,0,82.000000,820.000000,0,0.398066,80,—
60,束の件数 Q3(上位 3 分位),5263,23.209134,15.569373,4.110398,50.040488,76,0,62.000000,604.800000,0,0.501731,65,—
60,両側混在で主表から外れた束,180,—,—,—,—,—,—,—,—,—,—,—,0.008420
30,全体,25343,4.734378,0.028345,-0.016826,14.190565,9049,0,90.000000,860.000000,0,0.485916,456,—
30,SELL,14509,5.230768,0.033148,-0.017359,15.343944,5202,0,88.000000,869.200000,0,0.496174,264,—
30,BUY,10834,4.069608,0.023610,-0.016303,12.552221,3847,0,92.000000,850.400000,0,0.472186,192,—
30,束の件数 Q1(下位 3 分位),15652,0.020602,0.000000,-0.022630,0.169778,8182,0,119.000000,990.000000,0,0.418936,337,—
30,束の件数 Q2(中位 3 分位),4628,4.054020,2.896757,-0.647880,10.377670,752,0,73.000000,737.200000,0,0.542243,71,—
30,束の件数 Q3(上位 3 分位),5063,19.928671,12.830501,3.243617,43.935626,115,0,54.000000,479.600000,0,0.639282,48,—
30,両側混在で主表から外れた束,82,—,—,—,—,—,—,—,—,—,—,—,0.003225
180,全体,15143,10.780036,0.490169,0.000000,32.861356,4291,0,108.000000,983.000000,0,0.143596,456,—
180,SELL,8569,11.394760,0.924982,-0.000000,34.296204,2424,0,108.000000,997.000000,0,0.150066,266,—
180,BUY,6574,9.978763,0.245396,0.000000,31.178453,1867,0,108.000000,968.000000,0,0.135182,190,—
180,束の件数 Q1(下位 3 分位),7364,0.022317,0.000000,-0.017212,0.153491,3983,0,154.500000,1098.100000,0,0.113739,260,—
180,束の件数 Q2(中位 3 分位),2846,6.440175,4.704487,0.026336,14.727174,269,0,102.000000,948.000000,0,0.141044,88,—
180,束の件数 Q3(上位 3 分位),4933,29.342996,20.497668,5.745718,64.015236,39,0,76.000000,772.000000,0,0.189016,108,—
180,両側混在で主表から外れた束,447,—,—,—,—,—,—,—,—,—,—,—,0.028672
