区分,gap(秒),種,T(秒),量,群,n,母数,割合,p10,p50,p90,p99,最大,m の中央値,掃きの中央値,r_end(60) の中央値,m と r_end(60) の相関(束の行),m と r_end(60) の相関(日ごとの平均)
遅れ,60,清算,—,基準の遅れ(ms),全体,21198,21198,—,9.000000,96.000000,911.000000,2879.210000,31247.000000,—,—,—,—,—
遅れ,60,清算,—,終端の遅れ(ms),全体,21198,21198,—,0.000000,0.000000,170.000000,1599.270000,20469.000000,—,—,—,—,—
遅れ,60,清算,10,m の窓の遅れ(ms),全体,21198,21198,—,41.000000,462.000000,2615.000000,8717.810000,37113.000000,—,—,—,—,—
遅れ,60,清算,30,m の窓の遅れ(ms),全体,21198,21198,—,51.000000,513.000000,2979.600000,10338.750000,45010.000000,—,—,—,—,—
遅れ,60,清算,60,m の窓の遅れ(ms),全体,21198,21198,—,49.000000,528.000000,3119.000000,10749.240000,80008.000000,—,—,—,—,—
遅れ,60,清算,300,m の窓の遅れ(ms),全体,21198,21198,—,53.000000,601.000000,3714.000000,12632.690000,70041.000000,—,—,—,—,—
遅れ,60,清算,900,m の窓の遅れ(ms),全体,21198,21198,—,57.000000,628.000000,4189.300000,15076.600000,126609.000000,—,—,—,—,—
遅れ,60,清算,10,m の窓の実経過(ms),全体,21198,21198,—,9637.000000,10242.000000,12252.900000,18453.930000,46876.000000,—,—,—,—,—
遅れ,60,清算,30,m の窓の実経過(ms),全体,21198,21198,—,29667.000000,30295.000000,32622.300000,39749.930000,74825.000000,—,—,—,—,—
遅れ,60,清算,60,m の窓の実経過(ms),全体,21198,21198,—,59671.000000,60307.000000,62770.000000,70179.540000,140000.000000,—,—,—,—,—
遅れ,60,清算,300,m の窓の実経過(ms),全体,21198,21198,—,299688.700000,300366.000000,303376.000000,312150.090000,370018.000000,—,—,—,—,—
遅れ,60,清算,900,m の窓の実経過(ms),全体,21198,21198,—,899692.000000,900396.000000,903814.900000,914815.720000,1026582.000000,—,—,—,—,—
遅れ,60,清算,—,h 後の遅れ(ms) h=1,全体,21198,21198,—,16.000000,184.000000,1000.000000,1000.000000,1000.000000,—,—,—,—,—
遅れ,60,清算,—,h 後の遅れ(ms) h=5,全体,21198,21198,—,28.000000,290.500000,1704.000000,5000.000000,5000.000000,—,—,—,—,—
遅れ,60,清算,—,h 後の遅れ(ms) h=10,全体,21198,21198,—,31.000000,329.000000,1894.000000,5948.060000,10000.000000,—,—,—,—,—
遅れ,60,清算,—,h 後の遅れ(ms) h=30,全体,21198,21198,—,41.000000,391.000000,2166.500000,6911.780000,30000.000000,—,—,—,—,—
遅れ,60,清算,—,h 後の遅れ(ms) h=60,全体,21198,21198,—,42.000000,421.500000,2367.000000,8203.030000,40807.000000,—,—,—,—,—
遅れ,60,清算,—,h 後の遅れ(ms) h=300,全体,21198,21198,—,47.000000,493.000000,2940.000000,9820.990000,67630.000000,—,—,—,—,—
遅れ,60,清算,—,h 後の遅れ(ms) h=900,全体,21198,21198,—,53.000000,555.000000,3419.900000,11640.150000,71162.000000,—,—,—,—,—
欠測と内訳,60,清算,—,掃きなし(p_end = p_pre)の束,全体,4468,21198,0.210775,—,—,—,—,—,—,—,—,—,—
欠測と内訳,60,清算,—,掃きが逆(sweep < 0)の束,全体,2501,21198,0.117983,—,—,—,—,—,—,—,—,—,—
欠測と内訳,60,清算,10,m が引けない束,全体,0,21198,0.000000,—,—,—,—,—,—,—,—,—,—
欠測と内訳,60,清算,30,m が引けない束,全体,0,21198,0.000000,—,—,—,—,—,—,—,—,—,—
欠測と内訳,60,清算,60,m が引けない束,全体,0,21198,0.000000,—,—,—,—,—,—,—,—,—,—
欠測と内訳,60,清算,300,m が引けない束,全体,0,21198,0.000000,—,—,—,—,—,—,—,—,—,—
欠測と内訳,60,清算,900,m が引けない束,全体,0,21198,0.000000,—,—,—,—,—,—,—,—,—,—
欠測と内訳,60,清算,—,r_end(60) が引けない束,全体,0,21198,0.000000,—,—,—,—,—,—,—,—,—,—
T の下見,60,清算,10,m(T) の分布と r_end(60) との相関,T=10,21198,21198,0.023917,1.433528,5.752158,15.033218,—,—,—,—,—,-0.298044,-0.648210
T の下見,60,清算,30,m(T) の分布と r_end(60) との相関,T=30,21198,21198,0.009482,2.907073,9.244995,22.420486,—,—,—,—,—,-0.313212,-0.683083
T の下見,60,清算,60,m(T) の分布と r_end(60) との相関,T=60,21198,21198,0.005708,4.004566,11.795659,28.123939,—,—,—,—,—,-0.273978,-0.664448
T の下見,60,清算,300,m(T) の分布と r_end(60) との相関,T=300,21198,21198,0.013067,8.870567,23.962074,50.909753,—,—,—,—,—,-0.269709,-0.573858
T の下見,60,清算,900,m(T) の分布と r_end(60) との相関,T=900,21198,21198,0.048023,10.935797,34.453727,79.559708,—,—,—,—,—,-0.259564,-0.506612
g の分母,60,清算,60,分母(bp),全体,21198,21198,—,4.784561,15.053837,43.772343,102.351983,330.081278,—,—,—,—,—
g の分母,60,清算,60,分母 ≤ 0 の束(g を定義しない),全体,89,21198,0.004199,—,—,—,—,—,—,—,—,—,—
g の分母,60,清算,60,分母 < 1 bp の束,全体,226,21198,0.010661,—,—,—,—,—,—,—,—,—,—
g の分母,60,清算,300,分母(bp),全体,21198,21198,—,9.789683,27.713110,66.079236,139.536228,390.888933,—,—,—,—,—
g の分母,60,清算,300,分母 ≤ 0 の束(g を定義しない),全体,250,21198,0.011794,—,—,—,—,—,—,—,—,—,—
g の分母,60,清算,300,分母 < 1 bp の束,全体,280,21198,0.013209,—,—,—,—,—,—,—,—,—,—
対照 (c),60,対照(c) 前の値動き合わせ,60,|c_t − m_b|(bp),取れた束,14060,21198,—,0.001105,0.019206,0.497764,3.405932,63.650160,—,—,—,—,—
対照 (c),60,対照(c) 前の値動き合わせ,60,対照 (c) が取れなかった束,全体,7138,21198,0.336730,—,—,—,—,—,—,—,—,—,—
対照 (c),60,対照(c) 前の値動き合わせ,60,対照 (c) が取れなかった束,SELL,4199,12097,0.347111,—,—,—,—,—,—,—,—,—,—
対照 (c),60,対照(c) 前の値動き合わせ,60,対照 (c) が取れなかった束,BUY,2939,9101,0.322932,—,—,—,—,—,—,—,—,—,—
対照 (c),60,対照(c) 前の値動き合わせ,60,m の 10 分位帯ごとに取れなかった割合,"帯 1 [−∞, 4.0046)",55,2120,0.025943,—,—,—,—,—,—,—,—,—,—
対照 (c),60,対照(c) 前の値動き合わせ,60,m の 10 分位帯ごとに取れなかった割合,"帯 2 [4.0046, 6.1431)",108,2120,0.050943,—,—,—,—,—,—,—,—,—,—
対照 (c),60,対照(c) 前の値動き合わせ,60,m の 10 分位帯ごとに取れなかった割合,"帯 3 [6.1431, 7.9504)",168,2120,0.079245,—,—,—,—,—,—,—,—,—,—
対照 (c),60,対照(c) 前の値動き合わせ,60,m の 10 分位帯ごとに取れなかった割合,"帯 4 [7.9504, 9.7978)",268,2119,0.126475,—,—,—,—,—,—,—,—,—,—
対照 (c),60,対照(c) 前の値動き合わせ,60,m の 10 分位帯ごとに取れなかった割合,"帯 5 [9.7978, 11.7957)",356,2120,0.167925,—,—,—,—,—,—,—,—,—,—
対照 (c),60,対照(c) 前の値動き合わせ,60,m の 10 分位帯ごとに取れなかった割合,"帯 6 [11.7957, 14.1443)",606,2120,0.285849,—,—,—,—,—,—,—,—,—,—
