gap(秒),T(秒),h(秒),m の帯,帯の下限(bp),帯の上限(bp),帯の束数,m 平均(bp),掃き 平均(bp),n,含む日数,r_end 平均(bp),r_end 日クラスタ SE,r_end naive SE,日クラスタ/naive,r_end 日等重み平均,g 中央値(分母>0),g > 1 の割合(分母>0),0 ≤ g ≤ 1 の割合(分母>0),g < 0 の割合(分母>0),g の母数(分母>0),g 中央値(分母≥1bp),g > 1 の割合(分母≥1bp),0 ≤ g ≤ 1 の割合(分母≥1bp),g < 0 の割合(分母≥1bp),g の母数(分母≥1bp),r_end > 0 の割合,r_end > 0 の母数,前の束から T+60 秒以上 n,前の束から T+60 秒以上 r_end 平均(bp),前の束から T+60 秒以上 日クラスタ SE
60,60,60,1,−∞,4.004566,2120,2.219335,3.719563,2120,441,-3.141143,0.189873,0.181486,1.046210,-3.156887,0.353357,0.294436,0.354505,0.351059,2031,0.362231,0.286695,0.370644,0.342661,1894,0.350943,2120,1600,-2.354488,0.189561
60,60,60,2,4.004566,6.143084,2120,5.100729,3.949480,2120,435,-4.016073,0.195098,0.181312,1.076036,-3.879871,0.330736,0.246226,0.448585,0.305189,2120,0.330736,0.246226,0.448585,0.305189,2120,0.305189,2120,1663,-3.250682,0.198669
60,60,60,3,6.143084,7.950392,2120,7.058808,4.048089,2120,428,-4.490687,0.193554,0.183663,1.053852,-4.246462,0.359233,0.187736,0.524528,0.287736,2120,0.359233,0.187736,0.524528,0.287736,2120,0.287736,2120,1677,-3.884531,0.195583
60,60,60,4,7.950392,9.797829,2119,8.887448,5.004837,2119,427,-5.075435,0.227900,0.214548,1.062233,-5.015468,0.304323,0.150071,0.573384,0.276546,2119,0.304323,0.150071,0.573384,0.276546,2119,0.276546,2119,1711,-4.625424,0.237322
60,60,60,5,9.797829,11.795659,2120,10.794223,5.379742,2120,422,-5.454824,0.194966,0.207022,0.941761,-5.221935,0.282902,0.126887,0.605189,0.267925,2120,0.282902,0.126887,0.605189,0.267925,2120,0.267925,2120,1700,-5.074976,0.237230
60,60,60,6,11.795659,14.144254,2120,12.953178,6.129866,2120,406,-6.433696,0.243556,0.231697,1.051182,-6.340244,0.278397,0.100943,0.651415,0.247642,2120,0.278397,0.100943,0.651415,0.247642,2120,0.247642,2120,1767,-5.942349,0.254556
60,60,60,7,14.144254,17.099811,2119,15.556110,7.310836,2119,409,-7.139399,0.261890,0.257102,1.018624,-7.107430,0.271823,0.082586,0.678622,0.238792,2119,0.271823,0.082586,0.678622,0.238792,2119,0.238792,2119,1756,-6.369784,0.277061
60,60,60,8,17.099811,21.144332,2120,18.980473,8.582200,2120,397,-8.478068,0.278063,0.266298,1.044177,-8.217531,0.292183,0.068396,0.721226,0.210377,2120,0.292183,0.068396,0.721226,0.210377,2120,0.210377,2120,1762,-7.728400,0.293649
60,60,60,9,21.144332,28.123939,2120,24.186068,9.607448,2120,375,-9.815641,0.327985,0.288728,1.135965,-9.370516,0.259462,0.044340,0.755660,0.200000,2120,0.259462,0.044340,0.755660,0.200000,2120,0.200000,2120,1789,-8.978915,0.323435
60,60,60,10,28.123939,+∞,2120,39.008970,12.976291,2120,339,-13.958039,0.558716,0.404070,1.382718,-13.049508,0.242008,0.025943,0.770283,0.203774,2120,0.242008,0.025943,0.770283,0.203774,2120,0.203774,2120,1708,-13.222298,0.524070
60,60,300,1,−∞,4.004566,2120,2.219335,3.719563,2120,441,-4.025893,0.417479,0.412843,1.011229,-3.819384,0.742268,0.457410,0.165928,0.376662,2031,0.717744,0.453010,0.175818,0.371172,1894,0.376415,2120,1600,-2.896564,0.453921
60,60,300,2,4.004566,6.143084,2120,5.100729,3.949480,2120,435,-4.485269,0.393334,0.378195,1.040030,-4.474236,0.564680,0.395283,0.237264,0.367453,2120,0.564680,0.395283,0.237264,0.367453,2120,0.367453,2120,1663,-3.857279,0.406292
60,60,300,3,6.143084,7.950392,2120,7.058808,4.048089,2120,428,-4.963497,0.419890,0.420152,0.999376,-5.322167,0.508056,0.374528,0.276887,0.348585,2120,0.508056,0.374528,0.276887,0.348585,2120,0.348585,2120,1677,-4.251834,0.454107
60,60,300,4,7.950392,9.797829,2119,8.887448,5.004837,2119,427,-5.243858,0.467706,0.445150,1.050670,-5.584328,0.453552,0.323266,0.320906,0.355828,2119,0.453552,0.323266,0.320906,0.355828,2119,0.355828,2119,1711,-5.001055,0.457893
60,60,300,5,9.797829,11.795659,2120,10.794223,5.379742,2120,422,-5.448994,0.468329,0.456021,1.026990,-5.591098,0.364630,0.287736,0.341038,0.371226,2120,0.364630,0.287736,0.341038,0.371226,2120,0.371226,2120,1700,-4.757689,0.531450
60,60,300,6,11.795659,14.144254,2120,12.953178,6.129866,2120,406,-6.502725,0.580839,0.571159,1.016949,-6.959993,0.385902,0.260377,0.389151,0.350472,2120,0.385902,0.260377,0.389151,0.350472,2120,0.350472,2120,1767,-6.122673,0.604837
60,60,300,7,14.144254,17.099811,2119,15.556110,7.310836,2119,409,-7.144415,0.603018,0.567524,1.062541,-7.664718,0.360258,0.238320,0.416706,0.344974,2119,0.360258,0.238320,0.416706,0.344974,2119,0.344974,2119,1756,-6.455745,0.627857
60,60,300,8,17.099811,21.144332,2120,18.980473,8.582200,2120,397,-8.723487,0.537071,0.610330,0.879967,-8.872694,0.340364,0.218868,0.437264,0.343868,2120,0.340364,0.218868,0.437264,0.343868,2120,0.343868,2120,1762,-7.956796,0.591063
60,60,300,9,21.144332,28.123939,2120,24.186068,9.607448,2120,375,-9.635209,0.682676,0.757351,0.901400,-9.634022,0.300671,0.187264,0.475472,0.337264,2120,0.300671,0.187264,0.475472,0.337264,2120,0.337264,2120,1789,-9.084995,0.578928
60,60,300,10,28.123939,+∞,2120,39.008970,12.976291,2120,339,-14.531836,0.913433,0.940494,0.971227,-14.222137,0.275890,0.158019,0.509434,0.332547,2120,0.275890,0.158019,0.509434,0.332547,2120,0.332547,2120,1708,-13.293565,0.912149
60,60,900,1,−∞,4.004566,2120,2.219335,3.719563,2120,441,-4.042400,0.658372,0.643622,1.022917,-4.273532,1.083990,0.505662,0.097981,0.396356,2031,1.050242,0.503168,0.103485,0.393347,1894,0.392453,2120,1600,-2.774115,0.697467
60,60,900,2,4.004566,6.143084,2120,5.100729,3.949480,2120,435,-4.539990,0.700218,0.646065,1.083820,-4.909044,0.688360,0.453302,0.154717,0.391981,2120,0.688360,0.453302,0.154717,0.391981,2120,0.391981,2120,1663,-3.750348,0.689249
60,60,900,3,6.143084,7.950392,2120,7.058808,4.048089,2120,428,-6.676782,0.729555,0.671291,1.086794,-7.117868,0.733388,0.443868,0.179245,0.376887,2120,0.733388,0.443868,0.179245,0.376887,2120,0.376887,2120,1677,-6.036277,0.806051
60,60,900,4,7.950392,9.797829,2119,8.887448,5.004837,2119,427,-5.741697,0.730792,0.782689,0.933693,-6.945040,0.557621,0.413874,0.204342,0.381784,2119,0.557621,0.413874,0.204342,0.381784,2119,0.381784,2119,1711,-5.010465,0.840180
60,60,900,5,9.797829,11.795659,2120,10.794223,5.379742,2120,422,-5.596085,0.748117,0.767495,0.974752,-6.022011,0.484204,0.386792,0.227830,0.385377,2120,0.484204,0.386792,0.227830,0.385377,2120,0.385377,2120,1700,-5.107338,0.796314
60,60,900,6,11.795659,14.144254,2120,12.953178,6.129866,2120,406,-7.284650,0.889720,0.860039,1.034512,-8.102618,0.478962,0.373585,0.243396,0.383019,2120,0.478962,0.373585,0.243396,0.383019,2120,0.383019,2120,1767,-6.726641,0.859514
60,60,900,7,14.144254,17.099811,2119,15.556110,7.310836,2119,409,-7.697820,1.071796,0.908256,1.180060,-8.981930,0.491489,0.350165,0.282209,0.367626,2119,0.491489,0.350165,0.282209,0.367626,2119,0.367626,2119,1756,-7.261709,1.049896
60,60,900,8,17.099811,21.144332,2120,18.980473,8.582200,2120,397,-8.084729,1.054961,1.012629,1.041804,-10.068779,0.423999,0.326415,0.307547,0.366038,2120,0.423999,0.326415,0.307547,0.366038,2120,0.366038,2120,1762,-8.127514,1.002564
60,60,900,9,21.144332,28.123939,2120,24.186068,9.607448,2120,375,-10.879447,0.992698,1.063595,0.933341,-12.023713,0.416261,0.295283,0.346698,0.358019,2120,0.416261,0.295283,0.346698,0.358019,2120,0.358019,2120,1789,-9.895767,1.071352
60,60,900,10,28.123939,+∞,2120,39.008970,12.976291,2120,339,-13.761263,1.517304,1.557198,0.974381,-15.203487,0.327168,0.250000,0.365094,0.384906,2120,0.327168,0.250000,0.365094,0.384906,2120,0.384906,2120,1708,-12.729435,1.642770
60,300,60,1,−∞,8.870567,2120,0.953631,3.235781,2120,437,-3.638052,0.321233,0.214520,1.497449,-3.162090,0.179109,0.160963,0.488235,0.350802,1870,0.178056,0.154891,0.493478,0.351630,1840,0.346698,2120,1329,-2.176924,0.216288
60,300,60,2,8.870567,12.931363,2120,10.971016,3.209406,2120,440,-3.434688,0.179300,0.167678,1.069314,-3.181988,0.177276,0.073585,0.612264,0.314151,2120,0.177276,0.073585,0.612264,0.314151,2120,0.314151,2120,1486,-2.762370,0.193207
60,300,60,3,12.931363,16.633602,2120,14.796579,4.233282,2120,435,-4.172409,0.187970,0.174669,1.076151,-4.355238,0.165119,0.046698,0.662736,0.290566,2120,0.165119,0.046698,0.662736,0.290566,2120,0.290566,2120,1421,-3.498035,0.210647
60,300,60,4,16.633602,20.188306,2119,18.393097,4.857060,2119,427,-4.959614,0.205183,0.200396,1.023888,-5.214861,0.172414,0.030675,0.694667,0.274658,2119,0.172414,0.030675,0.694667,0.274658,2119,0.274658,2119,1399,-4.298084,0.228332
60,300,60,5,20.188306,23.962074,2120,22.038951,5.469336,2120,415,-5.565396,0.209448,0.205126,1.021074,-5.536041,0.165765,0.021698,0.708962,0.269340,2120,0.165765,0.021698,0.708962,0.269340,2120,0.269340,2120,1325,-4.899047,0.235297
60,300,60,6,23.962074,27.958634,2120,25.925954,7.340763,2120,406,-6.786244,0.255448,0.251175,1.017011,-6.711806,0.181210,0.012264,0.747642,0.240094,2120,0.181210,0.012264,0.747642,0.240094,2120,0.240094,2120,1251,-5.903414,0.338825
60,300,60,7,27.958634,33.085865,2119,30.455421,7.069797,2119,395,-7.255883,0.279413,0.244437,1.143088,-7.375150,0.164527,0.012742,0.747050,0.240208,2119,0.164527,0.012742,0.747050,0.240208,2119,0.240208,2119,1179,-6.275511,0.336141
60,300,60,8,33.085865,39.591484,2120,36.138209,8.118487,2120,383,-7.948647,0.277122,0.263776,1.050595,-7.941395,0.155269,0.004717,0.761321,0.233962,2120,0.155269,0.004717,0.761321,0.233962,2120,0.233962,2120,1102,-6.701117,0.337562
