掃きの群,m の群,T(秒),h(秒),群の束数,うち掃き ≤ 0 の束,m 平均(bp),掃き 平均(bp),n,含む日数,r_end 平均(bp),r_end 日クラスタ SE,r_end naive SE,日クラスタ/naive,r_end 日等重み平均,次の束が 120 秒以内の割合,次の束が 120 秒以内の母数,次の束の間隔が無い束,r_end > 0 の割合,r_end > 0 の母数,g 中央値(分母>0),g > 1 の割合(分母>0),0 ≤ g ≤ 1 の割合(分母>0),g < 0 の割合(分母>0),g の母数(分母>0),g 中央値(分母≥1bp),g > 1 の割合(分母≥1bp),0 ≤ g ≤ 1 の割合(分母≥1bp),g < 0 の割合(分母≥1bp),g の母数(分母≥1bp)
Q1(掃き ≤ 0.2009),Q1(下位 3 分位),60,60,4484,2732,5.075891,-0.021187,4484,454,-2.389159,0.105961,0.096656,1.096274,-2.338987,0.140650,4337,147,0.355486,4484,0.316527,0.267861,0.376729,0.355409,4409,0.318910,0.263675,0.384058,0.352267,4278
Q1(掃き ≤ 0.2009),Q1(下位 3 分位),60,300,4484,2732,5.075891,-0.021187,4484,454,-2.744264,0.245537,0.229818,1.068398,-2.835874,0.140650,4337,147,0.390946,4484,0.578947,0.429576,0.179633,0.390792,4409,0.573972,0.426601,0.184198,0.389201,4278
Q1(掃き ≤ 0.2009),Q1(下位 3 分位),60,900,4484,2732,5.075891,-0.021187,4484,454,-3.322015,0.468977,0.400774,1.170178,-3.844003,0.140650,4337,147,0.402988,4484,0.908257,0.486732,0.108641,0.404627,4409,0.894768,0.484572,0.111501,0.403927,4278
Q1(掃き ≤ 0.2009),Q2(中位 3 分位),60,60,3958,2300,11.885412,-0.081680,3958,438,-3.841176,0.125594,0.127652,0.983880,-3.931702,0.149184,3861,97,0.304447,3958,0.265080,0.131632,0.563921,0.304447,3958,0.265080,0.131632,0.563921,0.304447,3958
Q1(掃き ≤ 0.2009),Q2(中位 3 分位),60,300,3958,2300,11.885412,-0.081680,3958,438,-4.158890,0.295858,0.301975,0.979744,-4.426967,0.149184,3861,97,0.373674,3958,0.396400,0.310510,0.315816,0.373674,3958,0.396400,0.310510,0.315816,0.373674,3958
Q1(掃き ≤ 0.2009),Q2(中位 3 分位),60,900,3958,2300,11.885412,-0.081680,3958,438,-5.107104,0.513994,0.520531,0.987443,-5.837098,0.149184,3861,97,0.394644,3958,0.553062,0.413087,0.192269,0.394644,3958,0.553062,0.413087,0.192269,0.394644,3958
Q1(掃き ≤ 0.2009),Q3(上位 3 分位),60,60,3269,1937,25.762915,-0.300873,3269,405,-6.776667,0.250891,0.202528,1.238798,-6.326772,0.166719,3209,60,0.260324,3269,0.252855,0.064240,0.675436,0.260324,3269,0.252855,0.064240,0.675436,0.260324,3269
Q1(掃き ≤ 0.2009),Q3(上位 3 分位),60,300,3269,1937,25.762915,-0.300873,3269,405,-6.178067,0.515170,0.579162,0.889510,-5.985439,0.166719,3209,60,0.378403,3269,0.279234,0.224533,0.397063,0.378403,3269,0.279234,0.224533,0.397063,0.378403,3269
Q1(掃き ≤ 0.2009),Q3(上位 3 分位),60,900,3269,1937,25.762915,-0.300873,3269,405,-6.108041,0.797152,0.850466,0.937312,-7.464000,0.166719,3209,60,0.400122,3269,0.343980,0.313857,0.286020,0.400122,3269,0.343980,0.313857,0.286020,0.400122,3269
Q1(掃き ≤ 0.2009),Q1(下位 3 分位),300,60,4574,2776,9.660256,-0.039429,4574,455,-2.457109,0.121760,0.105234,1.157042,-2.400582,0.132473,4416,158,0.350678,4574,0.141026,0.094837,0.554469,0.350694,4397,0.140833,0.092012,0.557107,0.350881,4369
Q1(掃き ≤ 0.2009),Q1(下位 3 分位),300,300,4574,2776,9.660256,-0.039429,4574,455,-2.547229,0.248452,0.260121,0.955142,-2.786297,0.132473,4416,158,0.396808,4574,0.246812,0.238799,0.367068,0.394132,4397,0.245779,0.235981,0.369192,0.394827,4369
Q1(掃き ≤ 0.2009),Q1(下位 3 分位),300,900,4574,2776,9.660256,-0.039429,4574,455,-2.936052,0.445704,0.438793,1.015750,-3.458485,0.132473,4416,158,0.404897,4574,0.415730,0.355015,0.242211,0.402775,4397,0.409018,0.353170,0.243534,0.403296,4369
Q1(掃き ≤ 0.2009),Q2(中位 3 分位),300,60,3927,2325,23.860988,-0.113543,3927,433,-3.918296,0.128411,0.127387,1.008037,-3.944905,0.158429,3844,83,0.304558,3927,0.144299,0.019099,0.676343,0.304558,3927,0.144299,0.019099,0.676343,0.304558,3927
Q1(掃き ≤ 0.2009),Q2(中位 3 分位),300,300,3927,2325,23.860988,-0.113543,3927,433,-3.824834,0.317372,0.306857,1.034264,-4.173042,0.158429,3844,83,0.382990,3927,0.203354,0.112299,0.504711,0.382990,3927,0.203354,0.112299,0.504711,0.382990,3927
Q1(掃き ≤ 0.2009),Q2(中位 3 分位),300,900,3927,2325,23.860988,-0.113543,3927,433,-4.932302,0.579555,0.522417,1.109372,-5.786740,0.158429,3844,83,0.392412,3927,0.275952,0.239368,0.368220,0.392412,3927,0.275952,0.239368,0.368220,0.392412,3927
Q1(掃き ≤ 0.2009),Q3(上位 3 分位),300,60,3210,1868,46.848179,-0.241624,3210,390,-6.680163,0.225417,0.197634,1.140577,-6.627871,0.167461,3147,63,0.264798,3210,0.128774,0.003738,0.731464,0.264798,3210,0.128774,0.003738,0.731464,0.264798,3210
Q1(掃き ≤ 0.2009),Q3(上位 3 分位),300,300,3210,1868,46.848179,-0.241624,3210,390,-6.944274,0.541550,0.556610,0.972943,-6.938890,0.167461,3147,63,0.358255,3210,0.163450,0.057009,0.584735,0.358255,3210,0.163450,0.057009,0.584735,0.358255,3210
Q1(掃き ≤ 0.2009),Q3(上位 3 分位),300,900,3210,1868,46.848179,-0.241624,3210,390,-6.940301,0.766195,0.821367,0.932829,-7.956844,0.167461,3147,63,0.400000,3210,0.207489,0.149844,0.450156,0.400000,3210,0.207489,0.149844,0.450156,0.400000,3210
Q2(0.2009 < 掃き ≤ 8.076),Q1(下位 3 分位),60,60,1570,0,5.201901,3.201884,1570,418,-4.124509,0.199823,0.193192,1.034319,-4.138147,0.173970,1529,41,0.275159,1570,0.385363,0.228149,0.496787,0.275064,1556,0.386471,0.227742,0.498710,0.273548,1550
Q2(0.2009 < 掃き ≤ 8.076),Q1(下位 3 分位),60,300,1570,0,5.201901,3.201884,1570,418,-4.940161,0.495417,0.474155,1.044841,-4.710120,0.173970,1529,41,0.343949,1570,0.666241,0.410026,0.244859,0.345116,1556,0.669660,0.410323,0.245806,0.343871,1550
Q2(0.2009 < 掃き ≤ 8.076),Q1(下位 3 分位),60,900,1570,0,5.201901,3.201884,1570,418,-4.440273,0.812924,0.781670,1.039984,-4.491979,0.173970,1529,41,0.393631,1570,0.684560,0.451157,0.154242,0.394602,1556,0.687235,0.452258,0.154194,0.393548,1550
Q2(0.2009 < 掃き ≤ 8.076),Q2(中位 3 分位),60,60,1593,0,12.033426,3.197355,1593,391,-5.359863,0.219676,0.225388,0.974658,-5.610448,0.207933,1563,30,0.255493,1593,0.289976,0.126177,0.618330,0.255493,1593,0.289976,0.126177,0.618330,0.255493,1593
Q2(0.2009 < 掃き ≤ 8.076),Q2(中位 3 分位),60,300,1593,0,12.033426,3.197355,1593,391,-4.556737,0.562462,0.534206,1.052893,-5.843980,0.207933,1563,30,0.370998,1593,0.343975,0.274325,0.354677,0.370998,1593,0.343975,0.274325,0.354677,0.370998,1593
Q2(0.2009 < 掃き ≤ 8.076),Q2(中位 3 分位),60,900,1593,0,12.033426,3.197355,1593,391,-4.436525,0.972166,0.935956,1.038688,-6.536303,0.207933,1563,30,0.398619,1593,0.472917,0.382298,0.219083,0.398619,1593,0.472917,0.382298,0.219083,0.398619,1593
Q2(0.2009 < 掃き ≤ 8.076),Q3(上位 3 分位),60,60,1581,0,25.625930,3.426375,1581,364,-8.856455,0.332438,0.308575,1.077336,-8.411601,0.191299,1563,18,0.201139,1581,0.263106,0.062619,0.736243,0.201139,1581,0.263106,0.062619,0.736243,0.201139,1581
Q2(0.2009 < 掃き ≤ 8.076),Q3(上位 3 分位),60,300,1581,0,25.625930,3.426375,1581,364,-8.949662,0.769944,0.750116,1.026433,-9.293924,0.191299,1563,18,0.340291,1581,0.334363,0.214421,0.445288,0.340291,1581,0.334363,0.214421,0.445288,0.340291,1581
Q2(0.2009 < 掃き ≤ 8.076),Q3(上位 3 分位),60,900,1581,0,25.625930,3.426375,1581,364,-9.224210,1.136812,1.267231,0.897083,-10.955922,0.191299,1563,18,0.362429,1581,0.475806,0.327641,0.309930,0.362429,1581,0.475806,0.327641,0.309930,0.362429,1581
Q2(0.2009 < 掃き ≤ 8.076),Q1(下位 3 分位),300,60,1536,0,10.445256,3.111783,1536,414,-4.039904,0.217551,0.202035,1.076798,-3.878759,0.173244,1495,41,0.289714,1536,0.184426,0.081154,0.627767,0.291080,1491,0.184235,0.081208,0.627517,0.291275,1490
Q2(0.2009 < 掃き ≤ 8.076),Q1(下位 3 分位),300,300,1536,0,10.445256,3.111783,1536,414,-4.194496,0.491942,0.497608,0.988613,-4.449540,0.173244,1495,41,0.356771,1536,0.315693,0.231388,0.415828,0.352783,1491,0.315455,0.230872,0.416107,0.353020,1490
Q2(0.2009 < 掃き ≤ 8.076),Q1(下位 3 分位),300,900,1536,0,10.445256,3.111783,1536,414,-3.755821,0.943202,0.873126,1.080259,-3.724352,0.173244,1495,41,0.397135,1536,0.393873,0.334004,0.270959,0.395037,1491,0.391137,0.333557,0.271141,0.395302,1490
Q2(0.2009 < 掃き ≤ 8.076),Q2(中位 3 分位),300,60,1629,0,24.291522,3.302467,1629,407,-5.733507,0.224701,0.219314,1.024566,-5.713879,0.191995,1599,30,0.237569,1629,0.177373,0.018416,0.744015,0.237569,1629,0.177373,0.018416,0.744015,0.237569,1629
Q2(0.2009 < 掃き ≤ 8.076),Q2(中位 3 分位),300,300,1629,0,24.291522,3.302467,1629,407,-5.642911,0.500978,0.517668,0.967760,-6.572858,0.191995,1599,30,0.343155,1629,0.250000,0.103745,0.553100,0.343155,1629,0.250000,0.103745,0.553100,0.343155,1629
Q2(0.2009 < 掃き ≤ 8.076),Q2(中位 3 分位),300,900,1629,0,24.291522,3.302467,1629,407,-5.516762,0.968296,0.855845,1.131392,-7.367781,0.191995,1599,30,0.370780,1629,0.337209,0.238797,0.390424,0.370780,1629,0.337209,0.238797,0.390424,0.370780,1629
Q2(0.2009 < 掃き ≤ 8.076),Q3(上位 3 分位),300,60,1579,0,47.524942,3.405969,1579,343,-8.531109,0.308468,0.308910,0.998570,-8.150783,0.207559,1561,18,0.205826,1579,0.151268,0.007600,0.786574,0.205826,1579,0.151268,0.007600,0.786574,0.205826,1579
Q2(0.2009 < 掃き ≤ 8.076),Q3(上位 3 分位),300,300,1579,0,47.524942,3.405969,1579,343,-8.568272,0.694789,0.747384,0.929628,-8.834023,0.207559,1561,18,0.355921,1579,0.181603,0.059531,0.584547,0.355921,1579,0.181603,0.059531,0.584547,0.355921,1579
Q2(0.2009 < 掃き ≤ 8.076),Q3(上位 3 分位),300,900,1579,0,47.524942,3.405969,1579,343,-8.781724,1.232199,1.267347,0.972267,-10.053745,0.207559,1561,18,0.387587,1579,0.217791,0.162128,0.450285,0.387587,1579,0.217791,0.162128,0.450285,0.387587,1579
Q3(掃き > 8.076),Q1(下位 3 分位),60,60,1012,0,5.323647,22.622288,1012,355,-10.469465,0.401878,0.406456,0.988737,-10.369284,0.199195,994,18,0.177866,1012,0.346005,0.087945,0.734190,0.177866,1012,0.346005,0.087945,0.734190,0.177866,1012
Q3(掃き > 8.076),Q1(下位 3 分位),60,300,1012,0,5.323647,22.622288,1012,355,-11.861226,0.910846,0.879074,1.036143,-12.334551,0.199195,994,18,0.284585,1012,0.459086,0.262846,0.452569,0.284585,1012,0.459086,0.262846,0.452569,0.284585,1012
Q3(掃き > 8.076),Q1(下位 3 分位),60,900,1012,0,5.323647,22.622288,1012,355,-13.424078,1.405564,1.299591,1.081543,-13.961612,0.199195,994,18,0.308300,1012,0.603685,0.370553,0.321146,0.308300,1012,0.603685,0.370553,0.321146,0.308300,1012
Q3(掃き > 8.076),Q2(中位 3 分位),60,60,1515,0,12.154173,24.949659,1515,384,-12.617906,0.414119,0.384996,1.075646,-11.893839,0.205626,1493,22,0.141914,1515,0.313108,0.060726,0.797360,0.141914,1515,0.313108,0.060726,0.797360,0.141914,1515
Q3(掃き > 8.076),Q2(中位 3 分位),60,300,1515,0,12.154173,24.949659,1515,384,-12.116176,0.874437,0.893249,0.978941,-12.706285,0.205626,1493,22,0.289109,1515,0.412653,0.179538,0.531353,0.289109,1515,0.412653,0.179538,0.531353,0.289109,1515
Q3(掃き > 8.076),Q2(中位 3 分位),60,900,1515,0,12.154173,24.949659,1515,384,-12.732310,1.378564,1.307404,1.054429,-15.000333,0.205626,1493,22,0.326733,1515,0.451502,0.295050,0.378218,0.326733,1515,0.451502,0.295050,0.378218,0.326733,1515
Q3(掃き > 8.076),Q3(上位 3 分位),60,60,2216,0,27.600193,30.045714,2216,369,-16.858235,0.553047,0.385736,1.433745,-15.853714,0.225262,2193,23,0.129061,2216,0.271886,0.018051,0.852888,0.129061,2216,0.271886,0.018051,0.852888,0.129061,2216
Q3(掃き > 8.076),Q3(上位 3 分位),60,300,2216,0,27.600193,30.045714,2216,369,-18.680690,0.881899,0.841212,1.048368,-19.667569,0.225262,2193,23,0.277978,2216,0.331978,0.135379,0.586643,0.277978,2216,0.331978,0.135379,0.586643,0.277978,2216
Q3(掃き > 8.076),Q3(上位 3 分位),60,900,2216,0,27.600193,30.045714,2216,369,-18.474345,1.679572,1.417253,1.185090,-22.366308,0.225262,2193,23,0.324910,2216,0.392254,0.248195,0.426895,0.324910,2216,0.392254,0.248195,0.426895,0.324910,2216
Q3(掃き > 8.076),Q1(下位 3 分位),300,60,956,0,8.968737,22.101648,956,357,-10.059374,0.394936,0.409320,0.964859,-9.914349,0.217345,934,22,0.173640,956,0.252003,0.051724,0.775862,0.172414,928,0.251795,0.050701,0.776699,0.172600,927
Q3(掃き > 8.076),Q1(下位 3 分位),300,300,956,0,8.968737,22.101648,956,357,-9.972321,1.115861,1.116152,0.999739,-11.115536,0.217345,934,22,0.294979,956,0.327180,0.144397,0.558190,0.297414,928,0.324942,0.143474,0.558792,0.297735,927
Q3(掃き > 8.076),Q1(下位 3 分位),300,900,956,0,8.968737,22.101648,956,357,-12.098387,1.492368,1.461187,1.021339,-13.485866,0.217345,934,22,0.320084,956,0.450962,0.269397,0.412716,0.317888,928,0.449670,0.268608,0.413161,0.318231,927
Q3(掃き > 8.076),Q2(中位 3 分位),300,60,1510,0,24.533904,25.603130,1510,383,-12.421631,0.392141,0.372702,1.052157,-11.937467,0.200134,1494,16,0.148344,1510,0.219365,0.013245,0.838411,0.148344,1510,0.219365,0.013245,0.838411,0.148344,1510
Q3(掃き > 8.076),Q2(中位 3 分位),300,300,1510,0,24.533904,25.603130,1510,383,-13.799843,0.820452,0.760335,1.079067,-13.230103,0.200134,1494,16,0.271523,1510,0.307566,0.084106,0.644371,0.271523,1510,0.307566,0.084106,0.644371,0.271523,1510
Q3(掃き > 8.076),Q2(中位 3 分位),300,900,1510,0,24.533904,25.603130,1510,383,-15.076618,1.212581,1.249998,0.970067,-14.897351,0.200134,1494,16,0.309272,1510,0.355157,0.166887,0.523841,0.309272,1510,0.355157,0.166887,0.523841,0.309272,1510
Q3(掃き > 8.076),Q3(上位 3 分位),300,60,2277,0,52.831733,29.637194,2277,357,-16.994137,0.539065,0.384074,1.403546,-15.684678,0.220693,2252,25,0.127800,2277,0.190904,0.002635,0.869565,0.127800,2277,0.190904,0.002635,0.869565,0.127800,2277
Q3(掃き > 8.076),Q3(上位 3 分位),300,300,2277,0,52.831733,29.637194,2277,357,-18.175088,0.859476,0.838387,1.025154,-18.640540,0.220693,2252,25,0.285463,2277,0.229494,0.038208,0.676329,0.285463,2277,0.229494,0.038208,0.676329,0.285463,2277
Q3(掃き > 8.076),Q3(上位 3 分位),300,900,2277,0,52.831733,29.637194,2277,357,-17.339488,1.595842,1.390117,1.147991,-20.934635,0.220693,2252,25,0.331137,2277,0.283228,0.122969,0.545894,0.331137,2277,0.283228,0.122969,0.545894,0.331137,2277
