種,T(秒),h(秒),m の帯,帯の下限(bp),帯の上限(bp),帯の行数,c_t 平均(bp),n,含む日数,r_end 平均(bp),r_end 日クラスタ SE,r_end naive SE,日クラスタ/naive,r_end 日等重み平均,g 中央値(分母>0),g > 1 の割合(分母>0),0 ≤ g ≤ 1 の割合(分母>0),g < 0 の割合(分母>0),g の母数(分母>0),g 中央値(分母≥1bp),g > 1 の割合(分母≥1bp),0 ≤ g ≤ 1 の割合(分母≥1bp),g < 0 の割合(分母≥1bp),g の母数(分母≥1bp),r_end > 0 の割合,r_end > 0 の母数
対照(c) 前の値動き合わせ,60,60,1,−∞,4.004566,2065,2.237549,2065,439,0.154943,0.092906,0.092574,1.003588,0.318586,-0.048035,0.197009,0.280557,0.522434,1939,-0.025532,0.182703,0.298969,0.518328,1746,0.518644,2065
対照(c) 前の値動き合わせ,60,300,1,−∞,4.004566,2065,2.237549,2065,439,-0.129904,0.172765,0.184339,0.937211,0.111987,0.000000,0.358948,0.143373,0.497679,1939,-0.008977,0.345361,0.154066,0.500573,1746,0.499274,2065
対照(c) 前の値動き合わせ,60,900,1,−∞,4.004566,2065,2.237549,2065,439,-0.532285,0.295373,0.307437,0.960758,-0.651888,0.188034,0.430634,0.085611,0.483755,1939,0.166011,0.423253,0.092784,0.483963,1746,0.485230,2065
対照(c) 前の値動き合わせ,60,60,2,4.004566,6.143084,2012,5.089226,2012,434,-0.220918,0.106198,0.104940,1.011983,-0.195351,0.000000,0.112326,0.410537,0.477137,2012,0.000000,0.112326,0.410537,0.477137,2012,0.477137,2012
対照(c) 前の値動き合わせ,60,300,2,4.004566,6.143084,2012,5.089226,2012,434,-0.681075,0.216160,0.219920,0.982900,-0.661191,0.063719,0.285785,0.237575,0.476640,2012,0.063719,0.285785,0.237575,0.476640,2012,0.476640,2012
対照(c) 前の値動き合わせ,60,900,2,4.004566,6.143084,2012,5.089226,2012,434,-0.616400,0.362803,0.344762,1.052329,-0.637775,0.047612,0.351392,0.156561,0.492048,2012,0.047612,0.351392,0.156561,0.492048,2012,0.492048,2012
対照(c) 前の値動き合わせ,60,60,3,6.143084,7.950392,1952,7.048475,1952,427,-0.317704,0.120096,0.113114,1.061720,-0.244293,0.002809,0.084016,0.436988,0.478996,1952,0.002809,0.084016,0.436988,0.478996,1952,0.478996,1952
対照(c) 前の値動き合わせ,60,300,3,6.143084,7.950392,1952,7.048475,1952,427,-1.298024,0.230192,0.224641,1.024710,-1.260274,0.114083,0.253074,0.289447,0.457480,1952,0.114083,0.253074,0.289447,0.457480,1952,0.457480,1952
対照(c) 前の値動き合わせ,60,900,3,6.143084,7.950392,1952,7.048475,1952,427,-1.286813,0.353739,0.353423,1.000894,-1.318449,0.164152,0.324283,0.213115,0.462602,1952,0.164152,0.324283,0.213115,0.462602,1952,0.462602,1952
対照(c) 前の値動き合わせ,60,60,4,7.950392,9.797829,1851,8.867971,1851,423,-0.850369,0.123197,0.126754,0.971933,-0.710182,0.081081,0.055646,0.513236,0.431118,1851,0.081081,0.055646,0.513236,0.431118,1851,0.431118,1851
対照(c) 前の値動き合わせ,60,300,4,7.950392,9.797829,1851,8.867971,1851,423,-1.788018,0.237689,0.240894,0.986696,-1.642783,0.169261,0.221502,0.333333,0.445165,1851,0.169261,0.221502,0.333333,0.445165,1851,0.445165,1851
対照(c) 前の値動き合わせ,60,900,4,7.950392,9.797829,1851,8.867971,1851,423,-2.520844,0.361944,0.386651,0.936100,-2.048209,0.286275,0.334414,0.234468,0.431118,1851,0.286275,0.334414,0.234468,0.431118,1851,0.431118,1851
対照(c) 前の値動き合わせ,60,60,5,9.797829,11.795659,1764,10.757324,1764,420,-0.965801,0.134696,0.148299,0.908271,-0.959644,0.065968,0.050454,0.523243,0.426304,1764,0.065968,0.050454,0.523243,0.426304,1764,0.426304,1764
対照(c) 前の値動き合わせ,60,300,5,9.797829,11.795659,1764,10.757324,1764,420,-2.195007,0.289210,0.283870,1.018811,-2.131559,0.181146,0.199546,0.380952,0.419501,1764,0.181146,0.199546,0.380952,0.419501,1764,0.419501,1764
対照(c) 前の値動き合わせ,60,900,5,9.797829,11.795659,1764,10.757324,1764,420,-2.734590,0.442871,0.447245,0.990220,-2.836431,0.271277,0.298753,0.277778,0.423469,1764,0.271277,0.298753,0.277778,0.423469,1764,0.423469,1764
対照(c) 前の値動き合わせ,60,60,6,11.795659,14.144254,1514,12.874818,1514,393,-1.271536,0.159849,0.164574,0.971292,-1.448552,0.078731,0.036328,0.544254,0.419419,1514,0.078731,0.036328,0.544254,0.419419,1514,0.419419,1514
対照(c) 前の値動き合わせ,60,300,6,11.795659,14.144254,1514,12.874818,1514,393,-2.119251,0.330414,0.329522,1.002707,-2.289165,0.111112,0.171070,0.377807,0.451123,1514,0.111112,0.171070,0.377807,0.451123,1514,0.451123,1514
対照(c) 前の値動き合わせ,60,900,6,11.795659,14.144254,1514,12.874818,1514,393,-2.413915,0.515531,0.500241,1.030567,-2.557564,0.138616,0.278732,0.270806,0.450462,1514,0.138616,0.278732,0.270806,0.450462,1514,0.450462,1514
対照(c) 前の値動き合わせ,60,60,7,14.144254,17.099811,1224,15.435573,1224,373,-1.595187,0.209643,0.200390,1.046177,-1.704222,0.096244,0.026144,0.570261,0.403595,1224,0.096244,0.026144,0.570261,0.403595,1224,0.403595,1224
対照(c) 前の値動き合わせ,60,300,7,14.144254,17.099811,1224,15.435573,1224,373,-3.125266,0.375403,0.369066,1.017169,-3.660943,0.206089,0.156046,0.446895,0.397059,1224,0.206089,0.156046,0.446895,0.397059,1224,0.397059,1224
対照(c) 前の値動き合わせ,60,900,7,14.144254,17.099811,1224,15.435573,1224,373,-3.891309,0.505860,0.553803,0.913429,-4.343985,0.282402,0.272059,0.309641,0.418301,1224,0.282402,0.272059,0.309641,0.418301,1224,0.418301,1224
対照(c) 前の値動き合わせ,60,60,8,17.099811,21.144332,896,18.742436,896,322,-2.326403,0.266484,0.279947,0.951910,-2.074135,0.090484,0.023438,0.590402,0.386161,896,0.090484,0.023438,0.590402,0.386161,896,0.386161,896
対照(c) 前の値動き合わせ,60,300,8,17.099811,21.144332,896,18.742436,896,322,-3.690263,0.477562,0.489035,0.976539,-3.476850,0.188875,0.145089,0.464286,0.390625,896,0.188875,0.145089,0.464286,0.390625,896,0.390625,896
対照(c) 前の値動き合わせ,60,900,8,17.099811,21.144332,896,18.742436,896,322,-3.127778,0.834392,0.801279,1.041326,-2.774672,0.177207,0.233259,0.316964,0.449777,896,0.177207,0.233259,0.316964,0.449777,896,0.449777,896
対照(c) 前の値動き合わせ,60,60,9,21.144332,28.123939,564,23.678649,564,240,-1.970317,0.410090,0.394901,1.038462,-1.835881,0.098282,0.012411,0.586879,0.400709,564,0.098282,0.012411,0.586879,0.400709,564,0.400709,564
対照(c) 前の値動き合わせ,60,300,9,21.144332,28.123939,564,23.678649,564,240,-3.952857,0.742198,0.735524,1.009074,-3.921245,0.213892,0.113475,0.514184,0.372340,564,0.213892,0.113475,0.514184,0.372340,564,0.372340,564
対照(c) 前の値動き合わせ,60,900,9,21.144332,28.123939,564,23.678649,564,240,-5.321311,1.042798,1.090401,0.956344,-5.142249,0.278777,0.221631,0.406028,0.372340,564,0.278777,0.221631,0.406028,0.372340,564,0.372340,564
対照(c) 前の値動き合わせ,60,60,10,28.123939,+∞,218,33.406029,218,119,-2.135853,1.077004,1.096279,0.982418,-2.449480,0.120421,0.000000,0.674312,0.325688,218,0.120421,0.000000,0.674312,0.325688,218,0.325688,218
対照(c) 前の値動き合わせ,60,300,10,28.123939,+∞,218,33.406029,218,119,-0.909733,3.566382,3.539719,1.007533,3.258192,0.136923,0.055046,0.577982,0.366972,218,0.136923,0.055046,0.577982,0.366972,218,0.366972,218
対照(c) 前の値動き合わせ,60,900,10,28.123939,+∞,218,33.406029,218,119,-3.615511,2.368552,2.512478,0.942716,-0.993612,0.234755,0.155963,0.472477,0.371560,218,0.234755,0.155963,0.472477,0.371560,218,0.371560,218
対照(c) 前の値動き合わせ,300,60,1,−∞,8.870567,1989,3.897919,1989,437,-0.117094,0.102289,0.099590,1.027098,-0.225763,0.000000,0.087275,0.453266,0.459459,1776,0.000000,0.082806,0.458884,0.458309,1739,0.475616,1989
対照(c) 前の値動き合わせ,300,300,1,−∞,8.870567,1989,3.897919,1989,437,-0.454866,0.212106,0.191871,1.105459,-0.423159,0.065824,0.230856,0.295045,0.474099,1776,0.063830,0.225417,0.299597,0.474986,1739,0.492207,1989
対照(c) 前の値動き合わせ,300,900,1,−∞,8.870567,1989,3.897919,1989,437,-0.714666,0.361629,0.329776,1.096590,-0.945202,0.135074,0.331081,0.199887,0.469032,1776,0.136364,0.328350,0.204140,0.467510,1739,0.480141,1989
対照(c) 前の値動き合わせ,300,60,2,8.870567,12.931363,1985,10.947141,1985,437,-0.730786,0.100178,0.100655,0.995258,-0.761695,0.024306,0.021159,0.553149,0.425693,1985,0.024306,0.021159,0.553149,0.425693,1985,0.425693,1985
対照(c) 前の値動き合わせ,300,300,2,8.870567,12.931363,1985,10.947141,1985,437,-1.546078,0.188181,0.183606,1.024918,-1.445351,0.110285,0.113854,0.452897,0.433249,1985,0.110285,0.113854,0.452897,0.433249,1985,0.433249,1985
対照(c) 前の値動き合わせ,300,900,2,8.870567,12.931363,1985,10.947141,1985,437,-2.413600,0.324950,0.309909,1.048536,-2.152851,0.208914,0.245844,0.326448,0.427708,1985,0.208914,0.245844,0.326448,0.427708,1985,0.427708,1985
対照(c) 前の値動き合わせ,300,60,3,12.931363,16.633602,1859,14.737114,1859,432,-1.321322,0.113592,0.116550,0.974621,-1.333344,0.072706,0.012910,0.615923,0.371167,1859,0.072706,0.012910,0.615923,0.371167,1859,0.371167,1859
対照(c) 前の値動き合わせ,300,300,3,12.931363,16.633602,1859,14.737114,1859,432,-2.679302,0.218317,0.212589,1.026943,-2.463183,0.173554,0.083378,0.543303,0.373319,1859,0.173554,0.083378,0.543303,0.373319,1859,0.373319,1859
対照(c) 前の値動き合わせ,300,900,3,12.931363,16.633602,1859,14.737114,1859,432,-3.813200,0.334135,0.350708,0.952744,-3.706356,0.237037,0.221625,0.386767,0.391608,1859,0.237037,0.221625,0.386767,0.391608,1859,0.391608,1859
対照(c) 前の値動き合わせ,300,60,4,16.633602,20.188306,1592,18.287636,1592,409,-1.955613,0.133068,0.134601,0.988609,-1.920278,0.088772,0.008166,0.643844,0.347990,1592,0.088772,0.008166,0.643844,0.347990,1592,0.347990,1592
対照(c) 前の値動き合わせ,300,300,4,16.633602,20.188306,1592,18.287636,1592,409,-3.765288,0.256686,0.247216,1.038303,-3.756850,0.208850,0.065955,0.597362,0.336683,1592,0.208850,0.065955,0.597362,0.336683,1592,0.336683,1592
対照(c) 前の値動き合わせ,300,900,4,16.633602,20.188306,1592,18.287636,1592,409,-4.624550,0.419842,0.412952,1.016685,-4.229166,0.250417,0.190327,0.425879,0.383794,1592,0.250417,0.190327,0.425879,0.383794,1592,0.383794,1592
対照(c) 前の値動き合わせ,300,60,5,20.188306,23.962074,1292,21.948693,1292,379,-2.378758,0.168255,0.164525,1.022669,-2.393171,0.093776,0.003096,0.668731,0.328173,1292,0.093776,0.003096,0.668731,0.328173,1292,0.328173,1292
対照(c) 前の値動き合わせ,300,300,5,20.188306,23.962074,1292,21.948693,1292,379,-3.874054,0.316147,0.303290,1.042392,-3.888152,0.152118,0.052632,0.589009,0.358359,1292,0.152118,0.052632,0.589009,0.358359,1292,0.358359,1292
対照(c) 前の値動き合わせ,300,900,5,20.188306,23.962074,1292,21.948693,1292,379,-5.406699,0.469574,0.477732,0.982922,-5.329861,0.232131,0.158669,0.459752,0.381579,1292,0.232131,0.158669,0.459752,0.381579,1292,0.381579,1292
対照(c) 前の値動き合わせ,300,60,6,23.962074,27.958634,948,25.713702,948,343,-2.035416,0.225178,0.220717,1.020211,-1.921177,0.074602,0.004219,0.640295,0.355485,948,0.074602,0.004219,0.640295,0.355485,948,0.355485,948
対照(c) 前の値動き合わせ,300,300,6,23.962074,27.958634,948,25.713702,948,343,-3.781604,0.342621,0.353898,0.968133,-3.739697,0.154482,0.022152,0.621308,0.356540,948,0.154482,0.022152,0.621308,0.356540,948,0.356540,948
対照(c) 前の値動き合わせ,300,900,6,23.962074,27.958634,948,25.713702,948,343,-5.857730,0.595277,0.589785,1.009312,-6.103277,0.197906,0.133966,0.497890,0.368143,948,0.197906,0.133966,0.497890,0.368143,948,0.368143,948
対照(c) 前の値動き合わせ,300,60,7,27.958634,33.085865,656,30.183407,656,281,-3.029523,0.317704,0.284870,1.115261,-3.025655,0.091922,0.001524,0.653963,0.344512,656,0.091922,0.001524,0.653963,0.344512,656,0.344512,656
対照(c) 前の値動き合わせ,300,300,7,27.958634,33.085865,656,30.183407,656,281,-5.618135,0.532774,0.500602,1.064267,-5.335645,0.181116,0.033537,0.637195,0.329268,656,0.181116,0.033537,0.637195,0.329268,656,0.329268,656
対照(c) 前の値動き合わせ,300,900,7,27.958634,33.085865,656,30.183407,656,281,-6.863606,0.789849,0.785712,1.005265,-6.849516,0.226087,0.117378,0.521341,0.361280,656,0.226087,0.117378,0.521341,0.361280,656,0.361280,656
対照(c) 前の値動き合わせ,300,60,8,33.085865,39.591484,402,35.611566,402,203,-3.318168,0.410366,0.399904,1.026160,-3.304648,0.091250,0.000000,0.691542,0.308458,402,0.091250,0.000000,0.691542,0.308458,402,0.308458,402
対照(c) 前の値動き合わせ,300,300,8,33.085865,39.591484,402,35.611566,402,203,-4.780326,0.731395,0.676977,1.080384,-4.282857,0.099179,0.017413,0.624378,0.358209,402,0.099179,0.017413,0.624378,0.358209,402,0.358209,402
対照(c) 前の値動き合わせ,300,900,8,33.085865,39.591484,402,35.611566,402,203,-6.803149,1.112021,1.082556,1.027218,-6.834132,0.207118,0.079602,0.539801,0.380597,402,0.207118,0.079602,0.539801,0.380597,402,0.380597,402
対照(c) 前の値動き合わせ,300,60,9,39.591484,50.909753,245,43.703338,245,141,-3.641352,0.778870,0.742644,1.048780,-3.572168,0.085343,0.004082,0.640816,0.355102,245,0.085343,0.004082,0.640816,0.355102,245,0.355102,245
対照(c) 前の値動き合わせ,300,300,9,39.591484,50.909753,245,43.703338,245,141,-5.803089,1.198050,1.137155,1.053550,-5.177066,0.128806,0.020408,0.604082,0.375510,245,0.128806,0.020408,0.604082,0.375510,245,0.375510,245
対照(c) 前の値動き合わせ,300,900,9,39.591484,50.909753,245,43.703338,245,141,-5.144239,1.864487,1.698937,1.097443,-5.236377,0.132738,0.069388,0.506122,0.424490,245,0.132738,0.069388,0.506122,0.424490,245,0.424490,245
対照(c) 前の値動き合わせ,300,60,10,50.909753,+∞,67,60.609881,67,46,-2.925747,2.291966,2.373159,0.965787,-1.224443,0.077598,0.000000,0.671642,0.328358,67,0.077598,0.000000,0.671642,0.328358,67,0.328358,67
対照(c) 前の値動き合わせ,300,300,10,50.909753,+∞,67,60.609881,67,46,1.779400,6.305636,6.399401,0.985348,4.599464,0.046998,0.000000,0.552239,0.447761,67,0.046998,0.000000,0.552239,0.447761,67,0.447761,67
対照(c) 前の値動き合わせ,300,900,10,50.909753,+∞,67,60.609881,67,46,-10.300439,3.179642,3.400070,0.935170,-11.060004,0.147442,0.044776,0.597015,0.358209,67,0.147442,0.044776,0.597015,0.358209,67,0.358209,67
