日の束数の群,日の束数 下限,日の束数 上限,m の群,T(秒),h(秒),群の束数,日の束数 平均,n,含む日数,r_end 平均(bp),r_end 日クラスタ SE,r_end naive SE,日クラスタ/naive,r_end 日等重み平均,次の束が 120 秒以内の割合,次の束が 120 秒以内の母数,次の束の間隔が無い束,r_end > 0 の割合,r_end > 0 の母数,g 中央値(分母>0),g > 1 の割合(分母>0),0 ≤ g ≤ 1 の割合(分母>0),g < 0 の割合(分母>0),g の母数(分母>0),g 中央値(分母≥1bp),g > 1 の割合(分母≥1bp),0 ≤ g ≤ 1 の割合(分母≥1bp),g < 0 の割合(分母≥1bp),g の母数(分母≥1bp)
Q1(下位 3 分位),,47.000000,Q1(下位 3 分位),60,60,3179,32.158540,3179,264,-3.203746,0.126291,0.121926,1.035808,-3.150254,0.132218,3048,131,0.303555,3179,0.321839,0.204524,0.492195,0.303281,3139,0.325032,0.200587,0.499674,0.299739,3066
Q1(下位 3 分位),,47.000000,Q1(下位 3 分位),60,300,3179,32.158540,3179,264,-4.205991,0.269208,0.255584,1.053304,-4.415031,0.132218,3048,131,0.338157,3179,0.601695,0.394393,0.268875,0.336731,3139,0.600411,0.391389,0.274299,0.334312,3066
Q1(下位 3 分位),,47.000000,Q1(下位 3 分位),60,900,3179,32.158540,3179,264,-5.181513,0.472225,0.400613,1.178756,-6.114708,0.132218,3048,131,0.357974,3179,0.898466,0.479133,0.162472,0.358394,3139,0.880493,0.476190,0.165688,0.358121,3066
Q1(下位 3 分位),,47.000000,Q2(中位 3 分位),60,60,2493,34.025672,2493,254,-5.434664,0.185899,0.164438,1.130505,-5.514803,0.143745,2414,79,0.227437,2493,0.287746,0.092258,0.680305,0.227437,2493,0.287746,0.092258,0.680305,0.227437,2493
Q1(下位 3 分位),,47.000000,Q2(中位 3 分位),60,300,2493,34.025672,2493,254,-6.342173,0.352465,0.351027,1.004096,-6.901568,0.143745,2414,79,0.311272,2493,0.436458,0.254312,0.434416,0.311272,2493,0.436458,0.254312,0.434416,0.311272,2493
Q1(下位 3 分位),,47.000000,Q2(中位 3 分位),60,900,2493,34.025672,2493,254,-8.046787,0.596756,0.533836,1.117865,-9.023377,0.143745,2414,79,0.333333,2493,0.590580,0.384677,0.281990,0.333333,2493,0.590580,0.384677,0.281990,0.333333,2493
Q1(下位 3 分位),,47.000000,Q3(上位 3 分位),60,60,1648,35.003641,1648,237,-9.542381,0.392384,0.283010,1.386466,-9.150344,0.156838,1594,54,0.159587,1648,0.269224,0.038228,0.802184,0.159587,1648,0.269224,0.038228,0.802184,0.159587,1648
Q1(下位 3 分位),,47.000000,Q3(上位 3 分位),60,300,1648,35.003641,1648,237,-11.170149,0.684712,0.595722,1.149382,-11.025107,0.156838,1594,54,0.282767,1648,0.347878,0.166262,0.550971,0.282767,1648,0.347878,0.166262,0.550971,0.282767,1648
Q1(下位 3 分位),,47.000000,Q3(上位 3 分位),60,900,1648,35.003641,1648,237,-12.839654,0.814924,0.863677,0.943552,-13.785126,0.156838,1594,54,0.309466,1648,0.469587,0.287621,0.402913,0.309466,1648,0.469587,0.287621,0.402913,0.309466,1648
Q2(中位 3 分位),47.000000,70.000000,Q1(下位 3 分位),60,60,2296,56.662892,2296,124,-3.784738,0.180504,0.176857,1.020626,-3.827183,0.163320,2241,55,0.332753,2296,0.316527,0.239771,0.428509,0.331720,2273,0.316327,0.236689,0.433557,0.329754,2235
Q2(中位 3 分位),47.000000,70.000000,Q1(下位 3 分位),60,300,2296,56.662892,2296,124,-4.052759,0.434437,0.406348,1.069127,-3.929688,0.163320,2241,55,0.378920,2296,0.543860,0.400792,0.220414,0.378795,2273,0.543860,0.399105,0.224161,0.376734,2235
Q2(中位 3 分位),47.000000,70.000000,Q1(下位 3 分位),60,900,2296,56.662892,2296,124,-4.590383,0.848582,0.637134,1.331873,-4.739707,0.163320,2241,55,0.397648,2296,0.706349,0.454905,0.146502,0.398592,2273,0.690184,0.453691,0.148993,0.397315,2235
Q2(中位 3 分位),47.000000,70.000000,Q2(中位 3 分位),60,60,2490,56.952610,2490,124,-5.873050,0.246606,0.213013,1.157709,-5.899634,0.164490,2450,40,0.263855,2490,0.277311,0.108835,0.627309,0.263855,2490,0.277311,0.108835,0.627309,0.263855,2490
Q2(中位 3 分位),47.000000,70.000000,Q2(中位 3 分位),60,300,2490,56.952610,2490,124,-5.890456,0.473283,0.434424,1.089448,-5.819935,0.164490,2450,40,0.364659,2490,0.372001,0.276305,0.359036,0.364659,2490,0.372001,0.276305,0.359036,0.364659,2490
Q2(中位 3 分位),47.000000,70.000000,Q2(中位 3 分位),60,900,2490,56.952610,2490,124,-6.888514,0.763285,0.702274,1.086877,-6.681243,0.164490,2450,40,0.391566,2490,0.483813,0.381928,0.226506,0.391566,2490,0.483813,0.381928,0.226506,0.391566,2490
Q2(中位 3 分位),47.000000,70.000000,Q3(上位 3 分位),60,60,2189,57.208314,2189,124,-9.627072,0.432619,0.278669,1.552450,-9.381277,0.170370,2160,29,0.209228,2189,0.262483,0.040658,0.750114,0.209228,2189,0.262483,0.040658,0.750114,0.209228,2189
Q2(中位 3 分位),47.000000,70.000000,Q3(上位 3 分位),60,300,2189,57.208314,2189,124,-10.297367,0.748361,0.640538,1.168331,-10.131567,0.170370,2160,29,0.340795,2189,0.314759,0.187300,0.471905,0.340795,2189,0.314759,0.187300,0.471905,0.340795,2189
Q2(中位 3 分位),47.000000,70.000000,Q3(上位 3 分位),60,900,2189,57.208314,2189,124,-12.415143,1.169179,0.963363,1.213644,-12.403687,0.170370,2160,29,0.355413,2189,0.437532,0.296482,0.348104,0.355413,2189,0.437532,0.296482,0.348104,0.355413,2189
Q3(上位 3 分位),70.000000,,Q1(下位 3 分位),60,60,1591,101.365808,1591,68,-5.599687,0.293808,0.267945,1.096522,-5.716397,0.194144,1571,20,0.299811,1591,0.407273,0.279872,0.420447,0.299681,1565,0.408223,0.276803,0.427550,0.295647,1539
Q3(上位 3 分位),70.000000,,Q1(下位 3 分位),60,300,1591,101.365808,1591,68,-5.901267,0.626479,0.610049,1.026932,-5.993958,0.194144,1571,20,0.399749,1591,0.480000,0.414696,0.182748,0.402556,1565,0.476744,0.412606,0.185185,0.402209,1539
Q3(上位 3 分位),70.000000,,Q1(下位 3 分位),60,900,1591,101.365808,1591,68,-5.305318,1.159747,1.049420,1.105131,-5.174309,0.194144,1571,20,0.431175,1591,0.494975,0.437700,0.128435,0.433866,1565,0.506399,0.438596,0.129955,0.431449,1539
Q3(上位 3 分位),70.000000,,Q2(中位 3 分位),60,60,2083,106.387422,2083,68,-7.050049,0.285504,0.286974,0.994879,-7.046612,0.223088,2053,30,0.289486,2083,0.292711,0.150264,0.560250,0.289486,2083,0.292711,0.150264,0.560250,0.289486,2083
Q3(上位 3 分位),70.000000,,Q2(中位 3 分位),60,300,2083,106.387422,2083,68,-5.567692,0.630506,0.699140,0.901830,-5.644935,0.223088,2053,30,0.395583,2083,0.322368,0.295727,0.308689,0.395583,2083,0.322368,0.295727,0.308689,0.395583,2083
Q3(上位 3 分位),70.000000,,Q2(中位 3 分位),60,900,2083,106.387422,2083,68,-4.492420,1.111824,1.138148,0.976871,-5.108668,0.223088,2053,30,0.425348,2083,0.363179,0.374940,0.199712,0.425348,2083,0.363179,0.374940,0.199712,0.425348,2083
Q3(上位 3 分位),70.000000,,Q3(上位 3 分位),60,60,3229,119.550015,3229,68,-11.369874,0.534393,0.301998,1.769526,-10.941428,0.221115,3211,18,0.227315,3229,0.256612,0.061010,0.711675,0.227315,3229,0.256612,0.061010,0.711675,0.227315,3229
Q3(上位 3 分位),70.000000,,Q3(上位 3 分位),60,300,3229,119.550015,3229,68,-10.775033,0.588562,0.742501,0.792675,-10.551923,0.221115,3211,18,0.365129,3229,0.290323,0.213379,0.421493,0.365129,3229,0.290323,0.213379,0.421493,0.365129,3229
Q3(上位 3 分位),70.000000,,Q3(上位 3 分位),60,900,3229,119.550015,3229,68,-8.409201,1.198057,1.211744,0.988705,-8.289618,0.221115,3211,18,0.406627,3229,0.309051,0.300712,0.292660,0.406627,3229,0.309051,0.300712,0.292660,0.406627,3229
