属性,群,下限,上限,m の群,T(秒),h(秒),群の束数,属性が欠測で群に入らない束の割合,n,含む日数,r_end 平均(bp),r_end 日クラスタ SE,r_end naive SE,日クラスタ/naive,r_end 日等重み平均,次の束が 120 秒以内の割合,次の束が 120 秒以内の母数,次の束の間隔が無い束,r_end > 0 の割合,r_end > 0 の母数
bundle_n_events_dedup,Q1(下位 3 分位),,1.000000,Q1(下位 3 分位),60,60,4661,0.000000,4661,454,-2.361579,0.105832,0.096071,1.101600,-2.257208,0.139308,4508,153,0.357005,4661
bundle_n_events_dedup,Q1(下位 3 分位),,1.000000,Q1(下位 3 分位),60,300,4661,0.000000,4661,454,-2.732023,0.229536,0.225648,1.017230,-2.797430,0.139308,4508,153,0.392191,4661
bundle_n_events_dedup,Q1(下位 3 分位),,1.000000,Q1(下位 3 分位),60,900,4661,0.000000,4661,454,-3.392628,0.451405,0.394306,1.144809,-3.828578,0.139308,4508,153,0.403776,4661
bundle_n_events_dedup,Q1(下位 3 分位),,1.000000,Q2(中位 3 分位),60,60,4072,0.000000,4072,435,-3.747735,0.123899,0.126944,0.976015,-3.775777,0.150554,3972,100,0.309430,4072
bundle_n_events_dedup,Q1(下位 3 分位),,1.000000,Q2(中位 3 分位),60,300,4072,0.000000,4072,435,-4.018031,0.290544,0.299491,0.970125,-4.254406,0.150554,3972,100,0.378929,4072
bundle_n_events_dedup,Q1(下位 3 分位),,1.000000,Q2(中位 3 分位),60,900,4072,0.000000,4072,435,-4.943692,0.500937,0.511788,0.978798,-5.443642,0.150554,3972,100,0.400295,4072
bundle_n_events_dedup,Q1(下位 3 分位),,1.000000,Q3(上位 3 分位),60,60,3296,0.000000,3296,399,-6.523245,0.257994,0.206126,1.251628,-5.874033,0.166461,3244,52,0.271238,3296
bundle_n_events_dedup,Q1(下位 3 分位),,1.000000,Q3(上位 3 分位),60,300,3296,0.000000,3296,399,-6.402341,0.542054,0.585305,0.926106,-6.012367,0.166461,3244,52,0.379854,3296
bundle_n_events_dedup,Q1(下位 3 分位),,1.000000,Q3(上位 3 分位),60,900,3296,0.000000,3296,399,-6.103386,0.789191,0.868436,0.908750,-6.966322,0.166461,3244,52,0.405340,3296
bundle_n_events_dedup,Q2(中位 3 分位),1.000000,2.000000,Q1(下位 3 分位),60,60,1167,0.000000,1167,398,-4.120386,0.255103,0.230085,1.108732,-4.093738,0.177914,1141,26,0.275064,1167
bundle_n_events_dedup,Q2(中位 3 分位),1.000000,2.000000,Q1(下位 3 分位),60,300,1167,0.000000,1167,398,-4.931683,0.596085,0.554671,1.074664,-4.926390,0.177914,1141,26,0.349614,1167
bundle_n_events_dedup,Q2(中位 3 分位),1.000000,2.000000,Q1(下位 3 分位),60,900,1167,0.000000,1167,398,-5.009374,1.031468,0.921286,1.119596,-5.754002,0.177914,1141,26,0.383033,1167
bundle_n_events_dedup,Q2(中位 3 分位),1.000000,2.000000,Q2(中位 3 分位),60,60,1318,0.000000,1318,386,-5.557318,0.245977,0.248748,0.988860,-5.586571,0.194595,1295,23,0.248862,1318
bundle_n_events_dedup,Q2(中位 3 分位),1.000000,2.000000,Q2(中位 3 分位),60,300,1318,0.000000,1318,386,-5.155847,0.666527,0.642017,1.038177,-5.867353,0.194595,1295,23,0.359636,1318
bundle_n_events_dedup,Q2(中位 3 分位),1.000000,2.000000,Q2(中位 3 分位),60,900,1318,0.000000,1318,386,-4.443798,1.173368,1.135822,1.033056,-5.795539,0.194595,1295,23,0.387709,1318
