会場,T(秒),m の群,h(秒),群の束数,n,含む日数,平均(bp),日クラスタ SE,naive SE,日クラスタ/naive,日等重み平均,引けない束
Binance COIN-M,60,Q1(下位 3 分位),300,7066,7066,456,4.138501,0.259116,0.215935,1.199974,3.943953,0
Binance COIN-M,60,Q1(下位 3 分位),900,7066,7066,456,3.524594,0.450129,0.357265,1.259930,2.736732,0
bitFlyer FX_BTC_JPY,60,Q1(下位 3 分位),300,7066,6634,455,4.764817,0.305862,0.248235,1.232150,4.428257,432
bitFlyer FX_BTC_JPY,60,Q1(下位 3 分位),900,7066,6552,455,4.765525,0.530532,0.399885,1.326713,4.007633,514
Binance COIN-M,60,Q2(中位 3 分位),300,7066,7066,446,8.903277,0.297122,0.268372,1.107131,7.971534,0
Binance COIN-M,60,Q2(中位 3 分位),900,7066,7066,446,8.401638,0.519792,0.457707,1.135643,6.639532,0
bitFlyer FX_BTC_JPY,60,Q2(中位 3 分位),300,7066,6794,445,9.239896,0.352885,0.281195,1.254946,8.036033,272
bitFlyer FX_BTC_JPY,60,Q2(中位 3 分位),900,7066,6715,445,9.433937,0.631285,0.489874,1.288669,7.530494,351
Binance COIN-M,60,Q3(上位 3 分位),300,7066,7066,429,18.121318,0.720967,0.426855,1.689020,15.522482,0
Binance COIN-M,60,Q3(上位 3 分位),900,7066,7066,429,17.962281,0.842158,0.670064,1.256833,13.525016,0
bitFlyer FX_BTC_JPY,60,Q3(上位 3 分位),300,7066,6874,426,18.390491,0.798685,0.450686,1.772154,15.239770,192
bitFlyer FX_BTC_JPY,60,Q3(上位 3 分位),900,7066,6793,426,19.001750,1.052744,0.766264,1.373867,14.490411,273
Binance COIN-M,300,Q1(下位 3 分位),300,7066,7066,456,6.531692,0.404057,0.250761,1.611322,5.876070,0
Binance COIN-M,300,Q1(下位 3 分位),900,7066,7066,456,6.107300,0.447169,0.397327,1.125442,5.054860,0
bitFlyer FX_BTC_JPY,300,Q1(下位 3 分位),300,7066,6596,455,7.123842,0.471775,0.288703,1.634118,6.287892,470
bitFlyer FX_BTC_JPY,300,Q1(下位 3 分位),900,7066,6525,456,7.227135,0.585252,0.509334,1.149054,6.133498,541
Binance COIN-M,300,Q2(中位 3 分位),300,7066,7066,444,9.645248,0.339424,0.275118,1.233742,8.735887,0
Binance COIN-M,300,Q2(中位 3 分位),900,7066,7066,444,8.612422,0.529224,0.441249,1.199378,7.065973,0
bitFlyer FX_BTC_JPY,300,Q2(中位 3 分位),300,7066,6816,444,10.175005,0.388686,0.291619,1.332852,8.958622,250
bitFlyer FX_BTC_JPY,300,Q2(中位 3 分位),900,7066,6720,441,9.959280,0.583666,0.474838,1.229187,8.387280,346
Binance COIN-M,300,Q3(上位 3 分位),300,7066,7066,414,14.986156,0.607034,0.414021,1.466190,12.334450,0
Binance COIN-M,300,Q3(上位 3 分位),900,7066,7066,414,15.168791,0.903919,0.665297,1.358670,10.637248,0
bitFlyer FX_BTC_JPY,300,Q3(上位 3 分位),300,7066,6890,411,15.161130,0.648888,0.430881,1.505957,12.089807,176
bitFlyer FX_BTC_JPY,300,Q3(上位 3 分位),900,7066,6815,409,16.077487,1.109035,0.718600,1.543327,11.712013,251
