k の群,m の群,T(秒),h(秒),群のプリント数,うち k = 0 ちょうどの数,k 平均,k 中央値,m 平均,m 中央値,n,含む日数,r 平均(bp),r 日クラスタ SE,r naive SE,日クラスタ/naive,r 日等重み平均,r 中央値,r p25,r p75,r < 0 の割合,r < 0 の母数,同じ側の次の清算 60 秒以内の割合,同じ側の次の清算 60 秒以内の母数,同じ側の次の清算 120 秒以内の割合,同じ側の次の清算 120 秒以内の母数,同じ側の次の清算が無い(この期間の最後)
K0(k ≤ 0),Q1(下位 3 分位),60,60,9273,6926,-0.058395,0.000000,7.308614,7.886612,9273,455,-0.085643,0.147366,0.123161,1.196526,-0.153301,-0.490347,-5.274888,4.064544,0.528847,9273,0.416586,9273,0.501348,9273,0
K0(k ≤ 0),Q1(下位 3 分位),60,300,9273,6926,-0.058395,0.000000,7.308614,7.886612,9273,455,-1.126739,0.318452,0.249649,1.275599,-1.380762,-2.253764,-12.232757,7.756483,0.566160,9273,0.416586,9273,0.501348,9273,0
K0(k ≤ 0),Q1(下位 3 分位),60,900,9273,6926,-0.058395,0.000000,7.308614,7.886612,9273,455,-1.553021,0.571374,0.408866,1.397459,-2.620402,-3.682663,-19.012819,13.177633,0.563248,9273,0.416586,9273,0.501348,9273,0
K0(k ≤ 0),Q2(中位 3 分位),60,60,8394,4671,-0.128388,0.000000,18.625020,18.266366,8394,439,-0.647708,0.219319,0.173814,1.261803,-0.843050,-1.392216,-8.824706,6.279489,0.551108,8394,0.568620,8394,0.646176,8394,0
K0(k ≤ 0),Q2(中位 3 分位),60,300,8394,4671,-0.128388,0.000000,18.625020,18.266366,8394,439,-1.171361,0.555009,0.360470,1.539679,-2.475778,-3.558612,-17.665056,12.807360,0.562545,8394,0.568620,8394,0.646176,8394,0
K0(k ≤ 0),Q2(中位 3 分位),60,900,8394,4671,-0.128388,0.000000,18.625020,18.266366,8394,439,-0.973686,1.055593,0.559313,1.887303,-4.353848,-6.195127,-27.425613,19.395328,0.576245,8394,0.568620,8394,0.646176,8394,0
K0(k ≤ 0),Q3(上位 3 分位),60,60,7310,2372,-0.454109,-0.018835,53.712329,38.157112,7310,403,-0.576011,2.190228,0.636576,3.440637,-4.513267,-3.707389,-18.274794,11.175183,0.572367,7310,0.720520,7310,0.771819,7310,0
K0(k ≤ 0),Q3(上位 3 分位),60,300,7310,2372,-0.454109,-0.018835,53.712329,38.157112,7310,403,-6.269903,1.977950,0.963322,2.053260,-9.795547,-8.859707,-33.761820,18.271304,0.593434,7310,0.720520,7310,0.771819,7310,0
K0(k ≤ 0),Q3(上位 3 分位),60,900,7310,2372,-0.454109,-0.018835,53.712329,38.157112,7310,403,-9.180693,2.769246,1.178359,2.350087,-14.357265,-12.633588,-47.745747,27.221217,0.590698,7310,0.720520,7310,0.771819,7310,0
K+1(Q1(下位 3 分位)、k > 0),Q1(下位 3 分位),60,60,2508,0,0.016161,0.015741,7.792529,8.410368,2508,239,0.044368,0.309343,0.277033,1.116628,-0.017660,-0.416555,-6.118051,5.056113,0.520734,2508,0.448963,2508,0.527113,2508,0
