属性,群,h,n(清算),反転の割合(清算),SE(清算),n(対照),反転の割合(対照),SE(対照),差(清算 − 対照),SE(差)
全体,全体,1,21198,0.737239,0.003023,18199,0.497610,0.003706,0.239630,0.004783
全体,全体,5,21198,0.646618,0.003283,18199,0.515028,0.003705,0.131589,0.004950
全体,全体,15,21198,0.620908,0.003332,18199,0.497335,0.003706,0.123573,0.004984
全体,全体,30,21198,0.607274,0.003354,18198,0.497857,0.003706,0.109417,0.004999
全体,全体,60,21196,0.600019,0.003365,18198,0.484504,0.003705,0.115515,0.005005
全体,全体,240,21195,0.567256,0.003403,18194,0.460262,0.003695,0.106995,0.005024
|dist_vwap_bp|,Q1(下位 3 分位),1,7066,0.683838,0.005532,8048,0.479374,0.005569,0.204464,0.007849
|dist_vwap_bp|,Q1(下位 3 分位),5,7066,0.630484,0.005742,8048,0.501491,0.005573,0.128993,0.008002
|dist_vwap_bp|,Q1(下位 3 分位),15,7066,0.612086,0.005797,8048,0.482977,0.005570,0.129109,0.008039
|dist_vwap_bp|,Q1(下位 3 分位),30,7066,0.594396,0.005841,8048,0.485711,0.005571,0.108685,0.008072
|dist_vwap_bp|,Q1(下位 3 分位),60,7066,0.581234,0.005869,8048,0.477013,0.005568,0.104221,0.008090
|dist_vwap_bp|,Q1(下位 3 分位),240,7066,0.560147,0.005905,8047,0.454207,0.005550,0.105941,0.008104
|dist_vwap_bp|,Q2(中位 3 分位),1,7066,0.741579,0.005208,6429,0.514388,0.006233,0.227191,0.008123
|dist_vwap_bp|,Q2(中位 3 分位),5,7066,0.654826,0.005656,6429,0.524809,0.006228,0.130016,0.008413
|dist_vwap_bp|,Q2(中位 3 分位),15,7066,0.620436,0.005773,6429,0.507233,0.006235,0.113203,0.008497
|dist_vwap_bp|,Q2(中位 3 分位),30,7066,0.607274,0.005810,6428,0.509645,0.006235,0.097629,0.008522
|dist_vwap_bp|,Q2(中位 3 分位),60,7064,0.602492,0.005823,6428,0.490199,0.006235,0.112292,0.008531
|dist_vwap_bp|,Q2(中位 3 分位),240,7063,0.564066,0.005900,6425,0.466615,0.006224,0.097451,0.008576
|dist_vwap_bp|,Q3(上位 3 分位),1,7066,0.786301,0.004877,3722,0.508060,0.008195,0.278240,0.009536
|dist_vwap_bp|,Q3(上位 3 分位),5,7066,0.654543,0.005657,3722,0.527405,0.008183,0.127138,0.009948
|dist_vwap_bp|,Q3(上位 3 分位),15,7066,0.630201,0.005743,3722,0.511284,0.008194,0.118917,0.010006
|dist_vwap_bp|,Q3(上位 3 分位),30,7066,0.620153,0.005774,3722,0.503761,0.008195,0.116391,0.010025
|dist_vwap_bp|,Q3(上位 3 分位),60,7066,0.616332,0.005785,3722,0.490865,0.008194,0.125467,0.010031
|dist_vwap_bp|,Q3(上位 3 分位),240,7066,0.577554,0.005876,3722,0.462386,0.008172,0.115169,0.010066
|dist_node_bp|,Q1(下位 3 分位),1,7066,0.673648,0.005578,7973,0.487270,0.005598,0.186379,0.007902
|dist_node_bp|,Q1(下位 3 分位),5,7066,0.614067,0.005791,7973,0.510347,0.005598,0.103720,0.008055
|dist_node_bp|,Q1(下位 3 分位),15,7066,0.595103,0.005840,7973,0.492663,0.005599,0.102441,0.008090
|dist_node_bp|,Q1(下位 3 分位),30,7066,0.588876,0.005853,7973,0.497680,0.005600,0.091197,0.008100
|dist_node_bp|,Q1(下位 3 分位),60,7066,0.578262,0.005875,7973,0.487144,0.005598,0.091118,0.008115
|dist_node_bp|,Q1(下位 3 分位),240,7066,0.547835,0.005921,7972,0.469142,0.005589,0.078693,0.008142
|dist_node_bp|,Q2(中位 3 分位),1,7066,0.748939,0.005159,6060,0.504290,0.006423,0.244648,0.008238
|dist_node_bp|,Q2(中位 3 分位),5,7066,0.667280,0.005605,6060,0.516172,0.006420,0.151108,0.008522
|dist_node_bp|,Q2(中位 3 分位),15,7066,0.641381,0.005705,6060,0.493729,0.006422,0.147652,0.008591
|dist_node_bp|,Q2(中位 3 分位),30,7066,0.619728,0.005775,6060,0.491584,0.006422,0.128144,0.008637
|dist_node_bp|,Q2(中位 3 分位),60,7064,0.609003,0.005806,6060,0.479703,0.006418,0.129300,0.008654
|dist_node_bp|,Q2(中位 3 分位),240,7064,0.572622,0.005886,6060,0.450495,0.006391,0.122127,0.008689
|dist_node_bp|,Q3(上位 3 分位),1,7066,0.789131,0.004853,4166,0.507681,0.007746,0.281450,0.009140
|dist_node_bp|,Q3(上位 3 分位),5,7066,0.658506,0.005641,4166,0.522324,0.007739,0.136182,0.009577
|dist_node_bp|,Q3(上位 3 分位),15,7066,0.626238,0.005755,4166,0.511522,0.007745,0.114716,0.009649
|dist_node_bp|,Q3(上位 3 分位),30,7066,0.613218,0.005794,4165,0.507323,0.007747,0.105895,0.009674
|dist_node_bp|,Q3(上位 3 分位),60,7066,0.612794,0.005795,4165,0.486435,0.007745,0.126359,0.009673
|dist_node_bp|,Q3(上位 3 分位),240,7065,0.581316,0.005869,4162,0.457472,0.007722,0.123844,0.009700
bin_pct,Q1(下位 3 分位),1,7150,0.810070,0.004639,4297,0.505702,0.007627,0.304368,0.008927
bin_pct,Q1(下位 3 分位),5,7150,0.687413,0.005482,4297,0.523621,0.007619,0.163791,0.009386
bin_pct,Q1(下位 3 分位),15,7150,0.653147,0.005629,4297,0.510822,0.007626,0.142325,0.009478
