属性,群,群の下限,群の上限,対照の属性の出所,h,n(清算),平均bp(清算),SE(清算),n(対照),平均bp(対照),SE(対照),差(清算 − 対照),SE(差),単調性(清算の平均),単調性(差)
|dist_vwap_bp|,Q1(下位 3 分位),nan,43.884500,その行自身,1,7066,-3.740576,0.101786,8048,-0.099776,0.060593,-3.640800,0.118456,下がる,下がる
|dist_vwap_bp|,Q1(下位 3 分位),nan,43.884500,その行自身,5,7066,-4.151457,0.225012,8048,-0.245811,0.123004,-3.905646,0.256438,下がる,下がる
|dist_vwap_bp|,Q1(下位 3 分位),nan,43.884500,その行自身,15,7066,-4.686250,0.363964,8048,0.649465,0.260523,-5.335715,0.447595,下がる,下がる
|dist_vwap_bp|,Q1(下位 3 分位),nan,43.884500,その行自身,30,7066,-3.995722,0.499757,8048,1.560535,0.409716,-5.556258,0.646239,下がる,下がる
|dist_vwap_bp|,Q1(下位 3 分位),nan,43.884500,その行自身,60,7066,-4.246315,0.712633,8048,3.438970,0.603947,-7.685285,0.934129,下がる,下がる
|dist_vwap_bp|,Q1(下位 3 分位),nan,43.884500,その行自身,240,7066,-5.050777,1.392045,8047,10.337354,1.254883,-15.388131,1.874173,単調でない,単調でない
|dist_vwap_bp|,Q2(中位 3 分位),43.884500,95.828500,その行自身,1,7066,-6.127126,0.122346,6429,-0.351577,0.085607,-5.775549,0.149322,下がる,下がる
|dist_vwap_bp|,Q2(中位 3 分位),43.884500,95.828500,その行自身,5,7066,-6.605474,0.263513,6429,-0.790077,0.167685,-5.815397,0.312342,下がる,下がる
|dist_vwap_bp|,Q2(中位 3 分位),43.884500,95.828500,その行自身,15,7066,-6.140299,0.436125,6429,-0.124577,0.365797,-6.015723,0.569221,下がる,下がる
|dist_vwap_bp|,Q2(中位 3 分位),43.884500,95.828500,その行自身,30,7066,-5.620494,0.617714,6428,1.361479,0.507230,-6.981973,0.799283,下がる,下がる
|dist_vwap_bp|,Q2(中位 3 分位),43.884500,95.828500,その行自身,60,7064,-4.924547,0.838873,6428,3.404921,0.716206,-8.329467,1.103023,下がる,下がる
|dist_vwap_bp|,Q2(中位 3 分位),43.884500,95.828500,その行自身,240,7063,-3.625899,1.489057,6425,10.400272,1.455840,-14.026172,2.082489,単調でない,単調でない
|dist_vwap_bp|,Q3(上位 3 分位),95.828500,nan,その行自身,1,7066,-10.533397,0.177924,3722,-0.495045,0.148481,-10.038352,0.231740,下がる,下がる
|dist_vwap_bp|,Q3(上位 3 分位),95.828500,nan,その行自身,5,7066,-10.454870,0.429854,3722,-1.182272,0.289894,-9.272598,0.518471,下がる,下がる
|dist_vwap_bp|,Q3(上位 3 分位),95.828500,nan,その行自身,15,7066,-11.465111,0.673734,3722,-0.840343,0.646992,-10.624767,0.934086,下がる,下がる
|dist_vwap_bp|,Q3(上位 3 分位),95.828500,nan,その行自身,30,7066,-11.258508,0.887249,3722,0.001181,0.953494,-11.259689,1.302444,下がる,下がる
|dist_vwap_bp|,Q3(上位 3 分位),95.828500,nan,その行自身,60,7066,-12.398640,1.185291,3722,4.422782,1.314552,-16.821422,1.770018,下がる,下がる
|dist_vwap_bp|,Q3(上位 3 分位),95.828500,nan,その行自身,240,7066,-13.585129,1.937615,3722,12.961347,2.551921,-26.546476,3.204162,単調でない,単調でない
|dist_node_bp|,Q1(下位 3 分位),nan,25.870067,その行自身,1,7066,-4.148664,0.116380,7973,-0.173695,0.070771,-3.974968,0.136209,下がる,下がる
|dist_node_bp|,Q1(下位 3 分位),nan,25.870067,その行自身,5,7066,-4.385578,0.253764,7973,-0.495888,0.139985,-3.889689,0.289814,下がる,下がる
|dist_node_bp|,Q1(下位 3 分位),nan,25.870067,その行自身,15,7066,-5.261837,0.432051,7973,-0.034243,0.317651,-5.227593,0.536256,下がる,下がる
|dist_node_bp|,Q1(下位 3 分位),nan,25.870067,その行自身,30,7066,-5.402848,0.605739,7973,0.951419,0.441771,-6.354267,0.749721,下がる,下がる
|dist_node_bp|,Q1(下位 3 分位),nan,25.870067,その行自身,60,7066,-5.488848,0.843461,7973,2.575199,0.633248,-8.064047,1.054718,下がる,下がる
|dist_node_bp|,Q1(下位 3 分位),nan,25.870067,その行自身,240,7066,-4.517215,1.592611,7972,8.605736,1.374209,-13.122951,2.103535,下がる,下がる
|dist_node_bp|,Q2(中位 3 分位),25.870067,60.772800,その行自身,1,7066,-6.140098,0.122496,6060,-0.258793,0.082232,-5.881305,0.147537,下がる,下がる
|dist_node_bp|,Q2(中位 3 分位),25.870067,60.772800,その行自身,5,7066,-6.887535,0.267959,6060,-0.470403,0.163196,-6.417132,0.313744,下がる,下がる
|dist_node_bp|,Q2(中位 3 分位),25.870067,60.772800,その行自身,15,7066,-7.662812,0.425823,6060,0.609192,0.341332,-8.272004,0.545741,下がる,下がる
|dist_node_bp|,Q2(中位 3 分位),25.870067,60.772800,その行自身,30,7066,-6.345934,0.582743,6060,1.990869,0.543974,-8.336803,0.797181,下がる,下がる
|dist_node_bp|,Q2(中位 3 分位),25.870067,60.772800,その行自身,60,7064,-6.046891,0.811139,6060,3.989632,0.782897,-10.036523,1.127330,下がる,下がる
|dist_node_bp|,Q2(中位 3 分位),25.870067,60.772800,その行自身,240,7064,-6.280012,1.492664,6060,11.589462,1.510312,-17.869473,2.123462,下がる,下がる
|dist_node_bp|,Q3(上位 3 分位),60.772800,nan,その行自身,1,7066,-10.112338,0.170847,4166,-0.468719,0.126930,-9.643618,0.212838,下がる,下がる
|dist_node_bp|,Q3(上位 3 分位),60.772800,nan,その行自身,5,7066,-9.938689,0.411478,4166,-1.117078,0.249893,-8.821610,0.481415,下がる,下がる
|dist_node_bp|,Q3(上位 3 分位),60.772800,nan,その行自身,15,7066,-9.367012,0.641093,4166,-0.508989,0.538636,-8.858023,0.837334,下がる,下がる
|dist_node_bp|,Q3(上位 3 分位),60.772800,nan,その行自身,30,7066,-9.125942,0.845625,4165,0.399722,0.789928,-9.525664,1.157181,下がる,下がる
|dist_node_bp|,Q3(上位 3 分位),60.772800,nan,その行自身,60,7066,-10.034080,1.118536,4165,5.117893,1.093481,-15.151972,1.564233,下がる,下がる
|dist_node_bp|,Q3(上位 3 分位),60.772800,nan,その行自身,240,7065,-11.466440,1.774758,4162,14.274750,2.092139,-25.741189,2.743503,下がる,下がる
bin_pct,Q1(下位 3 分位),nan,16.666700,その行自身,1,7150,-9.007503,0.143948,4297,-0.463010,0.093129,-8.544494,0.171447,上がる,上がる
bin_pct,Q1(下位 3 分位),nan,16.666700,その行自身,5,7150,-9.445658,0.313618,4297,-0.913133,0.185264,-8.532525,0.364251,上がる,上がる
bin_pct,Q1(下位 3 分位),nan,16.666700,その行自身,15,7150,-10.258064,0.505077,4297,-0.291790,0.361027,-9.966274,0.620841,上がる,上がる
