走行,群,区分,h,n,平均bp,SE(平均),mfe平均,SE(mfe),mae平均,SE(mae),反転の割合,SE(反転の割合)
gap60_w8,全体,清算,1,21198,-6.800366,0.081882,3.599209,0.035456,-11.880773,0.083083,0.737239,0.003023
gap60_w8,全体,清算,5,21198,-7.070600,0.184894,13.061284,0.150592,-21.997277,0.148880,0.646618,0.003283
gap60_w8,全体,清算,15,21198,-7.430553,0.294416,25.677010,0.286484,-33.444510,0.227483,0.620908,0.003332
gap60_w8,全体,清算,30,21198,-6.958241,0.397564,37.915056,0.409911,-43.653301,0.303363,0.607274,0.003354
gap60_w8,全体,清算,60,21196,-7.190048,0.539764,53.665450,0.543179,-57.906326,0.410683,0.600019,0.003365
gap60_w8,全体,清算,240,21195,-7.421139,0.937921,102.631640,0.913228,-104.749357,0.762953,0.567256,0.003403
gap60_w8,全体,対照,1,18199,-0.269566,0.050554,3.723260,0.034792,-4.015969,0.037699,0.497610,0.003706
gap60_w8,全体,対照,5,18199,-0.629601,0.099945,8.987423,0.069435,-9.748220,0.073951,0.515028,0.003705
gap60_w8,全体,対照,15,18199,0.071336,0.217927,19.048905,0.163264,-19.046290,0.174810,0.497335,0.003706
gap60_w8,全体,対照,30,18198,1.171292,0.320889,29.397562,0.269073,-27.775657,0.254136,0.497857,0.003706
gap60_w8,全体,対照,60,18198,3.628160,0.455640,44.856504,0.431164,-39.883724,0.363876,0.484504,0.003705
gap60_w8,全体,対照,240,18194,10.896371,0.919160,98.905008,0.841383,-83.000441,0.752199,0.460262,0.003695
gap60_w8,D1 相当(doi_pre_1h の下位 3 分位),清算,1,5048,-7.693227,0.189963,3.962763,0.084997,-13.153886,0.195401,0.745642,0.006130
gap60_w8,D1 相当(doi_pre_1h の下位 3 分位),清算,5,5048,-7.061662,0.464344,14.831309,0.408940,-23.816690,0.337650,0.642433,0.006746
gap60_w8,D1 相当(doi_pre_1h の下位 3 分位),清算,15,5048,-6.816035,0.689428,29.517303,0.741856,-36.097393,0.523554,0.607964,0.006871
gap60_w8,D1 相当(doi_pre_1h の下位 3 分位),清算,30,5048,-6.626476,0.929296,43.205283,0.987214,-47.604219,0.746323,0.593106,0.006914
gap60_w8,D1 相当(doi_pre_1h の下位 3 分位),清算,60,5046,-5.625196,1.286521,61.568676,1.355906,-62.548568,1.021634,0.587000,0.006931
gap60_w8,D1 相当(doi_pre_1h の下位 3 分位),清算,240,5045,-4.480579,2.157974,115.506864,2.230106,-109.387919,1.871186,0.549851,0.007004
gap60_w8,D1 相当(doi_pre_1h の下位 3 分位),対照,1,4101,-0.067341,0.111104,4.072458,0.077021,-4.149087,0.082024,0.489637,0.007806
gap60_w8,D1 相当(doi_pre_1h の下位 3 分位),対照,5,4101,-0.282153,0.222606,9.708851,0.154742,-10.000691,0.162083,0.498659,0.007808
gap60_w8,D1 相当(doi_pre_1h の下位 3 分位),対照,15,4101,1.041391,0.496574,20.730889,0.378384,-19.601081,0.444659,0.487198,0.007805
gap60_w8,D1 相当(doi_pre_1h の下位 3 分位),対照,30,4101,1.830053,0.760244,31.892731,0.645031,-28.773559,0.644398,0.495733,0.007807
gap60_w8,D1 相当(doi_pre_1h の下位 3 分位),対照,60,4101,5.434535,1.020506,49.033358,1.074444,-41.165038,0.868781,0.467691,0.007791
gap60_w8,D1 相当(doi_pre_1h の下位 3 分位),対照,240,4101,10.558838,1.961607,102.341511,1.916042,-83.738663,1.716768,0.456962,0.007779
