属性,群,h,n(清算),n(対照),平均bp(清算),平均bp(対照。距離でそろえた),差(距離でそろえた),SE(差),帯の最小n(清算),帯の最小n(対照)
全体,全体,1,21198,18199,-6.800366,-0.324024,-6.476342,0.104086,2119,633
全体,全体,5,21198,18199,-7.070600,-0.780232,-6.290368,0.226281,2119,633
全体,全体,15,21198,18199,-7.430553,-0.121287,-7.309266,0.410399,2119,633
全体,全体,30,21198,18198,-6.958241,0.976026,-7.934267,0.588926,2119,633
全体,全体,60,21196,18198,-7.190048,3.745459,-10.935506,0.808714,2118,633
全体,全体,240,21195,18194,-7.421139,11.439039,-18.860178,1.525939,2118,633
|dist_vwap_bp|,Q1(下位 3 分位),1,7066,8048,-3.740576,-0.095459,-3.645117,0.118597,706,704
|dist_vwap_bp|,Q1(下位 3 分位),5,7066,8048,-4.151457,-0.234359,-3.917098,0.256805,706,704
|dist_vwap_bp|,Q1(下位 3 分位),15,7066,8048,-4.686250,0.661259,-5.347509,0.448410,706,704
|dist_vwap_bp|,Q1(下位 3 分位),30,7066,8048,-3.995722,1.529736,-5.525458,0.649360,706,704
|dist_vwap_bp|,Q1(下位 3 分位),60,7066,8048,-4.246315,3.420282,-7.666597,0.937564,706,704
|dist_vwap_bp|,Q1(下位 3 分位),240,7066,8047,-5.050777,10.289161,-15.339938,1.878150,706,704
|dist_vwap_bp|,Q2(中位 3 分位),1,7066,6429,-6.127126,-0.355361,-5.771765,0.151503,706,472
|dist_vwap_bp|,Q2(中位 3 分位),5,7066,6429,-6.605474,-0.818314,-5.787160,0.315930,706,472
|dist_vwap_bp|,Q2(中位 3 分位),15,7066,6429,-6.140299,-0.202027,-5.938272,0.573540,706,472
|dist_vwap_bp|,Q2(中位 3 分位),30,7066,6428,-5.620494,1.286694,-6.907188,0.811030,706,472
|dist_vwap_bp|,Q2(中位 3 分位),60,7064,6428,-4.924547,3.357788,-8.282334,1.113172,706,472
|dist_vwap_bp|,Q2(中位 3 分位),240,7063,6425,-3.625899,10.392668,-14.018567,2.100316,705,472
|dist_vwap_bp|,Q3(上位 3 分位),1,7066,3722,-10.533397,-0.571642,-9.961755,0.247903,706,150
|dist_vwap_bp|,Q3(上位 3 分位),5,7066,3722,-10.454870,-1.337547,-9.117323,0.547930,706,150
|dist_vwap_bp|,Q3(上位 3 分位),15,7066,3722,-11.465111,-0.806302,-10.658809,1.014868,706,150
|dist_vwap_bp|,Q3(上位 3 分位),30,7066,3722,-11.258508,0.191392,-11.449900,1.492040,706,150
|dist_vwap_bp|,Q3(上位 3 分位),60,7066,3722,-12.398640,4.891382,-17.290022,1.988713,706,150
|dist_vwap_bp|,Q3(上位 3 分位),240,7066,3722,-13.585129,13.361490,-26.946619,3.634319,706,150
|dist_node_bp|,Q1(下位 3 分位),1,7066,7973,-4.148664,-0.200639,-3.948025,0.140162,706,484
|dist_node_bp|,Q1(下位 3 分位),5,7066,7973,-4.385578,-0.566310,-3.819268,0.297162,706,484
|dist_node_bp|,Q1(下位 3 分位),15,7066,7973,-5.261837,-0.115645,-5.146191,0.559747,706,484
|dist_node_bp|,Q1(下位 3 分位),30,7066,7973,-5.402848,0.762171,-6.165020,0.784717,706,484
|dist_node_bp|,Q1(下位 3 分位),60,7066,7973,-5.488848,2.387395,-7.876243,1.100023,706,484
|dist_node_bp|,Q1(下位 3 分位),240,7066,7972,-4.517215,8.031449,-12.548664,2.185234,706,484
|dist_node_bp|,Q2(中位 3 分位),1,7066,6060,-6.140098,-0.243406,-5.896692,0.151911,706,304
|dist_node_bp|,Q2(中位 3 分位),5,7066,6060,-6.887535,-0.475940,-6.411595,0.325038,706,304
|dist_node_bp|,Q2(中位 3 分位),15,7066,6060,-7.662812,0.663169,-8.325981,0.572995,706,304
|dist_node_bp|,Q2(中位 3 分位),30,7066,6060,-6.345934,2.368077,-8.714012,0.843169,706,304
|dist_node_bp|,Q2(中位 3 分位),60,7064,6060,-6.046891,4.393500,-10.440391,1.204440,705,304
|dist_node_bp|,Q2(中位 3 分位),240,7064,6060,-6.280012,12.119526,-18.399538,2.226314,705,304
|dist_node_bp|,Q3(上位 3 分位),1,7066,4166,-10.112338,-0.651540,-9.460797,0.236191,706,132
|dist_node_bp|,Q3(上位 3 分位),5,7066,4166,-9.938689,-1.409280,-8.529409,0.524738,706,132
|dist_node_bp|,Q3(上位 3 分位),15,7066,4166,-9.367012,-1.303825,-8.063186,0.941291,706,132
|dist_node_bp|,Q3(上位 3 分位),30,7066,4165,-9.125942,-0.749064,-8.376877,1.416806,706,132
|dist_node_bp|,Q3(上位 3 分位),60,7066,4165,-10.034080,3.963388,-13.997467,1.838853,706,132
|dist_node_bp|,Q3(上位 3 分位),240,7065,4162,-11.466440,14.970589,-26.437029,3.288085,706,132
bin_pct,Q1(下位 3 分位),1,7150,4297,-9.007503,-0.943893,-8.063611,0.233280,714,78
bin_pct,Q1(下位 3 分位),5,7150,4297,-9.445658,-1.473158,-7.972500,0.472326,714,78
bin_pct,Q1(下位 3 分位),15,7150,4297,-10.258064,-1.576803,-8.681262,0.846092,714,78
bin_pct,Q1(下位 3 分位),30,7150,4296,-10.414097,-0.296394,-10.117703,1.231430,714,78
bin_pct,Q1(下位 3 分位),60,7149,4296,-11.316500,1.666328,-12.982828,1.678270,714,78
bin_pct,Q1(下位 3 分位),240,7149,4293,-10.887716,17.699320,-28.587037,3.068211,714,78
bin_pct,Q2(中位 3 分位),1,6986,6863,-6.496814,-0.313097,-6.183716,0.176041,698,265
