候補,組,途中_n,途中_欠測割合,途中_p10,途中_p25,途中_p50,途中_p75,途中_p90,多件の最後_n,多件の最後_欠測割合,多件の最後_p10,多件の最後_p25,多件の最後_p50,多件の最後_p75,多件の最後_p90,分かれ方の数,|分かれ方-0.5|
14,B,7968,0.000000,277.700000,454.000000,791.000000,1424.000000,2442.300000,3898,0.000000,192.000000,307.000000,530.000000,947.000000,1666.300000,0.629226,0.129226
1,B,7968,0.000000,1.000000,1.000000,2.000000,4.000000,7.000000,3898,0.000000,1.000000,1.000000,2.000000,3.000000,5.000000,0.598821,0.098821
A6,B,7968,0.000000,0.063000,0.271000,0.880000,2.051250,9.387000,3898,0.000000,0.194000,0.622250,1.277000,2.599250,10.877200,0.412067,0.087933
2,B,7968,0.000000,0.173205,0.694530,2.136283,16.820264,123.425793,3898,0.000257,0.219641,0.880665,4.809932,51.279655,393.100203,0.430273,0.069727
C3,B,7968,0.000000,-0.000000,0.899771,4.917203,36.041754,196.316725,3898,0.000000,0.022905,1.733690,11.221704,81.638836,249.707866,0.431026,0.068974
F3,B,7968,0.000000,718581.300000,2301200.625000,8243272.350000,27047857.650000,69783947.220000,3898,0.000000,512126.440000,1549233.575000,5061924.300000,16865446.825000,48012410.900000,0.568164,0.068164
8,B,7968,0.015813,0.000000,0.000000,0.000000,0.000000,2230.694981,3898,0.011031,0.000000,0.000000,0.000000,45.600409,8675.358435,0.437898,0.062102
15,B,7968,0.000126,0.175847,0.305658,0.480828,0.700780,0.892350,3898,0.000000,0.117943,0.251302,0.424079,0.636361,0.850459,0.558111,0.058111
C4,B,7968,0.000000,0.041196,0.096493,0.216960,0.492629,0.891104,3898,0.000000,0.036169,0.082266,0.175532,0.379597,0.725840,0.552750,0.052750
12,B,7968,0.000000,0.007720,0.037129,0.255742,1.787699,10.528496,3898,0.000000,0.013335,0.066667,0.443839,2.776795,16.002197,0.450317,0.049683
11,B,7968,0.000000,1746.996162,4815.724851,20300.902603,92627.938056,366316.647728,3898,0.000000,2546.587713,7086.727461,27591.519801,129671.972340,464079.007532,0.452382,0.047618
A3,B,7968,0.000000,0.000000,0.000000,0.000001,0.000004,0.000011,3898,0.000000,0.000000,0.000000,0.000001,0.000004,0.000010,0.534089,0.034089
5p,B,7968,0.917420,3.657147,12.967250,43.993157,110.155127,193.333337,3898,0.846331,3.700491,9.819501,37.480394,90.316811,168.301339,0.532158,0.032158
13,B,7968,0.000126,-0.248720,-0.072151,0.053698,0.258551,0.526338,3898,0.001283,-0.352148,-0.120130,0.020251,0.256780,0.574895,0.529531,0.029531
A5,B,7968,0.000126,-0.032296,0.000000,1.413478,4.516050,9.459265,3898,0.000770,-0.027060,0.000000,1.186898,3.718303,7.657857,0.521919,0.021919
6,B,7968,0.000000,0.000000,1.000000,2.000000,3.000000,3.000000,3898,0.000000,0.000000,1.000000,2.000000,3.000000,3.000000,0.521460,0.021460
10,B,7968,0.000000,-88.931357,-33.741347,5.724989,48.964363,111.165050,3898,0.000000,-82.387052,-33.105894,3.026995,37.996311,91.867676,0.516632,0.016632
3,B,7968,0.000000,0.027513,0.154583,0.999951,6.498678,35.069903,3898,0.000000,0.034666,0.193702,1.083522,6.896560,34.877407,0.485880,0.014120
A4,B,7968,0.001004,0.000145,0.000298,0.000527,0.000954,0.001724,3898,0.005131,0.000071,0.000249,0.000526,0.001021,0.002015,0.505659,0.005659
9,B,7968,0.000126,-0.056507,0.153330,0.384272,0.673606,0.953132,3898,0.001283,-0.167944,0.094626,0.372024,0.780549,0.991565,0.502937,0.002937
F4,B,7968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.502446,0.002446
A9,B,7968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000
