方策,型,行動,件数,遅れ_秒
logistic_2値0.5,A,ホールド,177,1
logistic_2値0.5,A,新規_逆張り,129,1
logistic_2値0.5,A,新規_順張り,86,1
logistic_2値0.5,A,決済,26,1
logistic_2値0.5,B,ドテン_逆張り,3,1
logistic_2値0.5,B,ドテン_順張り,24,1
logistic_2値0.5,B,ホールド,191,1
logistic_2値0.5,B,新規_逆張り,129,1
logistic_2値0.5,B,新規_順張り,71,1
logistic_3択,A,ホールド,149,1
logistic_3択,A,何もしない,66,1
logistic_3択,A,新規_逆張り,120,1
logistic_3択,A,新規_順張り,55,1
logistic_3択,A,決済,28,1
logistic_3択,B,ドテン_逆張り,24,1
logistic_3択,B,ドテン_順張り,8,1
logistic_3択,B,ホールド,161,1
logistic_3択,B,何もしない,62,1
logistic_3択,B,新規_逆張り,113,1
logistic_3択,B,新規_順張り,50,1
全部逆張り,A,新規_逆張り,200,1
全部逆張り,B,新規_逆張り,200,1
全部順張り,A,新規_順張り,200,1
全部順張り,B,新規_順張り,200,1
完全な判断,A,ホールド,140,1
完全な判断,A,新規_逆張り,122,1
完全な判断,A,新規_順張り,78,1
完全な判断,A,決済,78,1
完全な判断,B,ドテン_逆張り,78,1
完全な判断,B,ホールド,140,1
完全な判断,B,新規_逆張り,122,1
完全な判断,B,新規_順張り,78,1
規則,A,ホールド,95,1
規則,A,新規_逆張り,200,1
規則,A,新規_順張り,45,1
規則,A,決済,78,1
規則,B,ドテン_順張り,78,1
規則,B,ホールド,140,1
規則,B,新規_逆張り,200,1
