方策,型,遅れ_秒,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,n,日数,建玉の回数の平均,保有秒の中央値,入らなかった割合,0として含めたか
logistic_3択,A,0.500000,0.000000,-3.192065,3.209232,0.390000,0.212415,1.109150,200,122,0.875000,60.000000,0.185000,1
logistic_3択,A,0.500000,0.000000,-5.403926,4.592622,0.478528,0.433167,1.361301,163,108,0.875000,60.000000,0.185000,0
logistic_3択,A,1,0.000000,-3.086706,3.118940,0.395000,0.084372,1.137196,200,122,0.875000,60.000000,0.185000,1
logistic_3択,A,1,0.000000,-5.244414,4.120000,0.484663,0.305475,1.395345,163,108,0.875000,60.000000,0.185000,0
logistic_3択,A,2,0.000000,-2.798998,2.641736,0.370000,0.170216,1.199344,200,122,0.875000,60.000000,0.185000,1
logistic_3択,A,2,0.047542,-4.554798,4.000129,0.453988,0.381260,1.471740,163,108,0.875000,60.000000,0.185000,0
logistic_3択,B,0.500000,0.000000,-3.354485,3.739688,0.375000,1.112120,1.201488,200,122,0.975000,60.000000,0.185000,1
logistic_3択,B,0.500000,0.165375,-5.512725,5.349694,0.460123,1.400256,1.476415,163,108,0.975000,60.000000,0.185000,0
logistic_3択,B,1,0.000000,-3.015626,3.869753,0.375000,0.990879,1.209657,200,122,0.975000,60.000000,0.185000,1
logistic_3択,B,1,0.274466,-5.356803,4.662478,0.460123,1.303365,1.486258,163,108,0.975000,60.000000,0.185000,0
logistic_3択,B,2,0.000000,-2.705191,3.521155,0.355000,0.835503,1.211401,200,122,0.975000,60.000000,0.185000,1
logistic_3択,B,2,0.586910,-4.625448,4.657414,0.435583,1.103890,1.488020,163,108,0.975000,60.000000,0.185000,0
logistic_2値0.5,A,0.500000,-0.172707,-5.418198,4.644457,0.520000,-0.946474,1.160494,200,122,1.075000,60.000000,0.000000,1
logistic_2値0.5,A,0.500000,-0.172707,-5.418198,4.644457,0.520000,-0.946474,1.160494,200,122,1.075000,60.000000,0.000000,0
logistic_2値0.5,A,1,-0.150062,-5.652504,4.278352,0.525000,-0.905271,1.074994,200,122,1.075000,60.000000,0.000000,1
logistic_2値0.5,A,1,-0.150062,-5.652504,4.278352,0.525000,-0.905271,1.074994,200,122,1.075000,60.000000,0.000000,0
logistic_2値0.5,A,2,-0.037307,-4.645624,4.238016,0.510000,-0.188730,1.024217,200,122,1.075000,60.000000,0.000000,1
logistic_2値0.5,A,2,-0.037307,-4.645624,4.238016,0.510000,-0.188730,1.024217,200,122,1.075000,60.000000,0.000000,0
logistic_2値0.5,B,0.500000,-0.039868,-5.343510,4.815233,0.510000,-1.337327,1.348946,200,122,1.135000,60.000000,0.000000,1
