方策,型,遅れ_秒,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,n,日数,建玉の回数の平均,保有秒の中央値,入らなかった割合,0として含めたか
logistic_3択,A,0.500000,0.000000,-3.640374,2.826506,0.362000,-0.555382,0.272579,2000,223,0.791000,60.000000,0.265000,1
logistic_3択,A,0.500000,0.034862,-6.557332,5.037687,0.492517,-0.739104,0.371301,1470,215,0.791000,60.000000,0.265000,0
logistic_3択,A,1,0.000000,-3.741776,3.073445,0.369000,-0.579836,0.271301,2000,223,0.791000,60.000000,0.265000,1
logistic_3択,A,1,-0.016851,-6.523271,5.052527,0.502041,-0.751560,0.369410,1470,215,0.791000,60.000000,0.265000,0
logistic_3択,A,2,0.000000,-3.801866,2.999405,0.369500,-0.493858,0.269111,2000,223,0.791000,60.000000,0.265000,1
logistic_3択,A,2,-0.050073,-6.648537,5.165124,0.502721,-0.640428,0.366330,1470,215,0.791000,60.000000,0.265000,0
logistic_3択,B,0.500000,0.000000,-4.039097,3.127892,0.368000,-0.490455,0.292603,2000,223,0.874500,60.000000,0.265000,1
logistic_3択,B,0.500000,-0.015278,-6.922502,5.563460,0.500680,-0.620435,0.398463,1470,215,0.874500,60.000000,0.265000,0
logistic_3択,B,1,0.000000,-4.077639,3.239462,0.373000,-0.514814,0.292178,2000,223,0.874500,60.000000,0.265000,1
logistic_3択,B,1,-0.215615,-7.031686,5.673953,0.507483,-0.626590,0.397905,1470,215,0.874500,60.000000,0.265000,0
logistic_3択,B,2,0.000000,-4.040567,3.118529,0.373000,-0.444224,0.291724,2000,223,0.874500,60.000000,0.265000,1
logistic_3択,B,2,-0.215615,-7.126390,5.443717,0.507483,-0.538046,0.397050,1470,215,0.874500,60.000000,0.265000,0
logistic_2値0.5,A,0.500000,-0.872259,-7.430827,4.434774,0.537500,-1.443974,0.281355,2000,223,1.040500,60.000000,0.000000,1
logistic_2値0.5,A,0.500000,-0.872259,-7.430827,4.434774,0.537500,-1.443974,0.281355,2000,223,1.040500,60.000000,0.000000,0
logistic_2値0.5,A,1,-0.922598,-7.467392,4.560372,0.537500,-1.439882,0.279148,2000,223,1.040500,60.000000,0.000000,1
logistic_2値0.5,A,1,-0.922598,-7.467392,4.560372,0.537500,-1.439882,0.279148,2000,223,1.040500,60.000000,0.000000,0
logistic_2値0.5,A,2,-0.924236,-7.523541,4.576210,0.535000,-1.330496,0.266672,2000,223,1.040500,60.000000,0.000000,1
logistic_2値0.5,A,2,-0.924236,-7.523541,4.576210,0.535000,-1.330496,0.266672,2000,223,1.040500,60.000000,0.000000,0
logistic_2値0.5,B,0.500000,-0.678974,-7.538220,4.687856,0.530000,-1.617641,0.269192,2000,223,1.115500,60.000000,0.000000,1
logistic_2値0.5,B,0.500000,-0.678974,-7.538220,4.687856,0.530000,-1.617641,0.269192,2000,223,1.115500,60.000000,0.000000,0
logistic_2値0.5,B,1,-0.743201,-7.694049,4.753096,0.528000,-1.617669,0.268422,2000,223,1.115500,60.000000,0.000000,1
logistic_2値0.5,B,1,-0.743201,-7.694049,4.753096,0.528000,-1.617669,0.268422,2000,223,1.115500,60.000000,0.000000,0
logistic_2値0.5,B,2,-0.835403,-7.687471,4.740725,0.528500,-1.523698,0.262628,2000,223,1.115500,60.000000,0.000000,1
logistic_2値0.5,B,2,-0.835403,-7.687471,4.740725,0.528500,-1.523698,0.262628,2000,223,1.115500,60.000000,0.000000,0
logistic_2値基準率,A,0.500000,-0.362281,-6.824962,4.491215,0.518000,-1.248714,0.294889,2000,223,1.099000,60.000000,0.000000,1
logistic_2値基準率,A,0.500000,-0.362281,-6.824962,4.491215,0.518000,-1.248714,0.294889,2000,223,1.099000,60.000000,0.000000,0
logistic_2値基準率,A,1,-0.580463,-6.938258,4.548157,0.526000,-1.261739,0.292545,2000,223,1.099000,60.000000,0.000000,1
logistic_2値基準率,A,1,-0.580463,-6.938258,4.548157,0.526000,-1.261739,0.292545,2000,223,1.099000,60.000000,0.000000,0
logistic_2値基準率,A,2,-0.639348,-6.896112,4.633321,0.524500,-1.177559,0.288468,2000,223,1.099000,60.000000,0.000000,1
logistic_2値基準率,A,2,-0.639348,-6.896112,4.633321,0.524500,-1.177559,0.288468,2000,223,1.099000,60.000000,0.000000,0
logistic_2値基準率,B,0.500000,-0.679763,-7.434657,5.225106,0.528500,-1.019177,0.321835,2000,223,1.263500,60.000000,0.000000,1
logistic_2値基準率,B,0.500000,-0.679763,-7.434657,5.225106,0.528500,-1.019177,0.321835,2000,223,1.263500,60.000000,0.000000,0
logistic_2値基準率,B,1,-0.733267,-7.365208,5.217437,0.530000,-1.020084,0.317175,2000,223,1.263500,60.000000,0.000000,1
logistic_2値基準率,B,1,-0.733267,-7.365208,5.217437,0.530000,-1.020084,0.317175,2000,223,1.263500,60.000000,0.000000,0
logistic_2値基準率,B,2,-0.781366,-7.338557,5.052354,0.526000,-0.941630,0.318983,2000,223,1.263500,60.000000,0.000000,1
logistic_2値基準率,B,2,-0.781366,-7.338557,5.052354,0.526000,-0.941630,0.318983,2000,223,1.263500,60.000000,0.000000,0
規則,A,0.500000,0.120494,-4.869434,6.007206,0.486000,0.323762,0.270404,2000,223,1.142500,60.000000,0.000000,1
規則,A,0.500000,0.120494,-4.869434,6.007206,0.486000,0.323762,0.270404,2000,223,1.142500,60.000000,0.000000,0
規則,A,1,0.219497,-4.866286,6.079623,0.481000,0.283080,0.273427,2000,223,1.142500,60.000000,0.000000,1
規則,A,1,0.219497,-4.866286,6.079623,0.481000,0.283080,0.273427,2000,223,1.142500,60.000000,0.000000,0
規則,A,2,0.443102,-4.717061,6.202535,0.469500,0.381471,0.262155,2000,223,1.142500,60.000000,0.000000,1
規則,A,2,0.443102,-4.717061,6.202535,0.469500,0.381471,0.262155,2000,223,1.142500,60.000000,0.000000,0
規則,B,0.500000,0.687216,-5.856891,6.619713,0.464500,-0.115164,0.275276,2000,223,1.325000,60.000000,0.000000,1
規則,B,0.500000,0.687216,-5.856891,6.619713,0.464500,-0.115164,0.275276,2000,223,1.325000,60.000000,0.000000,0
