方策,型,位置,n,中央値,負の割合
logistic_3択,A,1件目で入った,1245,-0.460487,0.518072
logistic_3択,A,途中で入った,225,2.581091,0.413333
logistic_3択,A,入らなかった,530,0.000000,0.000000
logistic_3択,B,1件目で入った,1245,-0.503557,0.522088
logistic_3択,B,途中で入った,225,2.507567,0.426667
logistic_3択,B,入らなかった,530,0.000000,0.000000
logistic_2値0.5,A,1件目で入った,2000,-0.922598,0.537500
logistic_2値0.5,A,途中で入った,0,,
logistic_2値0.5,A,入らなかった,0,,
logistic_2値0.5,B,1件目で入った,2000,-0.743201,0.528000
logistic_2値0.5,B,途中で入った,0,,
logistic_2値0.5,B,入らなかった,0,,
logistic_2値基準率,A,1件目で入った,2000,-0.580463,0.526000
logistic_2値基準率,A,途中で入った,0,,
logistic_2値基準率,A,入らなかった,0,,
logistic_2値基準率,B,1件目で入った,2000,-0.733267,0.530000
logistic_2値基準率,B,途中で入った,0,,
logistic_2値基準率,B,入らなかった,0,,
規則,A,1件目で入った,2000,0.219497,0.481000
規則,A,途中で入った,0,,
規則,A,入らなかった,0,,
規則,B,1件目で入った,2000,0.680021,0.465500
規則,B,途中で入った,0,,
規則,B,入らなかった,0,,
完全な判断,A,1件目で入った,2000,4.128579,0.251000
完全な判断,A,途中で入った,0,,
完全な判断,A,入らなかった,0,,
完全な判断,B,1件目で入った,2000,5.251769,0.255000
完全な判断,B,途中で入った,0,,
完全な判断,B,入らなかった,0,,
全部逆張り,A,1件目で入った,2000,2.249481,0.391500
全部逆張り,A,途中で入った,0,,
全部逆張り,A,入らなかった,0,,
全部逆張り,B,1件目で入った,2000,2.249481,0.391500
全部逆張り,B,途中で入った,0,,
全部逆張り,B,入らなかった,0,,
全部順張り,A,1件目で入った,2000,-2.249481,0.604500
全部順張り,A,途中で入った,0,,
全部順張り,A,入らなかった,0,,
全部順張り,B,1件目で入った,2000,-2.249481,0.604500
全部順張り,B,途中で入った,0,,
全部順張り,B,入らなかった,0,,
