方策,型,行動,件数,遅れ_秒
logistic_2値0.5,A,ホールド,194,1
logistic_2値0.5,A,新規_逆張り,123,1
logistic_2値0.5,A,新規_順張り,85,1
logistic_2値0.5,A,決済,208,1
logistic_2値0.5,B,ドテン_逆張り,5,1
logistic_2値0.5,B,ドテン_順張り,13,1
logistic_2値0.5,B,ホールド,200,1
logistic_2値0.5,B,新規_逆張り,123,1
logistic_2値0.5,B,新規_順張り,77,1
logistic_2値0.5,B,決済,200,1
logistic_2値基準率,A,ホールド,152,1
logistic_2値基準率,A,新規_逆張り,115,1
logistic_2値基準率,A,新規_順張り,112,1
logistic_2値基準率,A,決済,227,1
logistic_2値基準率,B,ドテン_逆張り,35,1
logistic_2値基準率,B,ドテン_順張り,17,1
logistic_2値基準率,B,ホールド,166,1
logistic_2値基準率,B,新規_逆張り,104,1
logistic_2値基準率,B,新規_順張り,96,1
logistic_2値基準率,B,決済,200,1
logistic_3択,A,ホールド,170,1
logistic_3択,A,何もしない,51,1
logistic_3択,A,新規_逆張り,95,1
logistic_3択,A,新規_順張り,82,1
logistic_3択,A,決済,177,1
logistic_3択,B,ドテン_逆張り,20,1
logistic_3択,B,ドテン_順張り,2,1
logistic_3択,B,ホールド,179,1
logistic_3択,B,何もしない,45,1
logistic_3択,B,新規_逆張り,92,1
logistic_3択,B,新規_順張り,80,1
logistic_3択,B,決済,172,1
logistic_3択(出口300秒),A,ホールド,170,1
logistic_3択(出口300秒),A,何もしない,51,1
logistic_3択(出口300秒),A,新規_逆張り,95,1
logistic_3択(出口300秒),A,新規_順張り,82,1
logistic_3択(出口300秒),A,決済,177,1
全部逆張り,A,新規_逆張り,200,1
全部逆張り,B,新規_逆張り,200,1
全部順張り,A,新規_順張り,200,1
全部順張り,B,新規_順張り,200,1
完全な判断,A,ホールド,154,1
完全な判断,A,新規_逆張り,126,1
完全な判断,A,新規_順張り,94,1
完全な判断,A,決済,220,1
完全な判断,B,ドテン_逆張り,42,1
完全な判断,B,ドテン_順張り,6,1
完全な判断,B,ホールド,170,1
完全な判断,B,新規_逆張り,110,1
完全な判断,B,新規_順張り,90,1
完全な判断,B,決済,200,1
規則,A,ホールド,95,1
規則,A,新規_逆張り,200,1
規則,A,新規_順張り,45,1
規則,A,決済,245,1
規則,B,ドテン_順張り,78,1
規則,B,ホールド,140,1
規則,B,新規_逆張り,200,1
規則,B,決済,200,1
