場面,帯下端,帯上端,件数,続く割合,2SE,基準率,基準率と区別できない,区分
連鎖の中,0.220000,0.240000,1,0.000000,0.000000,0.622915,0,止まる
連鎖の中,0.240000,0.260000,4,0.250000,0.433013,0.622915,1,止まる
連鎖の中,0.260000,0.280000,10,0.400000,0.309839,0.622915,1,止まる
連鎖の中,0.280000,0.300000,31,0.290323,0.163050,0.622915,0,止まる
連鎖の中,0.300000,0.320000,68,0.367647,0.116942,0.622915,0,止まる
連鎖の中,0.320000,0.340000,105,0.342857,0.092645,0.622915,0,止まる
連鎖の中,0.340000,0.360000,165,0.400000,0.076277,0.622915,0,止まる
連鎖の中,0.360000,0.380000,228,0.372807,0.064048,0.622915,0,止まる
連鎖の中,0.380000,0.400000,298,0.446309,0.057593,0.622915,0,止まる
連鎖の中,0.400000,0.420000,337,0.430267,0.053941,0.622915,0,止まる
連鎖の中,0.420000,0.440000,361,0.379501,0.051080,0.622915,0,止まる
連鎖の中,0.440000,0.460000,402,0.470149,0.049787,0.622915,0,止まる
連鎖の中,0.460000,0.480000,478,0.497908,0.045739,0.622915,0,止まる
連鎖の中,0.480000,0.500000,453,0.479029,0.046943,0.622915,0,止まる
連鎖の中,0.500000,0.520000,491,0.578411,0.044571,0.622915,1,止まる
連鎖の中,0.520000,0.540000,552,0.534420,0.042462,0.622915,0,止まる
連鎖の中,0.540000,0.560000,541,0.541590,0.042844,0.622915,0,止まる
連鎖の中,0.560000,0.580000,503,0.550696,0.044358,0.622915,0,止まる
連鎖の中,0.580000,0.600000,480,0.566667,0.045236,0.622915,0,止まる
連鎖の中,0.600000,0.620000,528,0.594697,0.042732,0.622915,1,わからない
連鎖の中,0.620000,0.640000,525,0.594286,0.042861,0.622915,1,わからない
連鎖の中,0.640000,0.660000,513,0.635478,0.042499,0.622915,1,わからない
連鎖の中,0.660000,0.680000,552,0.644928,0.040736,0.622915,1,わからない
連鎖の中,0.680000,0.700000,576,0.690972,0.038508,0.622915,0,続く
連鎖の中,0.700000,0.720000,598,0.677258,0.038237,0.622915,0,続く
連鎖の中,0.720000,0.740000,638,0.706897,0.036042,0.622915,0,続く
連鎖の中,0.740000,0.760000,616,0.746753,0.035043,0.622915,0,続く
連鎖の中,0.760000,0.780000,652,0.737730,0.034453,0.622915,0,続く
連鎖の中,0.780000,0.800000,636,0.800314,0.031703,0.622915,0,続く
連鎖の中,0.800000,0.820000,584,0.815068,0.032131,0.622915,0,続く
連鎖の中,0.820000,0.840000,394,0.890863,0.031418,0.622915,0,続く
連鎖の中,0.840000,0.860000,273,0.879121,0.039459,0.622915,0,続く
連鎖の中,0.860000,0.880000,138,0.956522,0.034720,0.622915,0,続く
連鎖の中,0.880000,0.900000,34,0.970588,0.057952,0.622915,0,続く
連鎖の中,0.900000,0.920000,4,1.000000,0.000000,0.622915,0,続く
