費用,c_bp,方策,型,遅れ_秒,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,n,日数,建玉の回数の平均,保有秒の中央値,入らなかった割合,0として含めたか
費用なし,0.000000,logistic_3択,A,0.500000,0.000000,-3.351125,3.964189,0.395000,0.652940,0.928524,200,122,0.990000,60.000000,0.090000,1
費用なし,0.000000,logistic_3択,A,0.500000,0.422634,-3.672056,4.896748,0.434066,0.672682,1.020243,182,117,0.990000,60.000000,0.090000,0
費用なし,0.000000,logistic_3択,A,1,0.000000,-3.211882,4.615569,0.405000,1.083880,0.838023,200,122,0.990000,60.000000,0.090000,1
費用なし,0.000000,logistic_3択,A,1,0.453486,-3.871686,5.058767,0.445055,1.111660,0.920043,182,117,0.990000,60.000000,0.090000,0
費用なし,0.000000,logistic_3択,A,2,0.000000,-2.875067,4.623006,0.405000,1.474794,0.819294,200,122,0.990000,60.000000,0.090000,1
費用なし,0.000000,logistic_3択,A,2,0.561514,-3.417645,5.366073,0.445055,1.532849,0.899872,182,117,0.990000,60.000000,0.090000,0
費用なし,0.000000,logistic_3択,B,0.500000,0.011970,-3.479565,4.960524,0.395000,0.046615,1.310061,200,122,1.095000,60.000000,0.090000,1
費用なし,0.000000,logistic_3択,B,0.500000,0.422634,-4.512893,6.201631,0.434066,0.079536,1.440102,182,117,1.095000,60.000000,0.090000,0
費用なし,0.000000,logistic_3択,B,1,0.000000,-3.392385,4.826507,0.405000,0.921511,1.062717,200,122,1.095000,60.000000,0.090000,1
費用なし,0.000000,logistic_3択,B,1,0.504322,-4.025675,5.921051,0.445055,0.976324,1.167718,182,117,1.095000,60.000000,0.090000,0
費用なし,0.000000,logistic_3択,B,2,0.012142,-2.840875,4.914013,0.395000,1.424760,0.949619,200,122,1.095000,60.000000,0.090000,1
費用なし,0.000000,logistic_3択,B,2,0.665708,-3.454609,5.606275,0.434066,1.508203,1.043693,182,117,1.095000,60.000000,0.090000,0
費用なし,0.000000,logistic_2値0.5,A,0.500000,0.000000,-5.189648,5.489903,0.485000,0.512165,0.937048,200,122,1.035000,60.000000,0.000000,1
費用なし,0.000000,logistic_2値0.5,A,0.500000,0.000000,-5.189648,5.489903,0.485000,0.512165,0.937048,200,122,1.035000,60.000000,0.000000,0
費用なし,0.000000,logistic_2値0.5,A,1,-0.023670,-4.732037,4.894834,0.510000,0.438172,0.924902,200,122,1.035000,60.000000,0.000000,1
費用なし,0.000000,logistic_2値0.5,A,1,-0.023670,-4.732037,4.894834,0.510000,0.438172,0.924902,200,122,1.035000,60.000000,0.000000,0
費用なし,0.000000,logistic_2値0.5,A,2,0.000000,-3.951558,4.728448,0.490000,0.750127,0.958174,200,122,1.035000,60.000000,0.000000,1
費用なし,0.000000,logistic_2値0.5,A,2,0.000000,-3.951558,4.728448,0.490000,0.750127,0.958174,200,122,1.035000,60.000000,0.000000,0
費用なし,0.000000,logistic_2値0.5,B,0.500000,0.024112,-5.282993,5.914167,0.480000,0.567096,0.981869,200,122,1.085000,60.000000,0.000000,1
費用なし,0.000000,logistic_2値0.5,B,0.500000,0.024112,-5.282993,5.914167,0.480000,0.567096,0.981869,200,122,1.085000,60.000000,0.000000,0
費用なし,0.000000,logistic_2値0.5,B,1,0.000000,-5.050860,5.186152,0.495000,0.452924,0.951011,200,122,1.085000,60.000000,0.000000,1
費用なし,0.000000,logistic_2値0.5,B,1,0.000000,-5.050860,5.186152,0.495000,0.452924,0.951011,200,122,1.085000,60.000000,0.000000,0
費用なし,0.000000,logistic_2値0.5,B,2,0.029179,-4.308022,4.764884,0.480000,0.759360,0.971885,200,122,1.085000,60.000000,0.000000,1
