入る位置,入る条件,出口,損切り,総収支_bp,中央値_入った本のみ,p25,p75,中央値_0含む,負の割合,日等重み平均,日クラスタSE,入った本数,日数,建玉の回数,前半の前_総収支_bp,前半の後_総収支_bp,合計保有時間_時間,保有1時間あたりの収支_bp/h,同時建玉の最大_本,平均保有秒,欠測,条件で外れた本数,空の理由
1件目から,なし,連鎖の終わり+d,なし,-13086.907342,-0.799741,-5.410264,4.487584,-0.799741,0.546187,-1.402965,0.155303,8931,228,8931,-4592.150419,-8494.756923,188.553054,-69.407029,1,76.003918,0,0,
1件目から,なし,連鎖の終わり+d,含み損20bp,-18647.773781,-1.129542,-6.355147,4.123845,-1.129542,0.565558,-1.951202,0.150460,8931,228,8931,-6668.835236,-11978.938546,163.700768,-113.913783,1,65.986201,0,0,
1件目から,なし,連鎖の終わり+d,含み損50bp,-16857.806740,-0.842720,-5.464965,4.466432,-0.842720,0.548203,-1.715831,0.164489,8931,228,8931,-5628.600269,-11229.206471,181.850235,-92.701595,1,73.302076,0,0,
1件目から,なし,最後のプリント+300秒+d,なし,-10283.272869,0.417160,-9.892098,10.334055,0.417160,0.488859,-0.554612,0.320011,8931,228,8931,-4097.021296,-6186.251573,784.813430,-13.102825,4,316.350728,0,0,
1件目から,なし,最後のプリント+300秒+d,含み損20bp,-20725.065818,-1.805633,-18.689394,8.631269,-1.805633,0.543836,-1.753820,0.246016,8931,228,8931,-7002.418764,-13722.647054,634.331254,-32.672308,4,255.692813,0,0,
1件目から,なし,最後のプリント+300秒+d,含み損50bp,-16912.025628,0.140987,-10.650947,10.056740,0.140987,0.496473,-1.204950,0.305888,8931,228,8931,-5296.706000,-11615.319628,745.414721,-22.688076,4,300.469488,0,0,
1件目から,なし,入ってから300秒+d,なし,-9966.331556,0.270600,-9.781520,10.014106,0.270600,0.492666,-0.539714,0.300404,8931,228,8931,-3559.458990,-6406.872565,746.200676,-13.356101,4,300.786299,0,0,
1件目から,なし,入ってから300秒+d,含み損20bp,-20437.419020,-1.803168,-18.220101,8.567069,-1.803168,0.544844,-1.733813,0.244274,8931,228,8931,-6940.300968,-13497.118052,619.875821,-32.970183,4,249.865968,0,0,
1件目から,なし,入ってから300秒+d,含み損50bp,-16458.158187,0.006672,-10.492520,9.850238,0.006672,0.499944,-1.157584,0.302154,8931,228,8931,-5177.827003,-11280.331183,716.110914,-22.982694,4,288.657406,0,0,
1件目から,材料12≥p75,連鎖の終わり+d,なし,0.000000,,,,0.000000,,,,0,0,0,0.000000,0.000000,0.000000,,0,,0,8931,構造的に空(材料12≥p75 の材料 `mat12_notional_over_max_recent_print` が「1件目から」の入りのプリントで全欠測。届く連鎖 8931 本すべて)
1件目から,材料12≥p75,連鎖の終わり+d,含み損20bp,0.000000,,,,0.000000,,,,0,0,0,0.000000,0.000000,0.000000,,0,,0,8931,構造的に空(材料12≥p75 の材料 `mat12_notional_over_max_recent_print` が「1件目から」の入りのプリントで全欠測。届く連鎖 8931 本すべて)
1件目から,材料12≥p75,連鎖の終わり+d,含み損50bp,0.000000,,,,0.000000,,,,0,0,0,0.000000,0.000000,0.000000,,0,,0,8931,構造的に空(材料12≥p75 の材料 `mat12_notional_over_max_recent_print` が「1件目から」の入りのプリントで全欠測。届く連鎖 8931 本すべて)
