方策,位置,判断,件数
logistic_3択,1件目,止まる,82
logistic_3択,1件目,続く,77
logistic_3択,1件目,わからない,41
logistic_3択,連鎖の中,止まる,59
logistic_3択,連鎖の中,続く,101
logistic_3択,連鎖の中,わからない,58
logistic_2値0.5,1件目,止まる,123
logistic_2値0.5,1件目,続く,77
logistic_2値0.5,1件目,わからない,0
logistic_2値0.5,連鎖の中,止まる,35
logistic_2値0.5,連鎖の中,続く,183
logistic_2値0.5,連鎖の中,わからない,0
logistic_2値基準率,1件目,止まる,104
logistic_2値基準率,1件目,続く,96
logistic_2値基準率,1件目,わからない,0
logistic_2値基準率,連鎖の中,止まる,84
logistic_2値基準率,連鎖の中,続く,134
logistic_2値基準率,連鎖の中,わからない,0
規則,1件目,止まる,200
規則,1件目,続く,0
規則,1件目,わからない,0
規則,連鎖の中,止まる,0
規則,連鎖の中,続く,218
規則,連鎖の中,わからない,0
