ノブ,水準,選んだ組の水準,総収支_bp,選んだ組との差_bp,入った本数,中央値_入った本のみ
入る位置,1件目から,3件目以降だけ,-8344.343838,-12953.699485,8931,0.634261
入る位置,2件目以降だけ,3件目以降だけ,975.479144,-3633.876503,3898,2.449189
入る位置,3件目以降だけ,3件目以降だけ,4609.355648,0.000000,2284,4.558637
入る条件,なし,なし,4609.355648,0.000000,2284,4.558637
入る条件,材料12≥p75,なし,1527.590909,-3081.764738,596,6.353163
入る条件,材料12≥p90,なし,-384.704089,-4994.059737,245,3.303226
入る条件,材料14≥p75,なし,2760.250306,-1849.105341,507,8.658259
入る条件,材料14≥p90,なし,1952.608413,-2656.747234,68,14.275340
入る条件,材料15≥p75,なし,3045.553064,-1563.802584,537,7.640509
入る条件,材料15≥p90,なし,941.979040,-3667.376608,169,7.091022
出口,連鎖の終わり+d,最後のプリント+300秒+d,1925.075016,-2684.280631,2284,2.045741
出口,最後のプリント+300秒+d,最後のプリント+300秒+d,4609.355648,0.000000,2284,4.558637
出口,入ってから300秒+d,最後のプリント+300秒+d,4592.752350,-16.603298,2284,4.443490
損切り,なし,なし,4609.355648,0.000000,2284,4.558637
損切り,含み損20bp,なし,-3470.662047,-8080.017695,2284,-2.960998
損切り,含み損50bp,なし,-389.568195,-4998.923842,2284,3.300410
