項目,値
前半のプリント数,21838
うち連鎖(bundle_id)に入るプリント,20797
うち束の外(方策が通らない)プリント,1041
前半の連鎖数,8931
前半の日数,228
値段のラベルの割合(前半、プリント),0.547578
清算のラベルの割合(前半、プリント),0.584715
2 つのラベルの一致率(前半、プリント),0.793159
値段のラベルの再計算が既存列と一致した件数,21838/21838
費用の標本日数,16
主の c(bp),2.004025
併記の c = p75(bp),3.922816
格子の組数,189
動作確認の連鎖の本数,200
値段のラベルの割合(1件目、前半・束の中だけ),0.434330
「わからない」の帯(1件目),"(0.38, 0.5)"
値段のラベルの割合(連鎖の中、前半・束の中だけ),0.599865
「わからない」の帯(連鎖の中),"(0.56, 0.66)"
束の外: 件数,1041
束の外: 値段のラベルの割合,0.923151
束の外: 想定元本の中央値,828223.200000
束の外: 1件目(cand_1==0),138
束の外: 連鎖の中(cand_1>0),903
束の外: 掛かる日数,31
格子で 1 本も入らなかった組,18/189
入る条件の分位を切った件数(材料12),11866/20797
入る条件の分位を切った件数(材料14),20797/20797
入る条件の分位を切った件数(材料15),20784/20797
