経路,区分,bitFlyerの合計_bp,Binanceの合計_bp,対の数,対差の中央値_bp,対差のp25_bp,対差のp75_bp,符号が変わった本数,対差の平均_bp,どちらも0の本数,備考,遅れp50_ms,遅れp75_ms,遅れp90_ms,遅れp99_ms,遅れ最大_ms,1秒超の割合,5秒超の割合
秒単位(標本日に掛かる前半の連鎖),全部逆張り(素),-1356.841589,-829.146022,281,-1.110879,-4.419956,1.955198,62,-1.877920,0,,,,,,,,
秒単位・bitFlyer の約定の遅れ ≤ 5 秒の対だけ,全部逆張り(素),-1085.686315,-702.950275,172,-1.238747,-4.998798,2.376571,38,-2.225210,,,,,,,,,
秒単位(標本日に掛かる前半の連鎖),①3択A,-412.685969,-617.054311,282,0.000000,-2.114207,2.502656,47,0.724710,50,,,,,,,,
秒単位・bitFlyer の約定の遅れ ≤ 5 秒の対だけ,①3択A,-150.102405,-394.310950,173,0.000000,-2.247709,3.405519,28,1.411610,,,,,,,,,
秒単位(標本日に掛かる前半の連鎖),②opt,-664.764865,-155.685833,77,-4.791064,-16.172078,4.267818,18,-6.611416,0,,,,,,,,
秒単位・bitFlyer の約定の遅れ ≤ 5 秒の対だけ,②opt,-695.727048,-219.780588,56,-7.149749,-19.853929,3.995188,13,-8.499044,,,,,,,,,
秒単位(標本日に掛かる前半の連鎖),(母集団),,,285,,,,,,,標本日 16 日のうち前半に掛かる連鎖 285 本。① の確率が引けなかった連鎖 0 本,,,,,,,
約定の遅れ(目標時刻からの差、全部逆張り(素)),Binance_入り,,,281,,,,,,,,301.000000,830.000000,1848.000000,7500.400000,9556.000000,0.185053,0.042705
約定の遅れ(目標時刻からの差、全部逆張り(素)),Binance_出,,,281,,,,,,,,622.000000,1507.000000,3308.000000,9980.400000,27887.000000,0.373665,0.046263
約定の遅れ(目標時刻からの差、全部逆張り(素)),bitFlyer_入り,,,281,,,,,,,,821.000000,2977.000000,7422.000000,37751.200000,75365.000000,0.444840,0.174377
約定の遅れ(目標時刻からの差、全部逆張り(素)),bitFlyer_出,,,281,,,,,,,,1895.000000,7118.000000,17022.000000,43183.000000,254630.000000,0.676157,0.327402
1分の始値(前半の全連鎖),全部逆張り(素),-21730.026582,-15416.338977,8512,-0.492842,-4.050774,2.796909,1774,-0.741740,,,,,,,,,
