区分,合成連鎖,print_id,ts_ms,判断,行動,建玉,約定価格,レグ損益_bp,出口の理由,保有秒,費用なしの損益_bp,費用 c=2.0040 を引いた損益_bp,建玉の回数
①の状態機械(前段の合成3本),A: 続く→続く→止まる(型A、決済で終わる),s1a,0,続く,新規_順張り,順張り,100.000000,,,,,,
①の状態機械(前段の合成3本),A: 続く→続く→止まる(型A、決済で終わる),s1b,10000,続く,ホールド,順張り,,,,,,,
①の状態機械(前段の合成3本),A: 続く→続く→止まる(型A、決済で終わる),s1c,20000,止まる,決済,建玉なし,100.002000,0.2000,,,,,
①の状態機械(前段の合成3本),A: 続く→続く→止まる(型A、決済で終わる),(連鎖損益),,,,,0.2000,,,,,,
①の状態機械(前段の合成3本),B: 止まる→続く(型B、逆張りで入りドテン),s2a,0,止まる,新規_逆張り,逆張り,100.000000,,,,,,
①の状態機械(前段の合成3本),B: 止まる→続く(型B、逆張りで入りドテン),s2b,15000,続く,ドテン_順張り,順張り,100.001500,0.1500,,,,,
①の状態機械(前段の合成3本),B: 止まる→続く(型B、逆張りで入りドテン),,75000,終わり,決済,建玉なし,100.007500,-0.6000,,,,,
①の状態機械(前段の合成3本),B: 止まる→続く(型B、逆張りで入りドテン),(連鎖損益),,,,,-0.4500,,,,,,
①の状態機械(前段の合成3本),C: わからない(単発、入らない),s3a,0,わからない,何もしない,建玉なし,,,,,,,
①の状態機械(前段の合成3本),C: わからない(単発、入らない),(連鎖損益),,,,,0.0000,,,,,,
②の格子(値段が上がる列),連鎖の終わり+d / なし,g1,0,(②は判断を使わない),新規_逆張り,逆張り,,,連鎖の終わり+d,90.000,0.9000,-1.1040,1
②の格子(値段が上がる列),連鎖の終わり+d / 含み損20bp,g1,0,(②は判断を使わない),新規_逆張り,逆張り,,,連鎖の終わり+d,90.000,0.9000,-1.1040,1
②の格子(値段が上がる列),連鎖の終わり+d / 含み損50bp,g1,0,(②は判断を使わない),新規_逆張り,逆張り,,,連鎖の終わり+d,90.000,0.9000,-1.1040,1
②の格子(値段が上がる列),最後のプリント+300秒+d / なし,g1,0,(②は判断を使わない),新規_逆張り,逆張り,,,最後のプリント+300秒+d,330.000,3.3000,1.2960,1
②の格子(値段が上がる列),最後のプリント+300秒+d / 含み損20bp,g1,0,(②は判断を使わない),新規_逆張り,逆張り,,,最後のプリント+300秒+d,330.000,3.3000,1.2960,1
②の格子(値段が上がる列),最後のプリント+300秒+d / 含み損50bp,g1,0,(②は判断を使わない),新規_逆張り,逆張り,,,最後のプリント+300秒+d,330.000,3.3000,1.2960,1
②の格子(値段が上がる列),入ってから300秒+d / なし,g1,0,(②は判断を使わない),新規_逆張り,逆張り,,,入ってから300秒+d,300.000,3.0000,0.9960,1
②の格子(値段が上がる列),入ってから300秒+d / 含み損20bp,g1,0,(②は判断を使わない),新規_逆張り,逆張り,,,入ってから300秒+d,300.000,3.0000,0.9960,1
②の格子(値段が上がる列),入ってから300秒+d / 含み損50bp,g1,0,(②は判断を使わない),新規_逆張り,逆張り,,,入ってから300秒+d,300.000,3.0000,0.9960,1
②の格子(値段が下がる列),連鎖の終わり+d / なし,g1,0,(②は判断を使わない),新規_逆張り,逆張り,,,連鎖の終わり+d,90.000,-27.0008,-29.0048,1
②の格子(値段が下がる列),連鎖の終わり+d / 含み損20bp,g1,0,(②は判断を使わない),新規_逆張り,逆張り,,,損切り(20bp),68.000,-20.4006,-22.4046,1
②の格子(値段が下がる列),連鎖の終わり+d / 含み損50bp,g1,0,(②は判断を使わない),新規_逆張り,逆張り,,,連鎖の終わり+d,90.000,-27.0008,-29.0048,1
②の格子(値段が下がる列),最後のプリント+300秒+d / なし,g1,0,(②は判断を使わない),新規_逆張り,逆張り,,,最後のプリント+300秒+d,330.000,-99.0030,-101.0070,1
②の格子(値段が下がる列),最後のプリント+300秒+d / 含み損20bp,g1,0,(②は判断を使わない),新規_逆張り,逆張り,,,損切り(20bp),68.000,-20.4006,-22.4046,1
②の格子(値段が下がる列),最後のプリント+300秒+d / 含み損50bp,g1,0,(②は判断を使わない),新規_逆張り,逆張り,,,損切り(50bp),168.000,-50.4015,-52.4055,1
②の格子(値段が下がる列),入ってから300秒+d / なし,g1,0,(②は判断を使わない),新規_逆張り,逆張り,,,入ってから300秒+d,300.000,-90.0027,-92.0067,1
②の格子(値段が下がる列),入ってから300秒+d / 含み損20bp,g1,0,(②は判断を使わない),新規_逆張り,逆張り,,,損切り(20bp),68.000,-20.4006,-22.4046,1
②の格子(値段が下がる列),入ってから300秒+d / 含み損50bp,g1,0,(②は判断を使わない),新規_逆張り,逆張り,,,損切り(50bp),168.000,-50.4015,-52.4055,1
