数え方,線,費用の通り,遅れ_秒,最初の行動,n,合計_bp,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,日数
連鎖の中で最初に建玉を作った行動,①3択A(従来),費用あり(主のc),1,順張り,3252,-9723.309892,-3.530447,-11.627522,3.169486,0.645141,-3.422240,0.318473,214
連鎖の中で最初に建玉を作った行動,①3択A(従来),費用あり(主のc),1,逆張り,4385,-10331.979529,-1.355844,-4.922384,2.590269,0.601824,-2.417477,0.176885,228
連鎖の中で最初に建玉を作った行動,①3択A(従来),費用あり(主のc),1,入らない,1294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,212
連鎖の中で最初に建玉を作った行動,①3択A(従来),費用あり(主のc),1,全部,8931,-20055.289420,-0.639848,-5.914536,1.760326,0.530400,-2.246037,0.141911,228
連鎖の中で最初に建玉を作った行動,①3択A(順張り利確5bp),費用あり(主のc),1,順張り,3252,-19000.378879,-3.086671,-12.333829,3.050017,0.600246,-5.219978,0.271946,214
連鎖の中で最初に建玉を作った行動,①3択A(順張り利確5bp),費用あり(主のc),1,逆張り,4385,-10461.642297,-1.360819,-4.926794,2.588846,0.602281,-2.474300,0.176884,228
連鎖の中で最初に建玉を作った行動,①3択A(順張り利確5bp),費用あり(主のc),1,入らない,1294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,212
連鎖の中で最初に建玉を作った行動,①3択A(順張り利確5bp),費用あり(主のc),1,全部,8931,-29462.021175,-0.341879,-5.937138,2.580363,0.514276,-3.035194,0.149050,228
連鎖の中で最初に建玉を作った行動,完全な判断(値段)A,費用あり(主のc),1,順張り,3879,45111.907209,6.178710,0.982689,16.126676,0.212941,11.476167,0.420374,221
連鎖の中で最初に建玉を作った行動,完全な判断(値段)A,費用あり(主のc),1,逆張り,5052,13637.180826,1.138864,-2.004025,5.734732,0.418646,2.223792,0.141263,228
連鎖の中で最初に建玉を作った行動,完全な判断(値段)A,費用あり(主のc),1,入らない,0,0.000000,,,,,,,0
連鎖の中で最初に建玉を作った行動,完全な判断(値段)A,費用あり(主のc),1,全部,8931,58749.088035,3.018807,-1.347797,9.324977,0.329302,5.724631,0.248208,228
1 件目のプリントの行動,①3択A(従来),費用あり(主のc),1,順張り,3197,-9586.713102,-3.457043,-11.446801,3.155807,0.644667,-3.179452,0.324012,212
1 件目のプリントの行動,①3択A(従来),費用あり(主のc),1,逆張り,3561,-8653.948126,-1.602156,-4.794588,2.007249,0.627352,-2.719163,0.170169,228
1 件目のプリントの行動,①3択A(従来),費用あり(主のc),1,入らない,2173,-1814.628192,0.000000,0.000000,0.000000,0.203405,-0.615321,0.263452,217
1 件目のプリントの行動,①3択A(従来),費用あり(主のc),1,全部,8931,-20055.289420,-0.639848,-5.914536,1.760326,0.530400,-2.246037,0.141911,228
1 件目のプリントの行動,①3択A(順張り利確5bp),費用あり(主のc),1,順張り,3197,-18282.892559,-3.016428,-12.101849,3.050397,0.597748,-4.808499,0.271004,212
1 件目のプリントの行動,①3択A(順張り利確5bp),費用あり(主のc),1,逆張り,3561,-8676.465372,-1.602156,-4.794588,2.007249,0.627352,-2.741996,0.175696,228
1 件目のプリントの行動,①3択A(順張り利確5bp),費用あり(主のc),1,入らない,2173,-2502.663244,0.000000,0.000000,0.000000,0.206167,-0.968745,0.240623,217
1 件目のプリントの行動,①3択A(順張り利確5bp),費用あり(主のc),1,全部,8931,-29462.021175,-0.341879,-5.937138,2.580363,0.514276,-3.035194,0.149050,228
1 件目のプリントの行動,完全な判断(値段)A,費用あり(主のc),1,順張り,3879,45111.907209,6.178710,0.982689,16.126676,0.212941,11.476167,0.420374,221
1 件目のプリントの行動,完全な判断(値段)A,費用あり(主のc),1,逆張り,5052,13637.180826,1.138864,-2.004025,5.734732,0.418646,2.223792,0.141263,228
1 件目のプリントの行動,完全な判断(値段)A,費用あり(主のc),1,入らない,0,0.000000,,,,,,,0
1 件目のプリントの行動,完全な判断(値段)A,費用あり(主のc),1,全部,8931,58749.088035,3.018807,-1.347797,9.324977,0.329302,5.724631,0.248208,228
