線,方策,型,遅れ_秒,向き,出口の理由,本数,費用なしの合計_bp,費用を引いた合計_bp,費用なしの中央値_bp,負の割合(費用なし)
①3択A(従来),logistic_3択,A,1,順張り,利確,0,0.000000,0.000000,,
①3択A(従来),logistic_3択,A,1,順張り,次の清算で決済,783,2285.850601,716.699026,2.049827,0.272031
①3択A(従来),logistic_3択,A,1,順張り,連鎖の終わり,2704,-6247.533021,-11666.416621,-3.798233,0.630547
①3択A(従来),logistic_3択,A,1,順張り,合計,3487,-3961.682419,-10949.717594,-1.025856,0.550043
①3択A(従来),logistic_3択,A,1,逆張り,利確,0,0.000000,0.000000,,
①3択A(従来),logistic_3択,A,1,逆張り,次の清算で決済,210,-5624.345611,-6045.190861,-22.224167,0.976190
①3択A(従来),logistic_3択,A,1,逆張り,連鎖の終わり,4461,5879.574560,-3060.380965,0.938210,0.414705
①3択A(従来),logistic_3択,A,1,逆張り,合計,4671,255.228949,-9105.571826,0.703723,0.439949
①3択A(順張り利確5bp),logistic_3択(順張り利確5bp・入り値基準),A,1,順張り,利確,3628,18704.616765,11434.014065,5.067692,0.000000
①3択A(順張り利確5bp),logistic_3択(順張り利確5bp・入り値基準),A,1,順張り,次の清算で決済,513,146.522493,-881.542332,0.155367,0.411306
①3択A(順張り利確5bp),logistic_3択(順張り利確5bp・入り値基準),A,1,順張り,連鎖の終わり,1767,-27193.186927,-30734.299102,-11.616007,0.919072
①3択A(順張り利確5bp),logistic_3択(順張り利確5bp・入り値基準),A,1,順張り,合計,5908,-8342.047670,-20181.827370,5.018838,0.310596
①3択A(順張り利確5bp),logistic_3択(順張り利確5bp・入り値基準),A,1,逆張り,利確,0,0.000000,0.000000,,
①3択A(順張り利確5bp),logistic_3択(順張り利確5bp・入り値基準),A,1,逆張り,次の清算で決済,248,-6192.057417,-6689.055617,-20.626774,0.971774
①3択A(順張り利確5bp),logistic_3択(順張り利確5bp・入り値基準),A,1,逆張り,連鎖の終わり,4601,6629.380837,-2591.138188,1.018344,0.410563
①3択A(順張り利確5bp),logistic_3択(順張り利確5bp・入り値基準),A,1,逆張り,合計,4849,437.323419,-9280.193806,0.732773,0.439266
完全な判断(値段)A,完全な判断,A,1,順張り,利確,0,0.000000,0.000000,,
完全な判断(値段)A,完全な判断,A,1,順張り,次の清算で決済,2392,37627.625907,32833.998107,9.502932,0.063545
完全な判断(値段)A,完全な判断,A,1,順張り,連鎖の終わり,1717,7293.192246,3852.281321,4.092878,0.314502
完全な判断(値段)A,完全な判断,A,1,順張り,合計,4109,44920.818153,36686.279428,7.137641,0.168411
完全な判断(値段)A,完全な判断,A,1,逆張り,利確,0,0.000000,0.000000,,
完全な判断(値段)A,完全な判断,A,1,逆張り,次の清算で決済,165,115.469000,-215.195125,-0.753995,0.606061
完全な判断(値段)A,完全な判断,A,1,逆張り,連鎖の終わり,5791,33883.312507,22278.003732,3.957896,0.216198
完全な判断(値段)A,完全な判断,A,1,逆張り,合計,5956,33998.781507,22062.808607,3.791749,0.226998
