方策,型,行動,件数,遅れ_秒
logistic_2値0.5,A,新規_逆張り,1,1
logistic_2値0.5,A,新規_順張り,2,1
logistic_2値0.5,A,決済,3,1
logistic_2値0.5,B,ドテン_順張り,1,1
logistic_2値0.5,B,ホールド,1,1
logistic_2値0.5,B,新規_逆張り,1,1
logistic_2値0.5,B,新規_順張り,1,1
logistic_2値0.5,B,決済,2,1
logistic_2値基準率,A,新規_逆張り,2,1
logistic_2値基準率,A,新規_順張り,1,1
logistic_2値基準率,A,決済,3,1
logistic_2値基準率,B,ドテン_逆張り,1,1
logistic_2値基準率,B,ドテン_順張り,1,1
logistic_2値基準率,B,新規_逆張り,1,1
logistic_2値基準率,B,新規_順張り,1,1
logistic_2値基準率,B,決済,2,1
logistic_3択,A,新規_逆張り,2,1
logistic_3択,A,新規_順張り,1,1
logistic_3択,A,決済,3,1
logistic_3択,B,ドテン_逆張り,1,1
logistic_3択,B,ドテン_順張り,1,1
logistic_3択,B,新規_逆張り,1,1
logistic_3択,B,新規_順張り,1,1
logistic_3択,B,決済,2,1
全部逆張り,A,新規_逆張り,2,1
全部逆張り,B,新規_逆張り,2,1
全部順張り,A,新規_順張り,2,1
全部順張り,B,新規_順張り,2,1
完全な判断,A,新規_逆張り,1,1
完全な判断,A,新規_順張り,2,1
完全な判断,A,決済,3,1
完全な判断,B,ドテン_逆張り,1,1
完全な判断,B,ホールド,1,1
完全な判断,B,新規_順張り,2,1
完全な判断,B,決済,2,1
規則,A,新規_逆張り,2,1
規則,A,新規_順張り,1,1
規則,A,決済,3,1
規則,B,ドテン_順張り,1,1
規則,B,ホールド,1,1
規則,B,新規_逆張り,2,1
規則,B,決済,2,1
