費用,c_bp,方策,型,遅れ_秒,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,n,日数,建玉の回数の平均,保有秒の中央値,入らなかった割合,0として含めたか
費用なし,0.000000,logistic_3択,A,0.500000,0.749917,0.674898,0.824935,0.000000,0.749917,0.150037,2,2,1.500000,75.000000,0.000000,1
費用なし,0.000000,logistic_3択,A,0.500000,0.749917,0.674898,0.824935,0.000000,0.749917,0.150037,2,2,1.500000,75.000000,0.000000,0
費用なし,0.000000,logistic_3択,A,1,0.749917,0.674898,0.824935,0.000000,0.749917,0.150037,2,2,1.500000,75.000000,0.000000,1
費用なし,0.000000,logistic_3択,A,1,0.749917,0.674898,0.824935,0.000000,0.749917,0.150037,2,2,1.500000,75.000000,0.000000,0
費用なし,0.000000,logistic_3択,A,2,0.749916,0.674897,0.824935,0.000000,0.749916,0.150037,2,2,1.500000,75.000000,0.000000,1
費用なし,0.000000,logistic_3択,A,2,0.749916,0.674897,0.824935,0.000000,0.749916,0.150037,2,2,1.500000,75.000000,0.000000,0
費用なし,0.000000,logistic_3択,B,0.500000,0.599923,0.599901,0.599945,0.000000,0.599923,0.000043,2,2,2.000000,90.000000,0.000000,1
費用なし,0.000000,logistic_3択,B,0.500000,0.599923,0.599901,0.599945,0.000000,0.599923,0.000043,2,2,2.000000,90.000000,0.000000,0
費用なし,0.000000,logistic_3択,B,1,0.599923,0.599901,0.599945,0.000000,0.599923,0.000043,2,2,2.000000,90.000000,0.000000,1
費用なし,0.000000,logistic_3択,B,1,0.599923,0.599901,0.599945,0.000000,0.599923,0.000043,2,2,2.000000,90.000000,0.000000,0
費用なし,0.000000,logistic_3択,B,2,0.599922,0.599901,0.599944,0.000000,0.599922,0.000043,2,2,2.000000,90.000000,0.000000,1
費用なし,0.000000,logistic_3択,B,2,0.599922,0.599901,0.599944,0.000000,0.599922,0.000043,2,2,2.000000,90.000000,0.000000,0
費用なし,0.000000,logistic_2値0.5,A,0.500000,0.149959,-0.075001,0.374919,0.500000,0.149959,0.449920,2,2,1.500000,75.000000,0.000000,1
費用なし,0.000000,logistic_2値0.5,A,0.500000,0.149959,-0.075001,0.374919,0.500000,0.149959,0.449920,2,2,1.500000,75.000000,0.000000,0
費用なし,0.000000,logistic_2値0.5,A,1,0.149959,-0.075001,0.374919,0.500000,0.149959,0.449920,2,2,1.500000,75.000000,0.000000,1
費用なし,0.000000,logistic_2値0.5,A,1,0.149959,-0.075001,0.374919,0.500000,0.149959,0.449920,2,2,1.500000,75.000000,0.000000,0
