方策,位置,判断,件数
logistic_3択,1件目,止まる,2
logistic_3択,1件目,続く,1
logistic_3択,1件目,わからない,0
logistic_3択,連鎖の中,止まる,1
logistic_3択,連鎖の中,続く,2
logistic_3択,連鎖の中,わからない,0
logistic_2値0.5,1件目,止まる,2
logistic_2値0.5,1件目,続く,1
logistic_2値0.5,1件目,わからない,0
logistic_2値0.5,連鎖の中,止まる,0
logistic_2値0.5,連鎖の中,続く,3
logistic_2値0.5,連鎖の中,わからない,0
logistic_2値基準率,1件目,止まる,2
logistic_2値基準率,1件目,続く,1
logistic_2値基準率,1件目,わからない,0
logistic_2値基準率,連鎖の中,止まる,1
logistic_2値基準率,連鎖の中,続く,2
logistic_2値基準率,連鎖の中,わからない,0
規則,1件目,止まる,3
規則,1件目,続く,0
規則,1件目,わからない,0
規則,連鎖の中,止まる,0
規則,連鎖の中,続く,3
規則,連鎖の中,わからない,0
