費用,方策,型,位置,n,中央値,負の割合
費用あり(p75),logistic_3択,A,1件目で入った,3,-4.222696,1.000000
費用あり(p75),logistic_3択,A,途中で入った,0,,
費用あり(p75),logistic_3択,A,入らなかった,0,,
費用あり(p75),logistic_3択,B,1件目で入った,3,-7.545770,1.000000
費用あり(p75),logistic_3択,B,途中で入った,0,,
費用あり(p75),logistic_3択,B,入らなかった,0,,
費用あり(p75),logistic_2値0.5,A,1件目で入った,3,-4.222696,1.000000
費用あり(p75),logistic_2値0.5,A,途中で入った,0,,
費用あり(p75),logistic_2値0.5,A,入らなかった,0,,
費用あり(p75),logistic_2値0.5,B,1件目で入った,3,-7.545770,1.000000
費用あり(p75),logistic_2値0.5,B,途中で入った,0,,
費用あり(p75),logistic_2値0.5,B,入らなかった,0,,
費用あり(p75),logistic_2値基準率,A,1件目で入った,3,-4.222696,1.000000
費用あり(p75),logistic_2値基準率,A,途中で入った,0,,
費用あり(p75),logistic_2値基準率,A,入らなかった,0,,
費用あり(p75),logistic_2値基準率,B,1件目で入った,3,-7.545770,1.000000
費用あり(p75),logistic_2値基準率,B,途中で入った,0,,
費用あり(p75),logistic_2値基準率,B,入らなかった,0,,
費用あり(p75),規則,A,1件目で入った,3,-4.522695,1.000000
費用あり(p75),規則,A,途中で入った,0,,
費用あり(p75),規則,A,入らなかった,0,,
費用あり(p75),規則,B,1件目で入った,3,-7.545770,1.000000
費用あり(p75),規則,B,途中で入った,0,,
費用あり(p75),規則,B,入らなかった,0,,
費用あり(p75),完全な判断,A,1件目で入った,3,-4.222696,1.000000
費用あり(p75),完全な判断,A,途中で入った,0,,
費用あり(p75),完全な判断,A,入らなかった,0,,
費用あり(p75),完全な判断,B,1件目で入った,3,-7.245666,1.000000
費用あり(p75),完全な判断,B,途中で入った,0,,
費用あり(p75),完全な判断,B,入らなかった,0,,
費用あり(p75),全部逆張り,A,1件目で入った,3,-4.522695,1.000000
費用あり(p75),全部逆張り,A,途中で入った,0,,
費用あり(p75),全部逆張り,A,入らなかった,0,,
費用あり(p75),全部逆張り,B,1件目で入った,3,-4.522695,1.000000
費用あり(p75),全部逆張り,B,途中で入った,0,,
費用あり(p75),全部逆張り,B,入らなかった,0,,
費用あり(p75),全部順張り,A,1件目で入った,3,-3.322937,1.000000
費用あり(p75),全部順張り,A,途中で入った,0,,
費用あり(p75),全部順張り,A,入らなかった,0,,
費用あり(p75),全部順張り,B,1件目で入った,3,-3.322937,1.000000
費用あり(p75),全部順張り,B,途中で入った,0,,
費用あり(p75),全部順張り,B,入らなかった,0,,
費用あり(主のc),logistic_3択,A,1件目で入った,3,-2.303905,1.000000
費用あり(主のc),logistic_3択,A,途中で入った,0,,
費用あり(主のc),logistic_3択,A,入らなかった,0,,
費用あり(主のc),logistic_3択,B,1件目で入った,3,-3.708188,1.000000
費用あり(主のc),logistic_3択,B,途中で入った,0,,
費用あり(主のc),logistic_3択,B,入らなかった,0,,
費用あり(主のc),logistic_2値0.5,A,1件目で入った,3,-2.303905,1.000000
費用あり(主のc),logistic_2値0.5,A,途中で入った,0,,
費用あり(主のc),logistic_2値0.5,A,入らなかった,0,,
費用あり(主のc),logistic_2値0.5,B,1件目で入った,3,-3.708188,1.000000
費用あり(主のc),logistic_2値0.5,B,途中で入った,0,,
費用あり(主のc),logistic_2値0.5,B,入らなかった,0,,
費用あり(主のc),logistic_2値基準率,A,1件目で入った,3,-2.303905,1.000000
費用あり(主のc),logistic_2値基準率,A,途中で入った,0,,
費用あり(主のc),logistic_2値基準率,A,入らなかった,0,,
費用あり(主のc),logistic_2値基準率,B,1件目で入った,3,-3.708188,1.000000
費用あり(主のc),logistic_2値基準率,B,途中で入った,0,,
費用あり(主のc),logistic_2値基準率,B,入らなかった,0,,
費用あり(主のc),規則,A,1件目で入った,3,-2.603904,1.000000
費用あり(主のc),規則,A,途中で入った,0,,
費用あり(主のc),規則,A,入らなかった,0,,
費用あり(主のc),規則,B,1件目で入った,3,-3.708188,1.000000
費用あり(主のc),規則,B,途中で入った,0,,
費用あり(主のc),規則,B,入らなかった,0,,
費用あり(主のc),完全な判断,A,1件目で入った,3,-2.303905,1.000000
費用あり(主のc),完全な判断,A,途中で入った,0,,
費用あり(主のc),完全な判断,A,入らなかった,0,,
費用あり(主のc),完全な判断,B,1件目で入った,3,-3.408084,1.000000
費用あり(主のc),完全な判断,B,途中で入った,0,,
費用あり(主のc),完全な判断,B,入らなかった,0,,
費用あり(主のc),全部逆張り,A,1件目で入った,3,-2.603904,1.000000
費用あり(主のc),全部逆張り,A,途中で入った,0,,
費用あり(主のc),全部逆張り,A,入らなかった,0,,
費用あり(主のc),全部逆張り,B,1件目で入った,3,-2.603904,1.000000
費用あり(主のc),全部逆張り,B,途中で入った,0,,
費用あり(主のc),全部逆張り,B,入らなかった,0,,
費用あり(主のc),全部順張り,A,1件目で入った,3,-1.404146,1.000000
費用あり(主のc),全部順張り,A,途中で入った,0,,
費用あり(主のc),全部順張り,A,入らなかった,0,,
費用あり(主のc),全部順張り,B,1件目で入った,3,-1.404146,1.000000
費用あり(主のc),全部順張り,B,途中で入った,0,,
費用あり(主のc),全部順張り,B,入らなかった,0,,
