方策,区分,水準,n,合計_bp,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,日数
①3択A,側別,BUY,1,-1.404146,-1.404146,-1.404146,-1.404146,1.000000,-1.404146,,1
①3択A,側別,SELL,1,-3.108096,-3.108096,-3.108096,-3.108096,1.000000,-3.108096,,1
①3択B,側別,BUY,1,-1.404146,-1.404146,-1.404146,-1.404146,1.000000,-1.404146,,1
①3択B,側別,SELL,1,-5.412109,-5.412109,-5.412109,-5.412109,1.000000,-5.412109,,1
全部逆張り(素),側別,BUY,1,-2.603904,-2.603904,-2.603904,-2.603904,1.000000,-2.603904,,1
全部逆張り(素),側別,SELL,1,-0.804038,-0.804038,-0.804038,-0.804038,1.000000,-0.804038,,1
前段の3択(清算)A,側別,BUY,1,-1.404146,-1.404146,-1.404146,-1.404146,1.000000,-1.404146,,1
前段の3択(清算)A,側別,SELL,1,-3.108096,-3.108096,-3.108096,-3.108096,1.000000,-3.108096,,1
完全な判断(値段)A,側別,BUY,1,-1.404146,-1.404146,-1.404146,-1.404146,1.000000,-1.404146,,1
完全な判断(値段)A,側別,SELL,1,-3.708089,-3.708089,-3.708089,-3.708089,1.000000,-3.708089,,1
②opt,側別,SELL,1,0.995762,0.995762,0.995762,0.995762,0.000000,0.995762,,1
