方策,区分,水準,n,合計_bp,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,日数
①3択A,大きさ別,3件以上,1,-3.108096,-3.108096,-3.108096,-3.108096,1.000000,-3.108096,,1
①3択A,大きさ別,単発,1,-1.404146,-1.404146,-1.404146,-1.404146,1.000000,-1.404146,,1
①3択B,大きさ別,3件以上,1,-5.412109,-5.412109,-5.412109,-5.412109,1.000000,-5.412109,,1
①3択B,大きさ別,単発,1,-1.404146,-1.404146,-1.404146,-1.404146,1.000000,-1.404146,,1
全部逆張り(素),大きさ別,3件以上,1,-0.804038,-0.804038,-0.804038,-0.804038,1.000000,-0.804038,,1
全部逆張り(素),大きさ別,単発,1,-2.603904,-2.603904,-2.603904,-2.603904,1.000000,-2.603904,,1
前段の3択(清算)A,大きさ別,3件以上,1,-3.108096,-3.108096,-3.108096,-3.108096,1.000000,-3.108096,,1
前段の3択(清算)A,大きさ別,単発,1,-1.404146,-1.404146,-1.404146,-1.404146,1.000000,-1.404146,,1
完全な判断(値段)A,大きさ別,3件以上,1,-3.708089,-3.708089,-3.708089,-3.708089,1.000000,-3.708089,,1
完全な判断(値段)A,大きさ別,単発,1,-1.404146,-1.404146,-1.404146,-1.404146,1.000000,-1.404146,,1
②opt,大きさ別,3件以上,1,0.995762,0.995762,0.995762,0.995762,0.000000,0.995762,,1
