方策,型,行動,件数,遅れ_秒
logistic_2値0.5,A,ホールド,1068,1
logistic_2値0.5,A,新規_逆張り,966,1
logistic_2値0.5,A,新規_順張り,1113,1
logistic_2値0.5,A,決済,2079,1
logistic_2値0.5,B,ドテン_逆張り,60,1
logistic_2値0.5,B,ドテン_順張り,150,1
logistic_2値0.5,B,ホールド,1120,1
logistic_2値0.5,B,新規_逆張り,953,1
logistic_2値0.5,B,新規_順張り,1047,1
logistic_2値0.5,B,決済,2000,1
logistic_2値基準率,A,ホールド,890,1
logistic_2値基準率,A,新規_逆張り,720,1
logistic_2値基準率,A,新規_順張り,1416,1
logistic_2値基準率,A,決済,2136,1
logistic_2値基準率,B,ドテン_逆張り,270,1
logistic_2値基準率,B,ドテン_順張り,86,1
logistic_2値基準率,B,ホールド,974,1
logistic_2値基準率,B,新規_逆張り,650,1
logistic_2値基準率,B,新規_順張り,1350,1
logistic_2値基準率,B,決済,2000,1
logistic_3択,A,ホールド,967,1
logistic_3択,A,何もしない,599,1
logistic_3択,A,新規_逆張り,571,1
logistic_3択,A,新規_順張り,1070,1
logistic_3択,A,決済,1641,1
logistic_3択,B,ドテン_逆張り,111,1
logistic_3択,B,ドテン_順張り,19,1
logistic_3択,B,ホールド,1030,1
logistic_3択,B,何もしない,565,1
logistic_3択,B,新規_逆張り,549,1
logistic_3択,B,新規_順張り,1056,1
logistic_3択,B,決済,1605,1
logistic_3択(出口300秒),A,ホールド,967,1
logistic_3択(出口300秒),A,何もしない,599,1
logistic_3択(出口300秒),A,新規_逆張り,571,1
logistic_3択(出口300秒),A,新規_順張り,1070,1
logistic_3択(出口300秒),A,決済,1641,1
前段の3択(清算),A,ホールド,683,1
前段の3択(清算),A,何もしない,828,1
前段の3択(清算),A,新規_逆張り,951,1
前段の3択(清算),A,新規_順張り,631,1
前段の3択(清算),A,決済,1582,1
完全な判断,A,ホールド,883,1
完全な判断,A,新規_逆張り,1160,1
完全な判断,A,新規_順張り,936,1
完全な判断,A,決済,2096,1
完全な判断,B,ドテン_逆張り,343,1
完全な判断,B,ドテン_順張り,19,1
完全な判断,B,ホールド,968,1
完全な判断,B,新規_逆張り,1078,1
完全な判断,B,新規_順張り,922,1
完全な判断,B,決済,2000,1
完全な判断(清算),A,ホールド,680,1
完全な判断(清算),A,新規_逆張り,1350,1
完全な判断(清算),A,新規_順張り,650,1
完全な判断(清算),A,決済,2000,1
規則,A,ホールド,395,1
規則,A,新規_逆張り,2000,1
規則,A,新規_順張り,285,1
規則,A,決済,2285,1
規則,B,ドテン_順張り,650,1
規則,B,ホールド,680,1
規則,B,新規_逆張り,2000,1
規則,B,決済,2000,1
