費用,方策,型,遅れ_秒,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,n,日数,建玉の回数の平均,保有秒の中央値,入らなかった割合,0として含めたか
費用あり(p75),logistic_3択,A,0.500000,-2.439215,-9.685803,0.000000,0.598500,-4.155557,0.266841,2000,223,0.820500,60.000000,0.197500,1
費用あり(p75),logistic_3択,A,0.500000,-4.759687,-12.226428,0.139934,0.745794,-5.340802,0.319586,1605,222,0.820500,60.000000,0.197500,0
費用あり(p75),logistic_3択,A,1,-2.411981,-9.857564,0.000000,0.593000,-4.143677,0.274612,2000,223,0.820500,60.000000,0.197500,1
費用あり(p75),logistic_3択,A,1,-4.768938,-12.364460,0.166155,0.738941,-5.315727,0.329359,1605,222,0.820500,60.000000,0.197500,0
費用あり(p75),logistic_3択,A,2,-2.334354,-9.913177,0.000000,0.589500,-4.098349,0.266022,2000,223,0.820500,60.000000,0.197500,1
費用あり(p75),logistic_3択,A,2,-4.874551,-12.152386,0.437123,0.734579,-5.242736,0.320299,1605,222,0.820500,60.000000,0.197500,0
費用あり(p75),logistic_3択,B,0.500000,-2.475772,-10.054015,0.000000,0.594500,-4.157174,0.279717,2000,223,0.867500,60.000000,0.197500,1
費用あり(p75),logistic_3択,B,0.500000,-5.038162,-12.586973,0.370077,0.740810,-5.338760,0.336745,1605,222,0.867500,60.000000,0.197500,0
費用あり(p75),logistic_3択,B,1,-2.455789,-10.167340,0.000000,0.586500,-4.153946,0.288588,2000,223,0.867500,60.000000,0.197500,1
費用あり(p75),logistic_3択,B,1,-5.049067,-12.609516,0.563287,0.730841,-5.327009,0.348063,1605,222,0.867500,60.000000,0.197500,0
費用あり(p75),logistic_3択,B,2,-2.384642,-10.341983,0.000000,0.585500,-4.106314,0.278415,2000,223,0.867500,60.000000,0.197500,1
費用あり(p75),logistic_3択,B,2,-5.214680,-12.405368,0.563287,0.729595,-5.253828,0.337366,1605,222,0.867500,60.000000,0.197500,0
費用あり(p75),logistic_2値0.5,A,0.500000,-5.018606,-12.085445,0.143571,0.746000,-5.545326,0.285582,2000,223,1.039500,60.000000,0.000000,1
費用あり(p75),logistic_2値0.5,A,0.500000,-5.018606,-12.085445,0.143571,0.746000,-5.545326,0.285582,2000,223,1.039500,60.000000,0.000000,0
費用あり(p75),logistic_2値0.5,A,1,-4.917450,-12.138791,0.183540,0.740500,-5.513251,0.289757,2000,223,1.039500,60.000000,0.000000,1
費用あり(p75),logistic_2値0.5,A,1,-4.917450,-12.138791,0.183540,0.740500,-5.513251,0.289757,2000,223,1.039500,60.000000,0.000000,0
費用あり(p75),logistic_2値0.5,A,2,-4.985093,-11.824476,0.276235,0.737500,-5.460809,0.281645,2000,223,1.039500,60.000000,0.000000,1
費用あり(p75),logistic_2値0.5,A,2,-4.985093,-11.824476,0.276235,0.737500,-5.460809,0.281645,2000,223,1.039500,60.000000,0.000000,0
費用あり(p75),logistic_2値0.5,B,0.500000,-5.118956,-12.472198,0.272900,0.742000,-5.873123,0.290896,2000,223,1.105000,60.000000,0.000000,1
費用あり(p75),logistic_2値0.5,B,0.500000,-5.118956,-12.472198,0.272900,0.742000,-5.873123,0.290896,2000,223,1.105000,60.000000,0.000000,0
費用あり(p75),logistic_2値0.5,B,1,-5.079701,-12.395478,0.339979,0.736000,-5.835600,0.294401,2000,223,1.105000,60.000000,0.000000,1
費用あり(p75),logistic_2値0.5,B,1,-5.079701,-12.395478,0.339979,0.736000,-5.835600,0.294401,2000,223,1.105000,60.000000,0.000000,0
費用あり(p75),logistic_2値0.5,B,2,-5.232774,-12.259582,0.346747,0.734000,-5.825623,0.289726,2000,223,1.105000,60.000000,0.000000,1
費用あり(p75),logistic_2値0.5,B,2,-5.232774,-12.259582,0.346747,0.734000,-5.825623,0.289726,2000,223,1.105000,60.000000,0.000000,0
費用あり(p75),logistic_2値基準率,A,0.500000,-4.531677,-11.348195,0.000669,0.750000,-5.137745,0.263852,2000,223,1.068000,60.000000,0.000000,1
費用あり(p75),logistic_2値基準率,A,0.500000,-4.531677,-11.348195,0.000669,0.750000,-5.137745,0.263852,2000,223,1.068000,60.000000,0.000000,0
費用あり(p75),logistic_2値基準率,A,1,-4.567286,-11.294056,0.068555,0.745500,-5.093555,0.270045,2000,223,1.068000,60.000000,0.000000,1
費用あり(p75),logistic_2値基準率,A,1,-4.567286,-11.294056,0.068555,0.745500,-5.093555,0.270045,2000,223,1.068000,60.000000,0.000000,0
費用あり(p75),logistic_2値基準率,A,2,-4.796734,-11.330946,0.157583,0.742500,-5.086358,0.269052,2000,223,1.068000,60.000000,0.000000,1
費用あり(p75),logistic_2値基準率,A,2,-4.796734,-11.330946,0.157583,0.742500,-5.086358,0.269052,2000,223,1.068000,60.000000,0.000000,0
費用あり(p75),logistic_2値基準率,B,0.500000,-5.098477,-12.133356,0.196990,0.743500,-5.367799,0.290149,2000,223,1.178000,60.000000,0.000000,1
費用あり(p75),logistic_2値基準率,B,0.500000,-5.098477,-12.133356,0.196990,0.743500,-5.367799,0.290149,2000,223,1.178000,60.000000,0.000000,0
費用あり(p75),logistic_2値基準率,B,1,-5.056072,-12.024992,0.355417,0.737000,-5.304204,0.292076,2000,223,1.178000,60.000000,0.000000,1
費用あり(p75),logistic_2値基準率,B,1,-5.056072,-12.024992,0.355417,0.737000,-5.304204,0.292076,2000,223,1.178000,60.000000,0.000000,0
費用あり(p75),logistic_2値基準率,B,2,-5.258705,-11.964529,0.300527,0.736000,-5.327159,0.292056,2000,223,1.178000,60.000000,0.000000,1
費用あり(p75),logistic_2値基準率,B,2,-5.258705,-11.964529,0.300527,0.736000,-5.327159,0.292056,2000,223,1.178000,60.000000,0.000000,0
費用あり(p75),規則,A,0.500000,-3.922816,-9.252119,1.942895,0.678000,-4.114492,0.286925,2000,223,1.142500,60.000000,0.000000,1
費用あり(p75),規則,A,0.500000,-3.922816,-9.252119,1.942895,0.678000,-4.114492,0.286925,2000,223,1.142500,60.000000,0.000000,0
費用あり(p75),規則,A,1,-3.908084,-9.328926,2.049760,0.677500,-4.155174,0.290021,2000,223,1.142500,60.000000,0.000000,1
費用あり(p75),規則,A,1,-3.908084,-9.328926,2.049760,0.677500,-4.155174,0.290021,2000,223,1.142500,60.000000,0.000000,0
費用あり(p75),規則,A,2,-3.809398,-9.085470,2.123094,0.672500,-4.056783,0.278445,2000,223,1.142500,60.000000,0.000000,1
費用あり(p75),規則,A,2,-3.809398,-9.085470,2.123094,0.672500,-4.056783,0.278445,2000,223,1.142500,60.000000,0.000000,0
費用あり(p75),規則,B,0.500000,-3.796064,-11.833084,2.333520,0.664000,-5.271449,0.302383,2000,223,1.325000,60.000000,0.000000,1
費用あり(p75),規則,B,0.500000,-3.796064,-11.833084,2.333520,0.664000,-5.271449,0.302383,2000,223,1.325000,60.000000,0.000000,0
費用あり(p75),規則,B,1,-3.905932,-11.825100,2.449582,0.662000,-5.275155,0.312350,2000,223,1.325000,60.000000,0.000000,1
費用あり(p75),規則,B,1,-3.905932,-11.825100,2.449582,0.662000,-5.275155,0.312350,2000,223,1.325000,60.000000,0.000000,0
費用あり(p75),規則,B,2,-3.922816,-11.282746,2.428330,0.661000,-5.193233,0.307147,2000,223,1.325000,60.000000,0.000000,1
費用あり(p75),規則,B,2,-3.922816,-11.282746,2.428330,0.661000,-5.193233,0.307147,2000,223,1.325000,60.000000,0.000000,0
費用あり(p75),完全な判断,A,0.500000,1.400445,-3.052658,7.191634,0.418500,2.367243,0.245275,2000,223,1.048000,60.000000,0.000000,1
費用あり(p75),完全な判断,A,0.500000,1.400445,-3.052658,7.191634,0.418500,2.367243,0.245275,2000,223,1.048000,60.000000,0.000000,0
費用あり(p75),完全な判断,A,1,1.330579,-3.310685,7.086043,0.427000,2.093071,0.240892,2000,223,1.048000,60.000000,0.000000,1
費用あり(p75),完全な判断,A,1,1.330579,-3.310685,7.086043,0.427000,2.093071,0.240892,2000,223,1.048000,60.000000,0.000000,0
費用あり(p75),完全な判断,A,2,0.918899,-3.813585,6.794354,0.450500,1.598609,0.229118,2000,223,1.048000,60.000000,0.000000,1
費用あり(p75),完全な判断,A,2,0.918899,-3.813585,6.794354,0.450500,1.598609,0.229118,2000,223,1.048000,60.000000,0.000000,0
費用あり(p75),完全な判断,B,0.500000,1.515724,-3.231418,8.254465,0.422500,3.047511,0.303926,2000,223,1.181000,60.000000,0.000000,1
