方策,位置,判断,件数
logistic_3択,1件目,止まる,870
logistic_3択,1件目,続く,2094
logistic_3択,1件目,わからない,1036
logistic_3択,連鎖の中,止まる,876
logistic_3択,連鎖の中,続く,1002
logistic_3択,連鎖の中,わからない,782
logistic_2値0.5,1件目,止まる,1906
logistic_2値0.5,1件目,続く,2094
logistic_2値0.5,1件目,わからない,0
logistic_2値0.5,連鎖の中,止まる,454
logistic_2値0.5,連鎖の中,続く,2206
logistic_2値0.5,連鎖の中,わからない,0
logistic_2値基準率,1件目,止まる,1300
logistic_2値基準率,1件目,続く,2700
logistic_2値基準率,1件目,わからない,0
logistic_2値基準率,連鎖の中,止まる,1164
logistic_2値基準率,連鎖の中,続く,1496
logistic_2値基準率,連鎖の中,わからない,0
規則,1件目,止まる,4000
規則,1件目,続く,0
規則,1件目,わからない,0
規則,連鎖の中,止まる,0
規則,連鎖の中,続く,2660
規則,連鎖の中,わからない,0
